Start_str	End_str	Rmag_avg(Re)	x_avg(Re)	y_avg(Re)	z_avg(Re)	Clang_avg	gseIMFBx_avg(nT)	gseIMFBy_avg(nT)	gseIMFBz_avg(nT)	Shock_Ang(deg)
2015-09-02 08:05:00	2015-09-02 08:15:00	7.202210886796224	4.551125687606352	5.033373705660081	-2.412458918627641	56.294	7.187	1.553	3.047	36.648
2015-09-02 19:25:00	2015-09-02 19:35:00	11.571375366946064	0.1408304056251659	10.997573456735942	-3.595598864038307	115.893	-4.857	5.82	-0.978	48.637
2015-09-02 19:55:00	2015-09-02 20:05:00	11.39998279536474	-0.1429660295291574	10.878598699002003	-3.404911895635576	119.303	-5.19	5.383	-1.335	44.994
2015-09-02 20:25:00	2015-09-02 20:35:00	11.197663428328932	-0.4264026746040184	10.712240206199407	-3.232955130441368	110.274	-4.81	6.247	-0.662	50.847
2015-09-02 20:55:00	2015-09-02 21:05:00	10.963428113037777	-0.7084690512403196	10.49741957372209	-3.0817662373664665	106.131	-4.477	6.507	-0.245	53.918
2015-09-02 21:25:00	2015-09-02 21:35:00	10.6960723118054	-0.9880212620944236	10.232969602515562	-2.9520095572760483	116.371	-5.198	5.47	-1.278	45.126
2015-09-02 21:55:00	2015-09-02 22:05:00	10.39413702094741	-1.263736551581112	9.917506781125653	-2.842935369966819	117.073	-5.335	5.182	-1.333	42.908
2015-09-02 22:25:00	2015-09-02 22:35:00	10.055859574433116	-1.534050456661108	9.549321432542	-2.752359757253036	114.046	-5.152	5.863	-1.198	47.209
2015-09-02 22:55:00	2015-09-02 23:05:00	9.679103353909214	-1.7970712183056128	9.126277077249748	-2.6766505924295294	104.655	-5.48	5.402	-0.215	42.98
2015-09-02 23:25:00	2015-09-02 23:35:00	9.261266322481951	-2.050454764958201	8.645717939008527	-2.610707336204577	103.016	-5.478	5.237	-0.035	42.201
2015-09-02 23:55:00	2015-09-03 00:05:00	8.799150485506923	-2.291220369252548	8.104361285417689	-2.5479183336701885	106.359	-5.73	4.638	-0.282	37.256
2015-09-03 18:20:00	2015-09-03 18:30:00	11.819862791991126	0.8724884071829409	11.0575737490056	-4.08359853996276	93.281	-7.425	5.858	1.602	38.909
2015-09-04 08:20:00	2015-09-04 08:30:00	7.784751043245779	4.769845222279698	5.481074934495339	-2.793752646149578	125.801	-8.428	4.102	-0.575	25.695
2015-09-04 08:50:00	2015-09-04 09:00:00	8.342824680169436	4.773976428942244	6.025034448056435	-3.241549148336369	120.992	-6.827	6.837	-0.045	44.231
2015-09-04 10:30:00	2015-09-04 10:40:00	9.848045711337098	4.528834806728768	7.505769511994447	-4.4872002630087335	102.61	-2.452	8.485	3.018	74.926
2015-09-04 12:20:00	2015-09-04 12:30:00	10.989259270006588	3.9546917877019774	8.7723552888692	-5.307386034153219	78.493	-1.947	9.072	8.365	82.355
2015-09-04 13:15:00	2015-09-04 13:25:00	11.38848491467152	3.5872680660709846	9.319222492354866	-5.4753514590661085	103.154	-2.582	8.825	2.552	72.935
2015-09-04 13:50:00	2015-09-04 14:00:00	11.587917966901458	3.331989277720344	9.640794503280926	-5.49826812977426	105.208	-6.868	7.077	1.862	45.509
2015-09-06 10:00:00	2015-09-06 10:10:00	9.630617347966462	4.852003034196698	7.144774855656155	-4.261076397365348	121.07	-3.08	7.942	0.083	67.528
2015-09-06 10:40:00	2015-09-06 10:50:00	10.130787656760765	4.708854309551595	7.652284092218768	-4.679756250824941	100.645	-3.85	6.515	2.508	61.057
2015-09-06 12:55:00	2015-09-06 13:05:00	11.345339246226908	3.964976444516026	9.097561825506157	-5.498035283300378	116.438	-2.043	7.745	0.598	74.023
2015-09-06 14:00:00	2015-09-06 14:10:00	11.697645977164411	3.5005808324405034	9.684262087267657	-5.549240959013413	63.723	-6.827	2.575	3.737	36.019
2015-09-08 12:10:00	2015-09-08 12:20:00	11.12072309953514	4.488950871005165	8.626895377710506	-5.393964728498134	45.916	13.853	3.885	15.222	54.296
2015-09-08 12:40:00	2015-09-08 12:50:00	11.333825918101596	4.30512457804653	8.918839147101663	-5.511278789425879	62.535	8.827	9.565	15.845	72.868
2015-09-08 13:10:00	2015-09-08 13:20:00	11.51568317389975	4.106717413663723	9.19755563196698	-5.581140072816546	62.707	8.698	9.562	15.378	72.876
2015-09-08 13:40:00	2015-09-08 13:50:00	11.66715858856724	3.895045234361577	9.462632413073628	-5.604287120117547	64.378	10.605	9.467	13.903	66.863
2015-09-08 14:10:00	2015-09-08 14:20:00	11.788945122400632	3.6712682679877218	9.7127149271208	-5.582320577248353	77.515	13.347	9.945	8.898	56.371
2015-09-08 14:40:00	2015-09-08 14:50:00	11.88158313880274	3.436422315546938	9.945623041713256	-5.517752271889299	86.57	13.357	11.327	6.937	57.173
2015-09-08 15:15:00	2015-09-08 15:25:00	11.95334872122973	3.1496908646679955	10.191809595239606	-5.393222707274854	84.82	13.093	10.512	6.55	55.743
2015-09-08 17:20:00	2015-09-08 17:30:00	11.894316052494323	2.032664665283736	10.764388590621882	-4.63342353626679	60.389	12.67	7.58	9.362	53.794
2015-09-08 17:50:00	2015-09-08 18:00:00	11.8065330893931	1.7469937104579902	10.811258043365212	-4.41096823868604	64.561	11.668	9.272	9.468	59.612
2015-09-08 18:20:00	2015-09-08 18:30:00	11.68968013939994	1.4559771169890616	10.816746891282152	-4.186231236656201	57.683	11.568	8.262	10.283	58.887
2015-09-08 18:50:00	2015-09-08 19:00:00	11.54324122971943	1.1603402906161089	10.778462260421684	-3.965183135676612	58.323	11.45	8.483	9.94	59.148
2015-09-08 19:45:00	2015-09-08 19:55:00	11.195604671411688	0.608901228111803	10.588073295210268	-3.58630523539052	46.249	10.182	6.812	11.683	61.783
2015-09-08 20:15:00	2015-09-08 20:25:00	10.961153075822956	0.3045041984628249	10.415640819878544	-3.400988276555511	49.564	10.067	7.595	11.063	62.555
2015-09-08 20:45:00	2015-09-08 20:55:00	10.693573093708892	-0.0012095353603853	10.192804471296204	-3.2337906051715315	67.573	9.968	10.957	8.203	66.037
2015-09-08 21:15:00	2015-09-08 21:25:00	10.391405503761307	-0.3071052005163247	9.917909044211154	-3.085482292483189	77.247	9.672	12.193	6.102	55.357
2015-09-08 21:45:00	2015-09-08 21:55:00	10.05288553906127	-0.6118456670618863	9.589045732437809	-2.955399089166718	87.208	9.27	13.24	3.855	57.462
2015-09-08 22:15:00	2015-09-08 22:25:00	9.675875548805266	-0.9138135555259383	9.203907901672975	-2.8413828271029744	93.14	8.578	13.725	2.432	60.178
2015-09-08 23:45:00	2015-09-08 23:55:00	8.28470231678788	-1.7799319677862442	7.678591956476022	-2.5503450589815384	62.352	8.58	9.605	8.432	55.946
2015-09-10 23:40:00	2015-09-10 23:50:00	8.126443967389132	-1.6111655211595115	7.549017180996593	-2.540152188519537	63.065	-11.685	4.72	4.037	28.4
2015-09-20 07:05:00	2015-09-20 07:15:00	8.395356279644185	6.3335164543606295	4.891773265182079	-2.53690221633814	123.861	-9.413	8.612	-0.953	35.368
2015-09-20 10:55:00	2015-09-20 11:05:00	11.172593564180492	6.291042778233052	7.657790918776787	-5.158127456915142	96.211	-1.922	8.762	4.45	70.862
2015-09-20 12:15:00	2015-09-20 12:25:00	11.65577044569098	5.908057054198342	8.35766681615385	-5.576714658205688	133.229	-5.275	6.882	-1.49	44.887
2015-09-20 13:00:00	2015-09-20 13:10:00	11.83357354295746	5.633304307222581	8.721599793216056	-5.677275319049066	119.895	-6.897	5.527	0.252	30.045
2015-09-20 14:55:00	2015-09-20 15:05:00	11.993924795149807	4.766039097336723	9.52775274199393	-5.509899889088852	133.003	-6.617	5.575	-1.488	33.79
2015-09-20 16:55:00	2015-09-20 17:05:00	11.715643127086844	3.645537810448969	10.033375588405688	-4.826530813343322	132.173	-4.868	4.837	-1.763	39.854
2015-09-20 20:25:00	2015-09-20 20:35:00	10.051393723469168	1.2706292441229732	9.403258098534168	-3.3155155726175187	52.826	-5.743	3.275	4.275	44.054
2015-09-20 20:55:00	2015-09-20 21:05:00	9.673365589482414	0.8988522247636274	9.106822025468704	-3.135230025672876	71.008	-3.692	5.735	3.803	60.866
2015-09-21 08:55:00	2015-09-21 09:05:00	10.088172601619585	6.669608299641463	6.410584964078912	-4.023651190349255	64.614	-6.452	2.532	3.913	37.238
2015-09-21 09:25:00	2015-09-21 09:35:00	10.423753297437347	6.645487866516027	6.743682723096813	-4.360376435894691	63.68	-7.053	1.863	3.17	29.268
2015-09-21 09:55:00	2015-09-21 10:05:00	10.723127768035264	6.592331464401917	7.054673197733609	-4.664376371086988	84.702	-7.425	2.207	1.775	20.881
2015-10-01 19:00:00	2015-10-01 19:10:00	10.19375760110004	3.1220702735168118	8.996064164126388	-3.637839192532176	103.816	1.292	10.777	0.81	88.317
2015-10-01 19:45:00	2015-10-01 19:55:00	9.635434392624092	2.488424703195718	8.700044412687355	-3.310011145332197	116.555	1.263	10.108	-1.75	87.149
2015-10-01 20:15:00	2015-10-01 20:25:00	9.211946485669392	2.0482687331242637	8.42891819721509	-3.1008690419655003	105.281	1.978	10.567	0.05	87.895
2015-10-02 06:55:00	2015-10-02 07:05:00	9.48659451471653	7.705888948814446	4.830280040242369	-2.698253869294969	133.515	-3.352	6.762	-1.857	55.37
2015-10-02 08:25:00	2015-10-02 08:35:00	10.560162544478231	7.938545727382341	5.855089437193346	-3.7699389434293367	133.331	-3.083	7.473	-1.533	59.063
2015-10-02 08:55:00	2015-10-02 09:05:00	10.844472586605455	7.944998193431516	6.146244798600544	-4.086735495907866	134.571	-3.568	8.148	-1.773	57.732
2015-10-02 09:25:00	2015-10-02 09:35:00	11.094974756915668	7.920595125384751	6.419143726404286	-4.376701083439154	131.446	-1.05	9.307	-1.52	74.769
2015-10-02 11:15:00	2015-10-02 11:25:00	11.74326053272899	7.598363974405572	7.315370658143277	-5.162649720967923	114.165	-2.02	8.432	1.255	68.704
2015-10-02 11:45:00	2015-10-02 11:55:00	11.850080623517211	7.45356838578649	7.54068595386653	-5.292008470621224	132.799	-1.512	8.645	-1.578	71.453
2015-10-02 12:15:00	2015-10-02 12:25:00	11.927980241845171	7.286570885419766	7.759472465395087	-5.382538534345038	131.277	-1.683	8.427	-1.402	70.041
2015-10-02 12:45:00	2015-10-02 12:55:00	11.977293527792977	7.098280338499191	7.971286218759947	-5.4338793300331245	121.366	-1.573	8.287	-0.052	70.77
2015-10-02 13:15:00	2015-10-02 13:25:00	11.998228940141182	6.8894892460382415	8.174897150190601	-5.44627145674112	99.321	-1.987	7.39	2.882	69.14
2015-10-02 13:45:00	2015-10-02 13:55:00	11.990874371532628	6.660890395240656	8.368333036731297	-5.420597653758141	101.86	-2.04	8.115	2.647	69.433
2015-10-02 14:15:00	2015-10-02 14:25:00	11.955198999962771	6.413090124046485	8.548951184797893	-5.358417615762899	132.119	-4.863	7.467	-1.765	48.587
2015-10-02 14:45:00	2015-10-02 14:55:00	11.89105214661052	6.146619284976786	8.713536188415842	-5.261986730260899	119.048	-4.197	8.36	-0.172	54.608
2015-10-02 15:15:00	2015-10-02 15:25:00	11.798160493874912	5.861944034302184	8.858420078920297	-5.13424849620795	113.346	-3.58	8.465	0.51	58.689
2015-10-02 15:45:00	2015-10-02 15:55:00	11.67612101276267	5.559474051026808	8.97961633013662	-4.978790475956445	103.832	-3.427	7.992	1.632	59.642
2015-10-02 16:15:00	2015-10-02 16:25:00	11.524392044066408	5.239571947076867	9.072957668224182	-4.799758006822252	100.451	-3.54	7.928	1.935	58.796
2015-10-02 16:45:00	2015-10-02 16:55:00	11.34227902473337	4.902560991980412	9.134222805095982	-4.60172299092724	104.683	-3.418	8.507	1.238	60.081
2015-10-02 17:15:00	2015-10-02 17:25:00	11.128916444106856	4.548734695230402	9.159238988997048	-4.389510451028074	111.728	-0.502	9.27	-0.003	78.539
2015-10-02 17:45:00	2015-10-02 17:55:00	10.883242437273244	4.178366547626653	9.14394523807578	-4.167990506330421	103.508	-2.878	8.803	1.077	63.701
2015-10-02 18:15:00	2015-10-02 18:25:00	10.603967808532452	3.791724566244304	9.084407889516507	-3.941846464849238	99.44	-2.852	8.522	1.48	63.648
2015-10-02 18:45:00	2015-10-02 18:55:00	10.289533475094672	3.3890891226570647	8.976778575765524	-3.715330316020293	99.894	-2.512	8.523	1.238	65.55
2015-10-02 19:15:00	2015-10-02 19:25:00	9.938053154166283	2.970777789567437	8.817190055718074	-3.492015753867454	105.248	-3.308	8.602	0.283	60.174
2015-10-02 19:45:00	2015-10-02 19:55:00	9.547237885986291	2.5371839038585926	8.60158795623334	-3.2745541664791773	110.672	-4.268	8.332	-0.643	53.768
2015-10-02 20:15:00	2015-10-02 20:25:00	9.11429186854805	2.0888352255371663	8.325490633435926	-3.064431020363516	118.964	-5.713	7.387	-1.763	43.625
2015-10-02 20:45:00	2015-10-02 20:55:00	8.635766727294737	1.62648869233258	7.983661587045745	-2.861711086245088	106.966	-5.377	7.733	-0.28	46.252
2015-10-02 21:15:00	2015-10-02 21:25:00	8.1073538902795	1.1512903459852253	7.569660322815366	-2.6647476535303745	103.194	-4.49	8.43	0.152	52.986
2015-10-02 21:45:00	2015-10-02 21:55:00	7.523581733312227	0.6650592922393579	7.075200376415331	-2.469809170339784	115.742	-6.023	7.15	-1.492	41.123
2015-10-03 06:05:00	2015-10-03 06:15:00	8.835490899019307	7.529236558053486	4.131088756779988	-2.0754967133937288	131.851	-4.07	7.598	-2.015	54.809
2015-10-03 07:35:00	2015-10-03 07:45:00	10.085148324578652	7.966558210245573	5.294428496623588	-3.1954543459500897	127.829	-6.53	8.313	-1.137	43.702
2015-10-03 08:05:00	2015-10-03 08:15:00	10.421366293160084	8.029486424191527	5.618903625595723	-3.5437343489572783	124.316	-6.367	8.555	-0.535	45.095
2015-10-03 08:35:00	2015-10-03 08:45:00	10.721346867754344	8.057253635802708	5.919013755498106	-3.871858274486812	120.984	-6.768	8.095	0.102	42.104
