Start_str	End_str	Rmag_avg(Re)	x_avg(Re)	y_avg(Re)	z_avg(Re)	Clang_avg	gseIMFBx_avg(nT)	gseIMFBy_avg(nT)	gseIMFBz_avg(nT)	Shock_Ang(deg)	ionVx_gsm_avg(km/s)	ionVx_gsm_med(km/s)	ionVx_gsm_std(km/s)	ionVx_gsm_rms(km/s)	ionDen_avg(1/cc)	ionDen_med(1/cc)	ionDen_std(1/cc)
2015-09-02 00:30:00	2015-09-02 00:40:00	8.317860965534118	-2.62680210080114	7.495318750777422	-2.470566615728529	242.269	4.423	-3.538	-3.085	47.093	13.645149186719209	14.424266815185547	6.37852521804913	15.06239291364797	0.93708384	0.93587804	0.03747485
2015-09-02 01:00:00	2015-09-02 01:10:00	7.757398379988412	-2.820324482679488	6.818893026715536	-2.3920615625481787	227.644	3.255	-3.02	-4.693	61.229	13.645149186719209	14.424266815185547	6.37852521804913	15.06239291364797	0.93708384	0.93587804	0.03747485
2015-09-03 23:00:00	2015-09-03 23:10:00	9.52249452379232	-1.7522763370571373	8.969027853925839	-2.676135670211638	228.005	-2.427	-6.19	-8.662	75.378	16.01898982381462	16.72154998779297	20.369501400019256	25.913792124289003	0.95295006	0.9601586	0.056212757
2015-09-23 09:10:00	2015-09-23 09:20:00	10.40364094273334	6.896423875061932	6.545389471864177	-4.222669524286243	227.671	7.865	-1.038	-3.775	29.348	-8.415140441104548	-6.658233880996704	36.33160997165819	37.29343738214816	1.8398584	1.5416422	1.3093584
2015-09-23 20:10:00	2015-09-23 20:20:00	9.988123147552647	1.6659659100410693	9.25864556641591	-3.3559589263618754	303.071	0.528	-8.437	2.623	80.775	9.445489196163235	10.012992858886719	10.205938788046408	13.906058129469566	1.0118599	0.9968561	0.0545096
2015-09-23 20:40:00	2015-09-23 20:50:00	9.60339057560536	1.276908655556465	8.976452543705722	-3.164751689426011	309.565	0.548	-8.068	3.678	80.275	8.747379955492521	10.875963687896729	11.684190355667393	14.59578570523777	0.8764204	0.80675864	0.12575819
2015-09-23 22:00:00	2015-09-23 22:10:00	8.364312675457976	0.2074133155482521	7.91154621458297	-2.7061539879081	310.214	-1.388	-7.657	3.718	86.593	8.747379955492521	10.875963687896729	11.684190355667393	14.59578570523777	0.8764204	0.80675864	0.12575819
2015-09-23 22:30:00	2015-09-23 22:40:00	7.808139753029807	-0.1998981482052396	7.379300914911298	-2.543557162062215	301.996	0.14	-8.368	2.753	82.849	8.747379955492521	10.875963687896729	11.684190355667393	14.59578570523777	0.8764204	0.80675864	0.12575819
2015-09-24 08:40:00	2015-09-24 08:50:00	10.144631302042024	7.023087567166038	6.198756452595535	-3.8939721378865433	229.642	6.145	-0.688	-2.07	22.32	7.7109608107538365	7.9198877811431885	12.62121530766824	14.790334427168998	0.71952605	0.7544249	0.09324287
2015-09-24 09:25:00	2015-09-24 09:35:00	10.62506224831625	6.999756395180199	6.679525403776736	-4.390602779411865	294.906	5.645	-3.01	-0.347	23.74	2.766609146301426	5.461024522781372	33.11475579303441	33.230124546873206	0.79460794	0.7361302	0.24990402
2015-09-24 10:15:00	2015-09-24 10:25:00	11.066627222107565	6.897831904103281	7.161911652695873	-4.857520894590336	266.747	6.417	-1.31	-0.917	13.182	2.741142147465756	2.2802958488464355	20.021386220201624	20.208160887401224	0.5729111	0.5694181	0.09420934
2015-09-24 11:20:00	2015-09-24 11:30:00	11.50586907157492	6.661785139381595	7.733284984710097	-5.310409806041926	278.746	5.293	-3.65	-1.638	33.805	20.992646579903766	23.002416610717773	21.366402062751206	29.953536477950053	0.47928813	0.47004604	0.054631732
2015-09-24 12:50:00	2015-09-24 13:00:00	11.87908304214414	6.1694206273929	8.4531112997835	-5.620873313191157	292.441	5.277	-3.395	-0.543	28.314	-7.217684054060986	-8.2727632522583	10.15821832053051	12.46131463978853	0.5369563	0.53833634	0.037231542
2015-09-28 13:00:00	2015-09-28 13:10:00	11.960890664575864	6.566885570229771	8.313722463247608	-5.551519185310674	262.454	4.043	-2.44	-1.812	33.998	-7.204942233692434	-6.3873491287231445	9.596322067727485	12.000024575741435	0.7281436	0.72794133	0.021645809
2015-09-28 13:50:00	2015-09-28 14:00:00	11.996799336506834	6.202363754652992	8.653926565823449	-5.528262113427009	266.503	4.05	-2.772	-1.868	35.478	-19.39612011219326	-18.669403076171875	35.54265129717286	40.490610475010754	1.6965525	1.1895163	1.0902039
2015-09-28 16:15:00	2015-09-28 16:25:00	11.653650239604795	4.874283896850423	9.370991725977662	-4.922516789086013	253.956	4.987	-1.63	-1.445	21.205	3.7737111158500936	4.1658430099487305	8.197854612265985	9.024728019710135	0.68436354	0.6819299	0.020373859
2015-09-28 16:45:00	2015-09-28 16:55:00	11.497507303519448	4.552958178076502	9.441797338888788	-4.723706509464351	231.754	4.617	-1.287	-2.315	30.321	6.790477903713858	6.664871692657471	10.9526033184989	12.886819220165203	0.55185705	0.54436696	0.032757305
2015-09-28 17:50:00	2015-09-28 18:00:00	11.053336226353352	3.805848549968105	9.46698620883838	-4.250367024813591	235.449	4.002	-1.272	-1.852	28.941	16.902550808469154	19.397350311279297	18.092258138666	24.759362439065498	0.56501085	0.55401206	0.065524146
2015-10-01 15:00:00	2015-10-01 15:10:00	11.86757275546106	5.9092045561818445	8.85962207082464	-5.2369501315749085	242.07	0.212	-5.662	-8.173	86.541	-135.42157475751145	-135.91908264160156	5.672525930445344	135.54032780038509	52.447315	52.77356	3.8014755
2015-10-01 15:30:00	2015-10-01 15:40:00	11.766317921799548	5.618471574173495	8.995278583504023	-5.095275913621978	243.791	0.688	-6.168	-8.113	83.036	-138.2862239559321	-138.19740295410156	7.713725186414539	138.50119599570877	74.64897	74.92331	14.466699
2015-10-17 11:55:00	2015-10-17 12:05:00	12.00470253594554	8.882044424519847	6.583804127686445	-4.6769932480353535	266.403	3.707	-5.415	-3.723	60.131	-86.41678019932338	-90.26905059814453	14.470703810319124	87.619981561195	28.663452	30.175102	4.844813
2015-10-21 11:35:00	2015-10-21 11:45:00	11.998933001883728	9.331344885217012	6.130146572000975	-4.395485137111856	306.093	2.73	-9.785	1.033	78.802	-144.44571255562002	-141.442626953125	11.921950344860909	144.93687169152687	37.714893	37.661	2.6943676
2015-10-26 14:00:00	2015-10-26 14:10:00	11.394386525766118	8.414487464577464	6.507233525297512	-4.084420802848478	283.542	-5.455	-2.272	-0.497	18.253	-1.1184708364027784	-4.371136665344238	13.936414183486184	13.981223741345334	1.2468567	1.2635833	0.10208757
2015-10-30 04:20:00	2015-10-30 04:30:00	9.88735298245187	9.654063304260731	1.895784831340424	-0.981202244010294	306.753	-5.72	-3.12	1.057	25.16	-6.2376003968181895	-5.935190439224243	14.404613191709911	15.697150694096353	0.7733352	0.80265886	0.1618174
2015-10-30 04:50:00	2015-10-30 05:00:00	10.24548582451549	9.927195531353258	2.228357304115874	-1.2055135941783215	307.766	-5.815	-3.323	1.022	26.431	-1.1576403695255963	-2.0424845218658447	19.7508290727773	19.78472593409422	4.956469	4.237527	4.0742364
2015-10-30 05:20:00	2015-10-30 05:30:00	10.56619817971676	10.154460206546624	2.54125550991367	-1.4393297446293667	286.514	-6.21	-4.118	-0.33	29.643	-20.485032554882675	-18.720093727111816	16.567404902427743	26.346071129783088	34.196392	33.9551	5.498589
2015-10-30 05:50:00	2015-10-30 06:00:00	10.851442122662212	10.338971060579464	2.834852743193504	-1.6796817372027797	298.613	-5.068	-5.722	0.632	44.151	-31.122185707092285	-31.402183532714844	6.687866712910828	31.832656256687095	32.67656	32.96774	2.294615
2015-11-06 04:00:00	2015-11-06 04:10:00	10.197568533300268	10.10162274362031	1.1641366001908997	-0.7684778640489561	226.567	-5.733	-1.195	-1.995	28.956	-3.9046459204670207	-4.592323541641235	10.187359848747105	10.910021102274936	0.311542	0.31094027	0.032530136
2015-11-06 06:05:00	2015-11-06 06:15:00	11.326397088466896	10.966367363966516	2.356957824453659	-1.5713913904356775	233.659	-5.803	-0.833	-1.342	22.536	-60.27268579400572	-83.5283203125	56.446324544098175	82.57714094930023	7.81405	10.222621	5.2231913
2015-11-07 08:20:00	2015-11-07 08:30:00	11.944787566344816	11.223345180790984	3.29094723156058	-2.425440516193885	230.169	0.682	-4.648	-10.193	82.286	-101.41184917848501	-101.39141845703125	12.126428460625831	102.13429111229227	4.538452	4.4789476	0.33762783
2015-11-07 08:50:00	2015-11-07 09:00:00	11.992313892889518	11.172134022531653	3.4967021899457627	-2.602061834514445	234.127	0.17	-5.593	-10.62	84.266	-122.89116122117683	-123.47974395751953	10.998972559203894	123.38239300502887	8.441514	8.417604	0.5166118
2015-11-07 09:20:00	2015-11-07 09:30:00	12.01145777571486	11.088755599237205	3.697277800300112	-2.7646698749913043	241.363	0.292	-6.935	-10.065	82.906	-121.8225192169645	-122.10372161865234	14.02370777404894	122.62703848703028	8.481099	8.380473	0.9147622
2015-11-07 09:50:00	2015-11-07 10:00:00	12.002299381671495	10.97359606025193	3.89382696947245	-2.9106929860995563	249.272	0.402	-8.443	-9.31	81.573	-104.59929286899852	-105.28064346313477	14.175191954736755	105.55542684129583	5.8204546	5.7745233	0.402466
2015-11-07 12:30:00	2015-11-07 12:40:00	11.468358938417609	9.827118219735295	4.886834032750596	-3.326893807134581	241.074	-10.122	-5.435	-7.865	49.96	-103.85498735241424	-106.31396484375	13.814730263301813	104.76977221612114	7.5891976	7.427127	1.287659
2015-11-07 13:20:00	2015-11-07 13:30:00	11.126652597235152	9.282000433698206	5.165134755523551	-3.311559711672371	249.657	-10.858	-6.565	-6.627	48.024	-50.12545403437828	-88.91197967529297	84.16701439220319	97.96247982697207	14.436091	16.707916	5.646979
2015-11-07 13:50:00	2015-11-07 14:00:00	10.878742927567991	8.910380879678542	5.317361596210073	-3.267395370368943	248.188	-10.517	-7.687	-7.77	53.281	-64.32209632912678	-65.71594619750977	88.1831142401753	109.14941004544767	2.323229	2.3465981	1.0824658
2015-11-07 14:20:00	2015-11-07 14:30:00	10.597118244366518	8.504250448559342	5.454380102708947	-3.197542398059744	253.277	-10.653	-9.03	-7.357	55.311	20.1654062675896	9.263076305389404	63.055451603433205	66.20146212018167	0.659324	0.5409262	0.32542315
2015-11-07 15:30:00	2015-11-07 15:40:00	9.799366285403323	7.415490969412321	5.691000139667005	-2.9407638994116687	257.577	-10.7	-10.89	-6.708	58.449	25.990106665891066	27.22635269165039	17.93526967226037	31.577833090969015	0.49093992	0.4707705	0.06444803
2015-11-07 16:25:00	2015-11-07 16:35:00	9.01933716846338	6.41045962894604	5.760825159879815	-2.6579025725963987	271.518	-11.817	-11.875	-3.437	55.373	24.38653741324318	24.441298484802246	37.769994716334246	44.958599932375854	0.593748	0.45285207	0.5967833
2015-11-07 17:25:00	2015-11-07 17:35:00	7.988302402281623	5.145360529225575	5.667174634544335	-2.284258050544024	249.675	-10.873	-10.873	-7.69	58.85	24.38653741324318	24.441298484802246	37.769994716334246	44.958599932375854	0.593748	0.45285207	0.5967833
2015-11-07 17:55:00	2015-11-07 18:05:00	7.390302132741702	4.438795520575756	5.531456161680556	-2.0766862473083063	251.176	-10.865	-11.943	-7.617	60.79	24.38653741324318	24.441298484802246	37.769994716334246	44.958599932375854	0.593748	0.45285207	0.5967833
2015-11-21 00:45:00	2015-11-21 00:55:00	8.880954563712748	8.652154375227305	-1.987703083359433	-0.2411926180239343	229.213	4.077	-4.798	-4.728	50.633	-6.913354982348049	-7.041731357574463	8.988721479633758	11.33982323276628	0.373558	0.37039742	0.012918521
2015-11-21 01:35:00	2015-11-21 01:45:00	9.618160539388446	9.484267662363308	-1.5663320015824993	-0.3197681664597604	237.773	3.31	-4.535	-3.468	51.034	-22.056680147327594	-26.227731704711914	34.57101264437516	41.00795111169372	2.1244707	1.6053647	1.8458838
2015-11-21 02:05:00	2015-11-21 02:15:00	10.003819723515514	9.911347587890344	-1.3049823490672672	-0.3698265757936336	246.341	3.452	-5.068	-2.903	50.1	-8.46846004786776	-8.984320163726807	11.71020856049832	14.451428998984861	17.32125	17.338657	1.1921084
2015-11-21 02:35:00	2015-11-21 02:45:00	10.35044240718698	10.289131194903746	-1.0406802293983064	-0.4251176764132084	256.164	3.18	-5.132	-1.993	50.73	-19.494234005017066	-23.42841911315918	19.06213965635532	27.26518526841066	19.872427	20.687035	3.006266
2015-11-22 00:20:00	2015-11-22 00:30:00	8.57939522752678	8.271459775720052	-2.265629257129634	-0.2307875361616289	292.947	3.567	-3.665	1.33	38.885	-2.214006256656358	-3.4514081478118896	12.29717314003241	12.49489059337648	0.93846816	0.93888295	0.06778187
2015-11-24 15:10:00	2015-11-24 15:20:00	8.431149826371872	7.133410240863069	4.065550213921909	-1.9149193902463304	278.731	3.587	-1.98	-0.21	35.662	-0.3158434901248526	-0.3104548454284668	8.834694403007148	8.840338359179476	0.6587869	0.6585475	0.026473299
2015-11-24 15:40:00	2015-11-24 15:50:00	7.878796535898641	6.452950980876089	4.149489582614204	-1.7924932109471088	287.032	3.652	-2.032	0.122	35.884	-0.3158434901248526	-0.3104548454284668	8.834694403007148	8.840338359179476	0.6587869	0.6585475	0.026473299
2015-11-24 16:10:00	2015-11-24 16:20:00	7.268073098496681	5.706446899631522	4.188417139328837	-1.647535093155609	292.284	3.655	-2.125	0.365	37.03	-0.3158434901248526	-0.3104548454284668	8.834694403007148	8.840338359179476	0.6587869	0.6585475	0.026473299
2015-11-26 05:15:00	2015-11-26 05:25:00	11.770805337727106	11.74158479559646	-0.2524529962083571	-0.7887359479540484	308.823	-1.635	-3.73	1.833	63.041	-40.45434023729011	-40.212581634521484	3.9919146257662534	40.65081827483718	48.324745	48.29795	3.7096486
2015-11-27 08:40:00	2015-11-27 08:50:00	11.907464926116807	11.755127132299044	1.214343060348951	-1.4590343756628033	264.268	7.095	-4.862	-2.298	42.992	-66.38539845907866	-66.94046783447266	12.177761902078743	67.49310345149617	81.86546	81.28659	6.95602
2015-11-27 09:10:00	2015-11-27 09:20:00	11.812109681557226	11.619129787410168	1.43933177187599	-1.564844569800819	252.702	6.37	-4.335	-3.343	46.014	-57.03429971524139	-57.769540786743164	14.625017088946597	58.87955900700993	88.43862	88.32526	8.451184
2015-11-27 09:40:00	2015-11-27 09:50:00	11.687557746401778	11.448105482538503	1.6635387452838837	-1.6646701939397883	263.688	6.323	-4.802	-2.433	46.3	-50.543305605205134	-50.50809669494629	19.382241711423017	54.132218089241334	82.24819	81.163666	6.3380175
