Start_str	End_str	Clang_avg	omniBxGSE_avg(nT)	omniByGSE_avg(nT)	omniBzGSE_avg(nT)	Shock_Ang(deg)	omniVsw_avg(km/s)
2016-09-01 00:15:00	2016-09-01 00:25:00	125.972	-1.455	5.008	-2.125	69.91	421.6
2016-09-01 01:10:00	2016-09-01 01:20:00	143.253	-1.872	4.31	-3.46	65.986	420.217
2016-09-01 01:45:00	2016-09-01 01:55:00	114.728	2.997	6.022	-1.027	68.708	450.45
2016-09-01 02:35:00	2016-09-01 02:45:00	130.911	0.97	5.822	-2.612	86.541	435.483
2016-09-01 03:05:00	2016-09-01 03:15:00	125.613	-0.468	6.483	-2.065	81.674	430.65
2016-09-01 03:35:00	2016-09-01 03:45:00	127.537	-3.1	6.923	-2.325	61.725	414.55
2016-09-01 04:50:00	2016-09-01 05:00:00	144.672	-2.09	7.027	-4.493	70.699	422.933
2016-09-01 06:00:00	2016-09-01 06:10:00	140.358	1.728	7.745	-3.735	83.906	438.017
2016-09-01 06:45:00	2016-09-01 06:55:00	176.24	3.153	3.93	-6.663	73.105	438.4
2016-09-01 07:25:00	2016-09-01 07:35:00	129.369	-4.828	6.953	-1.52	51.385	424.667
2016-09-01 16:00:00	2016-09-01 16:10:00	25.569	-7.917	0.06	3.513	27.639	516.25
2016-09-01 20:00:00	2016-09-01 20:10:00	167.962	1.19	2.887	-5.83	84.176	564.933
2016-09-02 14:10:00	2016-09-02 14:20:00	119.274	-4.028	6.93	-0.097	57.466	640.817
2016-09-02 18:15:00	2016-09-02 18:25:00	24.986	-6.63	0.312	2.772	26.286	624.017
2016-09-02 19:40:00	2016-09-02 19:50:00	95.515	-4.397	4.89	0.882	46.579	635.367
2016-09-02 23:20:00	2016-09-02 23:30:00	103.947	-4.47	5.777	-0.117	49.925	651.617
2016-09-03 00:00:00	2016-09-03 00:10:00	97.663	-4.047	5.185	0.527	50.303	660.967
2016-09-03 01:05:00	2016-09-03 01:15:00	133.93	-4.92	2.653	-1.578	28.569	644.783
2016-09-04 00:30:00	2016-09-04 00:40:00	98.729	-3.54	5.158	0.457	53.425	657.95
2016-09-04 14:55:00	2016-09-04 15:05:00	43.748	1.15	1.535	5.218	76.031	684.117
2016-09-05 01:05:00	2016-09-05 01:15:00	88.245	-3.383	1.628	0.477	24.804	609.9
2016-09-05 15:55:00	2016-09-05 16:05:00	119.996	1.815	5.223	-0.463	75.279	595.783
2016-09-05 16:25:00	2016-09-05 16:35:00	111.376	1.127	5.385	0.212	81.919	583.733
2016-09-05 16:55:00	2016-09-05 17:05:00	116.261	0.163	5.997	-0.445	87.486	573.917
2016-09-05 17:40:00	2016-09-05 17:50:00	129.319	-0.215	5.097	-1.743	83.287	566.883
2016-09-05 18:25:00	2016-09-05 18:35:00	130.943	-1.492	4.393	-1.817	66.91	543.083
2016-09-05 18:55:00	2016-09-05 19:05:00	150.629	0.607	3.867	-3.615	88.785	567.35
2016-09-05 20:35:00	2016-09-05 20:45:00	71.133	-3.792	1.957	1.225	30.905	535.267
2016-09-05 21:15:00	2016-09-05 21:25:00	89.144	-3.635	2.288	0.607	30.257	529.383
2016-09-06 00:05:00	2016-09-06 00:15:00	51.912	-4.912	0.85	1.073	16.8	555.483
2016-09-06 02:55:00	2016-09-06 03:05:00	153.677	0.218	2.537	-2.625	87.476	552.333
2016-09-06 03:55:00	2016-09-06 04:05:00	349.356	-5.242	-0.352	0.588	12.89	529.183
2016-09-06 05:15:00	2016-09-06 05:25:00	39.866	-4.65	0.383	1.328	19.642	517.617
2016-09-06 06:10:00	2016-09-06 06:20:00	171.294	3.382	2.498	-3.603	57.673	563.8
2016-09-06 14:20:00	2016-09-06 14:30:00	56.998	-4.092	1.107	2.057	31.127	476.367
2016-09-06 20:40:00	2016-09-06 20:50:00	88.067	-1.775	3.493	1.037	61.217	518.633
2016-09-06 22:45:00	2016-09-06 22:55:00	148.063	2.76	2.347	-2.283	56.224	535.383
2016-09-07 00:10:00	2016-09-07 00:20:00	112.548	-3.977	2.713	-0.51	30.438	495.817
2016-09-07 00:45:00	2016-09-07 00:55:00	69.687	-3.948	2.123	1.532	32.569	486.833
2016-09-07 01:15:00	2016-09-07 01:25:00	58.771	-3.928	2.008	2.095	36.114	484.75
2016-09-07 02:55:00	2016-09-07 03:05:00	113.151	-2.292	3.233	-0.282	49.472	476.967
2016-09-07 03:30:00	2016-09-07 03:40:00	89.4	-3.065	2.95	1.077	42.632	476.317
2016-09-07 21:20:00	2016-09-07 21:30:00	37.854	-4.338	0.552	1.257	19.874	501.6
2016-09-07 22:20:00	2016-09-07 22:30:00	86.404	-4.188	1.33	0.363	15.506	499.4
2016-09-07 22:50:00	2016-09-07 23:00:00	112.851	-3.537	2.16	-0.388	26.773	498.983
2016-09-07 23:20:00	2016-09-07 23:30:00	128.119	-2.082	2.728	-1.302	49.878	500.917
2016-09-08 04:20:00	2016-09-08 04:30:00	210.44	3.53	-0.675	-4.6	51.332	514.867
2016-09-08 06:30:00	2016-09-08 06:40:00	139.732	-1.797	3.833	-1.565	58.203	467.967
2016-09-08 14:55:00	2016-09-08 15:05:00	206.51	-0.557	0.073	-4.388	79.311	449.783
2016-09-08 16:15:00	2016-09-08 16:25:00	254.787	-1.043	-3.328	-2.738	78.76	446.467
2016-09-08 23:15:00	2016-09-08 23:25:00	19.635	-2.972	0.397	3.445	52.952	441.05
2016-09-09 00:45:00	2016-09-09 00:55:00	85.797	2.162	4.182	1.418	68.481	463.417
2016-09-09 01:15:00	2016-09-09 01:25:00	81.292	1.56	4.332	1.928	75.621	457.35
2016-09-09 01:50:00	2016-09-09 02:00:00	43.653	-1.958	1.702	3.435	63.895	439.85
2016-09-09 03:10:00	2016-09-09 03:20:00	14.171	-2.57	-0.302	3.413	57.57	432.4
2016-09-09 03:40:00	2016-09-09 03:50:00	9.105	-0.9	-0.852	4.427	83.451	441.383
2016-09-09 04:10:00	2016-09-09 04:20:00	36.046	-3.313	0.6	2.635	42.382	420.883
2016-09-09 05:35:00	2016-09-09 05:45:00	79.187	-1.573	3.308	2.36	66.425	428.567
2016-09-09 06:15:00	2016-09-09 06:25:00	101.494	-3.09	2.213	0.645	31.645	416.667
2016-09-09 13:55:00	2016-09-09 14:05:00	50.475	-2.857	1.097	2.773	48.053	397.8
2016-09-09 14:30:00	2016-09-09 14:40:00	88.538	-2.917	2.732	1.542	43.805	397.2
2016-09-09 15:00:00	2016-09-09 15:10:00	94.611	-2.697	2.823	1.138	44.0	398.333
2016-09-09 16:15:00	2016-09-09 16:25:00	113.067	-2.532	3.027	0.023	43.982	394.683
2016-09-09 17:15:00	2016-09-09 17:25:00	104.479	-1.052	3.98	0.507	69.187	403.767
2016-09-09 17:45:00	2016-09-09 17:55:00	99.071	-1.037	3.967	0.802	70.098	404.15
2016-09-09 19:50:00	2016-09-09 20:00:00	79.552	-2.113	2.793	1.338	51.585	391.133
2016-09-09 20:50:00	2016-09-09 21:00:00	75.119	-3.368	1.683	0.95	26.47	380.117
2016-09-09 21:50:00	2016-09-09 22:00:00	71.359	-1.03	3.278	2.092	71.453	392.883
2016-09-09 23:25:00	2016-09-09 23:35:00	87.789	-1.027	3.33	0.945	67.615	387.25
2016-09-10 00:25:00	2016-09-10 00:35:00	115.943	1.478	3.35	-0.672	74.245	400.333
2016-09-10 00:55:00	2016-09-10 01:05:00	100.171	1.852	3.222	0.257	66.953	399.767
2016-09-10 01:45:00	2016-09-10 01:55:00	98.718	1.202	4.203	0.56	80.443	402.567
2016-09-10 02:15:00	2016-09-10 02:25:00	79.449	0.555	4.072	2.13	87.566	400.9
2016-09-10 04:15:00	2016-09-10 04:25:00	131.557	2.075	3.23	-1.168	66.739	402.967
2016-09-10 04:45:00	2016-09-10 04:55:00	113.155	2.382	3.207	-0.01	60.47	402.95
2016-09-10 05:20:00	2016-09-10 05:30:00	88.205	-1.507	3.407	1.653	63.69	382.617
2016-09-10 06:15:00	2016-09-10 06:25:00	96.58	0.668	3.603	1.322	85.51	397.15
2016-09-10 06:45:00	2016-09-10 06:55:00	84.917	0.01	3.323	2.142	86.2	388.85
2016-09-10 13:10:00	2016-09-10 13:20:00	83.666	-1.653	2.03	1.555	53.916	359.55
2016-09-10 13:40:00	2016-09-10 13:50:00	56.046	-1.745	1.137	2.275	56.29	357.433
2016-09-10 14:50:00	2016-09-10 15:00:00	87.499	-1.733	1.565	0.885	41.935	360.183
2016-09-10 15:25:00	2016-09-10 15:35:00	57.864	-2.468	0.627	0.982	25.97	358.183
2016-09-10 16:35:00	2016-09-10 16:45:00	21.604	-2.635	-0.042	1.297	31.06	358.817
2016-09-10 17:30:00	2016-09-10 17:40:00	93.231	-1.6	1.4	0.445	36.57	345.917
2016-09-11 00:00:00	2016-09-11 00:10:00	120.769	0.648	2.477	-0.76	85.395	350.45
2016-09-11 02:50:00	2016-09-11 03:00:00	115.429	-0.273	2.772	-0.343	73.867	347.583
2016-09-11 04:30:00	2016-09-11 04:40:00	115.937	-1.042	2.852	-0.187	59.828	341.833
2016-09-11 05:00:00	2016-09-11 05:10:00	104.665	-1.22	2.755	0.423	55.712	340.233
