Start_str	End_str	Clang_avg	omniBxGSE_avg(nT)	omniByGSE_avg(nT)	omniBzGSE_avg(nT)	Shock_Ang(deg)	omniVsw_avg(km/s)
2018-09-01 01:35:00	2018-09-01 01:45:00	284.177	-3.255	-1.097	0.028	24.611	371.167
2018-09-01 04:00:00	2018-09-01 04:10:00	312.375	-2.53	-1.998	0.828	45.471	374.583
2018-09-02 09:15:00	2018-09-02 09:25:00	308.625	1.515	-2.29	0.317	50.962	327.667
2018-09-02 09:45:00	2018-09-02 09:55:00	313.785	1.79	-2.005	0.443	43.22	322.1
2018-09-02 11:45:00	2018-09-02 11:55:00	302.135	1.747	-2.735	0.032	51.752	319.033
2018-09-02 12:15:00	2018-09-02 12:25:00	305.265	2.21	-2.452	0.177	42.034	318.217
2018-09-02 13:15:00	2018-09-02 13:25:00	272.441	2.028	-2.15	-1.123	44.056	315.783
2018-09-02 13:45:00	2018-09-02 13:55:00	279.607	1.188	-2.632	-0.937	60.903	315.0
2018-09-02 14:30:00	2018-09-02 14:40:00	259.472	2.063	-2.238	-1.793	49.096	316.317
2018-09-02 15:30:00	2018-09-02 15:40:00	230.807	2.015	-1.682	-3.728	60.494	334.6
2018-09-03 04:50:00	2018-09-03 05:00:00	295.615	1.872	-5.327	0.335	65.494	338.65
2018-09-03 12:45:00	2018-09-03 12:55:00	276.82	-0.623	-3.562	-1.595	86.319	337.017
2018-09-03 15:50:00	2018-09-03 16:00:00	231.894	4.18	-1.395	-2.762	33.641	352.183
2018-09-05 21:00:00	2018-09-05 21:10:00	275.868	3.353	-1.773	-0.258	25.636	441.55
2018-09-05 21:30:00	2018-09-05 21:40:00	282.102	3.297	-1.63	-0.052	23.998	443.65
2018-09-07 22:35:00	2018-09-07 22:45:00	267.447	2.208	-2.842	-0.808	51.186	408.117
2018-09-08 09:50:00	2018-09-08 10:00:00	297.147	1.833	-3.993	-0.335	63.039	376.767
2018-09-08 18:35:00	2018-09-08 18:45:00	271.183	-1.725	-4.338	-1.39	79.124	380.017
2018-09-08 19:05:00	2018-09-08 19:15:00	282.658	-0.78	-4.91	-0.392	88.045	377.65
2018-09-08 19:35:00	2018-09-08 19:45:00	286.865	-0.805	-4.505	0.033	88.371	385.583
2018-09-09 09:15:00	2018-09-09 09:25:00	303.809	-2.09	-5.287	0.217	70.399	375.317
2018-09-09 09:45:00	2018-09-09 09:55:00	307.855	-1.097	-5.635	0.585	80.776	377.433
2018-09-12 07:15:00	2018-09-12 07:25:00	303.356	-3.583	-3.352	0.392	42.471	540.433
2018-09-17 14:55:00	2018-09-17 15:05:00	308.188	3.258	-7.34	1.282	70.294	515.0
2018-09-17 15:25:00	2018-09-17 15:35:00	313.826	4.428	-6.11	1.895	59.293	512.317
2018-09-17 15:55:00	2018-09-17 16:05:00	314.757	5.632	-5.75	1.945	51.449	506.633
2018-09-18 01:55:00	2018-09-18 02:05:00	313.139	2.94	-3.125	1.525	54.219	535.733
2018-09-19 06:25:00	2018-09-19 06:35:00	269.669	-0.98	-2.135	-1.152	67.838	462.85
2018-09-19 10:00:00	2018-09-19 10:10:00	226.154	3.665	-0.242	-0.977	15.315	444.667
