Start_str	End_str	Clang_avg	omniBxGSE_avg(nT)	omniByGSE_avg(nT)	omniBzGSE_avg(nT)	Shock_Ang(deg)	omniVsw_avg(km/s)
2020-09-08 19:45:00	2020-09-08 19:55:00	324.671	2.393	-1.712	1.362	46.386	308.15
2020-09-09 06:25:00	2020-09-09 06:35:00	319.963	0.622	-3.143	1.343	84.12	313.417
2020-09-09 07:05:00	2020-09-09 07:15:00	326.718	1.193	-2.945	1.595	74.871	309.033
2020-09-09 08:15:00	2020-09-09 08:25:00	326.569	-1.688	-2.877	1.39	58.465	321.95
2020-09-11 02:15:00	2020-09-11 02:25:00	318.685	1.347	-3.517	2.15	76.248	294.683
2020-09-11 03:10:00	2020-09-11 03:20:00	340.347	1.655	-1.823	2.29	63.924	290.25
2020-09-11 04:05:00	2020-09-11 04:15:00	331.795	2.878	-2.03	1.735	46.711	285.217
2020-09-23 02:45:00	2020-09-23 02:55:00	341.225	-2.627	-1.84	2.408	56.46	355.383
2020-09-23 03:15:00	2020-09-23 03:25:00	345.422	-3.015	-1.573	2.272	49.913	356.75
2020-09-28 22:10:00	2020-09-28 22:20:00	338.184	-4.867	-2.427	3.373	34.958	592.967
2020-10-06 14:55:00	2020-10-06 15:05:00	342.155	-4.672	-3.528	3.51	41.842	335.533
2020-10-07 07:05:00	2020-10-07 07:15:00	329.356	-0.313	-5.687	3.398	80.552	328.083
2020-10-07 08:25:00	2020-10-07 08:35:00	339.132	-4.43	-4.142	3.247	43.821	341.533
2020-10-09 08:45:00	2020-10-09 08:55:00	351.147	-2.08	-0.822	0.985	27.678	323.8
2020-10-09 10:50:00	2020-10-09 11:00:00	322.366	-1.348	-1.448	0.457	42.583	318.75
2020-10-09 11:30:00	2020-10-09 11:40:00	315.012	-0.862	-1.96	0.463	59.679	317.167
2020-10-09 12:15:00	2020-10-09 12:25:00	350.592	-0.117	-1.358	1.605	81.933	314.2
2020-10-09 12:45:00	2020-10-09 12:55:00	346.599	-0.832	-1.493	1.552	64.215	312.883
2020-10-09 13:45:00	2020-10-09 13:55:00	339.559	-1.13	-1.762	1.538	59.032	309.633
2020-10-09 14:15:00	2020-10-09 14:25:00	327.915	-1.673	-1.858	1.085	46.314	308.167
2020-10-09 14:45:00	2020-10-09 14:55:00	318.115	-0.873	-2.13	0.822	62.538	309.733
2020-10-09 15:15:00	2020-10-09 15:25:00	316.802	-0.978	-2.242	0.858	61.277	311.567
2020-10-09 16:45:00	2020-10-09 16:55:00	334.81	-1.307	-2.253	2.023	61.785	309.083
2020-10-09 17:20:00	2020-10-09 17:30:00	333.981	-1.69	-1.997	1.867	53.34	309.483
2020-10-09 17:50:00	2020-10-09 18:00:00	330.118	-1.397	-1.975	1.687	56.562	308.367
2020-10-09 18:20:00	2020-10-09 18:30:00	327.281	-1.043	-2.055	1.652	63.252	306.3
2020-10-10 02:45:00	2020-10-10 02:55:00	326.633	2.055	-1.495	1.198	48.334	297.517
2020-10-10 03:45:00	2020-10-10 03:55:00	325.258	2.24	-1.41	0.998	43.222	293.117
2020-10-10 11:20:00	2020-10-10 11:30:00	320.673	-0.328	-3.822	1.31	79.136	298.467
2020-10-10 11:50:00	2020-10-10 12:00:00	332.167	-0.467	-3.47	2.07	77.757	300.083
2020-10-10 12:50:00	2020-10-10 13:00:00	346.999	-0.048	-2.83	3.0	84.94	298.65
2020-10-10 14:10:00	2020-10-10 14:20:00	348.951	-1.012	-2.633	3.232	72.347	301.35
