Start_str	End_str	Clang_avg	omniBxGSE_avg(nT)	omniByGSE_avg(nT)	omniBzGSE_avg(nT)	Shock_Ang(deg)	omniVsw_avg(km/s)
2018-09-02 22:25:00	2018-09-02 22:35:00	80.565	-2.445	1.715	0.648	32.129	357.817
2018-09-04 07:05:00	2018-09-04 07:15:00	119.824	0.638	4.615	-0.183	86.603	361.167
2018-09-06 16:10:00	2018-09-06 16:20:00	87.721	-0.273	2.492	1.232	81.487	391.95
2018-09-06 19:50:00	2018-09-06 20:00:00	109.551	-1.908	3.955	-0.268	61.65	382.267
2018-09-08 11:35:00	2018-09-08 11:45:00	129.735	-3.628	1.212	-0.202	16.706	361.15
2018-09-08 12:05:00	2018-09-08 12:15:00	113.122	-3.707	1.15	0.182	14.696	357.433
2018-09-08 12:55:00	2018-09-08 13:05:00	119.08	-2.893	1.765	0.062	29.054	360.85
2018-09-08 16:25:00	2018-09-08 16:35:00	123.331	-1.235	3.848	-0.585	70.109	370.767
2018-09-09 02:25:00	2018-09-09 02:35:00	86.372	-2.75	1.673	0.645	31.081	395.05
2018-09-09 22:55:00	2018-09-09 23:05:00	61.636	-3.433	0.945	0.838	18.672	415.6
2018-09-09 23:25:00	2018-09-09 23:35:00	69.275	-3.295	1.092	0.745	20.299	413.317
2018-09-11 03:15:00	2018-09-11 03:25:00	105.293	-5.858	6.377	0.503	48.481	555.3
2018-09-12 08:30:00	2018-09-12 08:40:00	89.155	-4.585	1.965	1.207	27.372	530.817
2018-09-12 09:00:00	2018-09-12 09:10:00	88.295	-4.73	2.112	1.385	28.587	518.017
2018-09-12 16:15:00	2018-09-12 16:25:00	131.367	-4.28	2.278	-0.628	30.57	479.5
2018-09-12 17:15:00	2018-09-12 17:25:00	112.475	-4.605	2.3	0.067	27.827	471.85
2018-09-12 17:45:00	2018-09-12 17:55:00	113.6	-2.302	4.283	-0.235	63.145	480.583
2018-09-12 18:45:00	2018-09-12 18:55:00	105.321	0.022	4.518	0.248	88.451	500.083
2018-09-13 14:30:00	2018-09-13 14:40:00	104.855	-3.587	5.155	1.268	57.215	480.617
2018-09-13 20:05:00	2018-09-13 20:15:00	103.353	-4.755	2.68	0.118	31.684	510.883
2018-09-13 23:35:00	2018-09-13 23:45:00	119.235	-2.858	4.42	-1.222	60.705	549.85
2018-09-14 06:55:00	2018-09-14 07:05:00	74.617	-3.932	1.03	0.967	20.888	555.583
2018-09-14 09:20:00	2018-09-14 09:30:00	105.847	-4.05	1.517	0.448	23.677	553.817
2018-09-16 15:30:00	2018-09-16 15:40:00	106.546	-2.907	1.095	0.193	22.307	400.733
2018-09-16 22:20:00	2018-09-16 22:30:00	132.103	-3.348	0.85	-0.467	18.009	378.917
2018-09-20 01:50:00	2018-09-20 02:00:00	68.407	4.147	1.173	0.925	18.75	397.7
2018-09-20 02:20:00	2018-09-20 02:30:00	49.48	3.965	0.8	1.342	21.664	392.983
2018-09-22 04:35:00	2018-09-22 04:45:00	111.597	-4.358	7.455	0.172	63.058	377.15
2018-09-22 05:15:00	2018-09-22 05:25:00	119.155	-3.885	6.937	-0.548	64.27	368.267
2018-09-22 16:55:00	2018-09-22 17:05:00	83.99	-4.13	3.742	2.038	50.755	543.417
2018-09-22 17:50:00	2018-09-22 18:00:00	105.067	0.305	5.817	0.613	81.231	562.367
2018-09-22 19:30:00	2018-09-22 19:40:00	120.956	-1.652	5.492	-1.355	80.052	547.2
2018-09-23 04:20:00	2018-09-23 04:30:00	115.948	-3.607	3.665	-0.218	50.896	462.767
2018-09-25 16:30:00	2018-09-25 16:40:00	76.415	-6.572	2.433	1.872	28.607	406.117
2018-09-25 17:50:00	2018-09-25 18:00:00	83.021	-5.085	3.617	1.877	42.81	407.383
2018-09-26 03:10:00	2018-09-26 03:20:00	94.75	-3.568	2.83	0.657	44.869	433.683
2018-09-26 03:55:00	2018-09-26 04:05:00	103.542	-2.398	2.94	0.288	56.485	437.483
2018-09-26 04:25:00	2018-09-26 04:35:00	106.765	-0.808	4.28	0.427	84.75	454.833
2018-09-26 04:55:00	2018-09-26 05:05:00	115.986	0.555	4.13	-0.147	77.093	455.833
2018-09-26 05:25:00	2018-09-26 05:35:00	134.108	3.032	3.158	-1.007	41.619	468.133
2018-09-26 19:00:00	2018-09-26 19:10:00	49.336	-4.872	1.153	1.887	27.255	446.367
2018-09-26 19:30:00	2018-09-26 19:40:00	68.065	-5.025	1.928	1.55	30.535	445.85
2018-09-26 20:00:00	2018-09-26 20:10:00	77.053	-4.687	2.41	1.337	35.486	444.783
2018-09-26 20:30:00	2018-09-26 20:40:00	75.632	-4.385	2.208	1.273	34.99	433.067
2018-09-27 15:25:00	2018-09-27 15:35:00	103.776	-3.338	2.068	0.455	38.058	406.25
2018-09-28 05:15:00	2018-09-28 05:25:00	126.312	3.398	4.275	-0.855	45.834	422.817
2018-09-28 05:50:00	2018-09-28 06:00:00	118.107	3.553	3.595	-0.128	39.493	415.05
2018-09-28 06:20:00	2018-09-28 06:30:00	119.475	2.975	3.508	-0.15	43.971	401.1
2018-09-28 06:50:00	2018-09-28 07:00:00	112.116	2.737	4.163	0.473	51.301	400.233
2018-09-28 07:20:00	2018-09-28 07:30:00	94.316	2.428	3.795	1.783	55.457	395.45
2018-09-28 07:50:00	2018-09-28 08:00:00	98.545	2.827	3.428	1.415	47.935	397.6
2018-09-29 02:00:00	2018-09-29 02:10:00	96.765	-3.663	5.665	1.032	47.344	380.033
2018-09-29 03:00:00	2018-09-29 03:10:00	102.163	-3.69	4.31	0.52	39.423	375.717
2018-09-29 03:40:00	2018-09-29 03:50:00	84.623	-6.105	3.692	1.707	26.577	366.983
2018-09-29 04:10:00	2018-09-29 04:20:00	115.917	-2.367	6.2	-0.473	57.987	370.75
2018-09-29 05:15:00	2018-09-29 05:25:00	66.015	-5.423	2.562	2.85	31.813	372.25
2018-09-29 09:40:00	2018-09-29 09:50:00	99.122	-2.255	4.033	1.743	54.158	397.983
2018-09-29 10:10:00	2018-09-29 10:20:00	96.386	-2.21	4.258	2.098	56.705	397.083
2018-09-29 11:20:00	2018-09-29 11:30:00	126.744	-3.083	4.348	-0.317	44.062	398.033
2018-09-29 11:50:00	2018-09-29 12:00:00	126.109	-2.94	4.663	-0.305	47.365	394.7
2018-09-29 12:50:00	2018-09-29 13:00:00	103.83	-4.183	3.49	1.043	32.393	392.75
2018-09-29 13:25:00	2018-09-29 13:35:00	107.51	-3.587	3.517	0.747	36.247	401.183
2018-09-29 13:55:00	2018-09-29 14:05:00	117.447	-3.488	3.61	0.115	35.935	401.617
2018-09-29 14:25:00	2018-09-29 14:35:00	91.003	-3.797	2.9	1.482	33.062	401.033
2018-09-29 15:20:00	2018-09-29 15:30:00	96.547	-4.952	1.233	0.45	8.533	399.05
2018-09-30 14:05:00	2018-09-30 14:15:00	134.303	-2.858	1.09	-0.32	11.216	402.75
2018-09-30 14:35:00	2018-09-30 14:45:00	134.659	-2.92	1.368	-0.402	15.37	402.033
2018-09-30 17:00:00	2018-09-30 17:10:00	112.104	-3.738	1.658	0.012	13.893	407.15
2018-09-30 19:25:00	2018-09-30 19:35:00	68.193	-3.105	1.643	1.348	29.007	383.217
2018-10-01 04:25:00	2018-10-01 04:35:00	123.858	-2.223	2.355	-0.453	53.64	368.95
2018-10-01 06:15:00	2018-10-01 06:25:00	126.633	-2.855	1.817	-0.31	21.705	370.25
2018-10-01 06:45:00	2018-10-01 06:55:00	116.555	-3.122	1.365	0.05	13.139	372.233
2018-10-01 07:15:00	2018-10-01 07:25:00	118.695	-2.488	2.058	-0.002	29.047	370.283
2018-10-01 19:25:00	2018-10-01 19:35:00	46.476	-5.132	2.31	4.028	40.629	412.467
2018-10-01 23:55:00	2018-10-02 00:05:00	117.308	-0.942	4.402	-1.048	68.398	458.133
2018-10-02 09:50:00	2018-10-02 10:00:00	66.975	-4.667	0.933	1.328	18.145	483.6
2018-10-02 10:20:00	2018-10-02 10:30:00	71.028	-4.605	1.125	1.423	19.519	479.683
2018-10-05 00:15:00	2018-10-05 00:25:00	113.519	-1.625	4.482	-0.747	60.371	389.6
2018-10-05 00:45:00	2018-10-05 00:55:00	107.629	-1.498	4.462	-0.223	61.269	391.283
2018-10-05 01:55:00	2018-10-05 02:05:00	105.44	-1.457	4.848	0.102	63.134	386.833
2018-10-05 02:25:00	2018-10-05 02:35:00	97.659	-2.063	4.515	0.79	56.155	382.167
2018-10-05 02:55:00	2018-10-05 03:05:00	100.107	-2.283	4.288	0.653	52.379	381.417
2018-10-06 11:50:00	2018-10-06 12:00:00	85.734	-0.808	2.382	1.745	67.297	366.367
