Start_str	End_str	Clang_avg	omniBxGSE_avg(nT)	omniByGSE_avg(nT)	omniBzGSE_avg(nT)	Shock_Ang(deg)	omniVsw_avg(km/s)
2020-09-01 17:50:00	2020-09-01 18:00:00	188.332	3.787	0.483	-2.427	31.07	629.667
2020-09-01 18:30:00	2020-09-01 18:40:00	181.256	4.03	0.74	-2.448	29.755	623.517
2020-09-01 19:00:00	2020-09-01 19:10:00	174.297	4.087	1.022	-2.448	29.728	619.9
2020-09-01 19:30:00	2020-09-01 19:40:00	169.478	4.203	1.065	-2.148	26.148	615.067
2020-09-01 20:00:00	2020-09-01 20:10:00	167.84	4.73	0.678	-1.283	13.95	615.533
2020-09-01 20:30:00	2020-09-01 20:40:00	190.931	4.842	0.087	-1.277	14.434	608.55
2020-09-01 21:10:00	2020-09-01 21:20:00	187.24	4.498	0.187	-1.655	19.228	602.3
2020-09-01 21:40:00	2020-09-01 21:50:00	168.246	4.442	0.818	-1.758	20.407	598.017
2020-09-01 22:30:00	2020-09-01 22:40:00	157.242	4.338	1.275	-1.787	22.581	592.917
2020-09-02 00:50:00	2020-09-02 01:00:00	171.445	-2.682	1.233	-2.997	54.038	535.567
2020-09-04 09:50:00	2020-09-04 10:00:00	207.392	-0.558	0.3	-4.225	84.248	429.4
2020-09-04 13:15:00	2020-09-04 13:25:00	217.408	-1.438	-0.578	-4.572	73.471	416.733
2020-09-04 13:45:00	2020-09-04 13:55:00	221.876	-2.642	-0.938	-4.208	59.033	407.4
2020-09-04 16:55:00	2020-09-04 17:05:00	168.42	-3.732	1.418	-2.125	38.188	394.717
2020-09-04 17:55:00	2020-09-04 18:05:00	141.93	-3.613	2.54	-1.588	44.508	395.483
2020-09-05 09:50:00	2020-09-05 10:00:00	136.475	-3.65	2.558	-0.673	41.158	388.233
2020-09-08 07:05:00	2020-09-08 07:15:00	142.436	-3.028	1.642	-0.743	35.225	323.583
2020-09-08 07:40:00	2020-09-08 07:50:00	150.3	-3.047	1.817	-1.093	39.15	319.833
2020-09-08 08:10:00	2020-09-08 08:20:00	164.565	-2.465	1.84	-1.827	50.767	322.0
2020-09-08 16:20:00	2020-09-08 16:30:00	181.683	-1.3	0.987	-2.41	66.536	317.083
2020-09-11 10:00:00	2020-09-11 10:10:00	219.256	2.23	-0.292	-2.322	45.911	279.883
2020-09-11 11:30:00	2020-09-11 11:40:00	195.353	1.588	0.68	-2.223	53.57	276.283
2020-09-11 13:45:00	2020-09-11 13:55:00	193.565	1.293	0.523	-1.757	53.045	280.267
2020-09-11 19:40:00	2020-09-11 19:50:00	151.698	-0.29	2.675	-2.697	89.8	319.233
2020-09-12 05:00:00	2020-09-12 05:10:00	145.001	-1.47	2.655	-1.648	69.788	304.883
2020-09-12 07:05:00	2020-09-12 07:15:00	159.104	-0.828	3.357	-2.907	84.14	310.833
2020-09-12 09:00:00	2020-09-12 09:10:00	139.156	-2.282	4.368	-1.41	69.492	330.0
2020-09-15 22:20:00	2020-09-15 22:30:00	156.076	0.352	1.793	-2.305	88.571	363.917
2020-09-18 13:00:00	2020-09-18 13:10:00	172.582	-2.412	0.283	-0.34	15.261	291.6
2020-09-19 05:25:00	2020-09-19 05:35:00	192.421	-3.028	0.632	-2.807	46.33	314.133
2020-09-19 06:05:00	2020-09-19 06:15:00	166.796	-3.582	1.533	-1.85	39.31	310.767
2020-09-19 06:35:00	2020-09-19 06:45:00	150.293	-3.103	2.315	-1.483	47.787	311.167
2020-09-19 11:55:00	2020-09-19 12:05:00	158.879	-2.092	2.148	-1.583	57.973	314.633
2020-09-19 12:50:00	2020-09-19 13:00:00	168.599	-2.05	1.355	-1.47	49.761	312.2
2020-09-19 13:20:00	2020-09-19 13:30:00	159.508	-2.228	1.612	-1.293	48.587	308.567
2020-09-19 13:50:00	2020-09-19 14:00:00	154.918	-2.01	1.858	-1.297	54.371	308.967
2020-09-19 16:25:00	2020-09-19 16:35:00	165.414	-1.167	1.182	-1.453	63.442	298.783
2020-09-19 17:20:00	2020-09-19 17:30:00	162.771	-1.818	1.465	-1.805	56.688	294.9
