Start_str	End_str	Clang_avg	omniBxGSE_avg(nT)	omniByGSE_avg(nT)	omniBzGSE_avg(nT)	Shock_Ang(deg)	omniVsw_avg(km/s)
2017-09-07 09:20:00	2017-09-07 09:30:00	266.049	7.777	-7.348	-5.197	44.381	505.6
2017-09-07 09:50:00	2017-09-07 10:00:00	248.572	8.723	-4.728	-6.305	38.141	501.15
2017-09-10 04:55:00	2017-09-10 05:05:00	293.697	4.055	-2.483	0.03	23.746	503.167
2017-09-10 05:40:00	2017-09-10 05:50:00	293.193	4.378	-1.88	-0.078	15.797	487.4
2017-09-10 06:10:00	2017-09-10 06:20:00	293.572	4.265	-2.105	-0.075	18.82	487.767
2017-09-10 06:40:00	2017-09-10 06:50:00	284.119	3.748	-2.518	-0.655	28.758	499.417
2017-09-10 07:20:00	2017-09-10 07:30:00	302.578	3.792	-2.725	0.197	27.647	489.183
2017-09-10 07:50:00	2017-09-10 08:00:00	307.738	4.082	-2.255	0.313	20.684	480.067
2017-09-25 00:40:00	2017-09-25 00:50:00	308.73	2.917	-3.988	1.757	57.448	369.133
2017-09-25 01:35:00	2017-09-25 01:45:00	256.531	1.595	-7.44	-4.252	78.988	366.667
2017-10-05 01:55:00	2017-10-05 02:05:00	266.918	5.043	-4.743	-1.712	35.425	379.75
2017-10-05 02:25:00	2017-10-05 02:35:00	262.264	5.362	-4.353	-2.058	33.0	376.017
2017-10-05 02:55:00	2017-10-05 03:05:00	269.91	5.568	-4.41	-1.497	30.12	374.933
2017-10-05 03:25:00	2017-10-05 03:35:00	281.985	5.547	-4.832	-0.67	30.302	372.9
2017-10-05 03:55:00	2017-10-05 04:05:00	295.691	5.713	-4.233	0.347	25.18	375.317
2017-10-05 05:00:00	2017-10-05 05:10:00	299.98	5.485	-4.578	0.502	28.364	376.2
2017-10-05 05:30:00	2017-10-05 05:40:00	307.067	4.683	-5.135	1.058	37.032	377.6
2017-10-05 12:15:00	2017-10-05 12:25:00	309.484	6.325	-3.158	0.48	15.403	367.683
2017-10-05 18:00:00	2017-10-05 18:10:00	283.978	3.333	-7.76	-0.783	55.685	396.833
2017-10-05 18:30:00	2017-10-05 18:40:00	284.254	3.188	-7.858	-0.598	57.095	397.6
2017-10-07 17:20:00	2017-10-07 17:30:00	263.961	2.78	-5.455	-2.807	56.776	391.267
2017-10-07 21:05:00	2017-10-07 21:15:00	265.148	2.56	-6.055	-2.097	59.176	413.033
2017-11-02 05:45:00	2017-11-02 05:55:00	311.583	0.637	-8.13	3.04	86.841	312.833
2017-11-02 08:40:00	2017-11-02 08:50:00	264.812	3.457	-9.095	-5.795	78.754	329.05
2017-11-02 12:00:00	2017-11-02 12:10:00	277.794	3.413	-10.863	-3.917	65.125	349.65
2017-11-02 17:25:00	2017-11-02 17:35:00	296.461	2.593	-10.2	1.872	68.491	383.0
2017-11-02 21:40:00	2017-11-02 21:50:00	247.661	6.225	-5.573	-3.435	39.715	379.367
2017-11-03 08:10:00	2017-11-03 08:20:00	288.149	3.623	-6.075	-0.87	51.797	390.817
2017-11-03 16:05:00	2017-11-03 16:15:00	281.662	1.668	-4.558	-0.482	61.915	388.05
2017-11-03 21:45:00	2017-11-03 21:55:00	266.369	-2.538	-5.423	-1.1	73.459	403.633
2017-11-03 23:55:00	2017-11-04 00:05:00	274.934	3.637	-5.237	-0.325	47.814	394.4
2017-11-04 00:25:00	2017-11-04 00:35:00	278.912	3.773	-5.588	-0.003	48.501	397.65
2017-11-04 00:55:00	2017-11-04 01:05:00	292.235	4.413	-5.252	1.122	44.008	396.45
2017-11-04 01:25:00	2017-11-04 01:35:00	300.045	3.553	-5.548	1.978	52.232	390.7
2017-11-04 01:55:00	2017-11-04 02:05:00	289.339	1.107	-5.857	0.833	72.912	397.7
2017-11-27 18:40:00	2017-11-27 18:50:00	290.41	0.287	-6.488	1.728	89.302	441.833
