Start_str	End_str	Clang_avg	omniBxGSE_avg(nT)	omniByGSE_avg(nT)	omniBzGSE_avg(nT)	Shock_Ang(deg)	omniVsw_avg(km/s)
2015-09-02 09:30:00	2015-09-02 09:40:00	345.851	6.568	-2.385	2.305	23.456	383.917
2015-09-08 07:25:00	2015-09-08 07:35:00	330.021	12.543	-13.663	8.205	42.166	527.85
2015-10-21 13:25:00	2015-10-21 13:35:00	346.319	0.27	-6.618	7.393	87.005	440.5
2015-10-25 15:15:00	2015-10-25 15:25:00	329.99	-5.047	-7.838	5.792	71.324	460.367
2015-10-26 06:20:00	2015-10-26 06:30:00	331.749	-4.062	-4.375	3.318	62.583	424.517
2015-10-26 06:55:00	2015-10-26 07:05:00	332.012	-3.985	-4.095	3.002	61.093	417.267
2015-10-26 07:25:00	2015-10-26 07:35:00	338.37	-5.075	-3.2	2.828	48.92	420.45
2015-10-26 08:25:00	2015-10-26 08:35:00	351.388	-4.75	-2.372	3.09	46.952	419.283
2015-10-26 09:30:00	2015-10-26 09:40:00	352.38	-4.957	-2.623	3.512	36.519	415.017
2015-10-26 10:00:00	2015-10-26 10:10:00	342.763	-5.642	-1.82	1.678	18.254	429.067
2015-10-26 10:30:00	2015-10-26 10:40:00	343.977	-5.593	-1.973	1.91	20.694	429.183
2015-10-26 11:00:00	2015-10-26 11:10:00	342.315	-5.445	-2.097	1.922	22.128	422.2
2015-10-26 11:30:00	2015-10-26 11:40:00	341.718	-5.658	-1.917	1.738	18.964	442.35
2015-10-26 12:00:00	2015-10-26 12:10:00	337.539	-5.595	-2.167	1.725	20.255	465.733
2015-10-26 13:10:00	2015-10-26 13:20:00	335.994	-5.727	-1.77	1.402	15.646	444.983
2015-10-30 07:05:00	2015-10-30 07:15:00	345.359	-4.187	-3.82	4.788	51.729	317.767
2015-11-08 00:40:00	2015-11-08 00:50:00	321.382	-8.535	-9.712	9.125	63.961	473.067
2015-11-08 01:10:00	2015-11-08 01:20:00	326.008	-8.057	-8.955	9.652	64.644	470.667
2015-11-08 01:40:00	2015-11-08 01:50:00	326.171	-7.188	-9.192	9.67	67.783	477.8
2015-11-08 02:10:00	2015-11-08 02:20:00	325.026	-6.42	-9.367	9.147	70.195	481.167
2015-11-08 03:00:00	2015-11-08 03:10:00	328.118	-5.293	-9.008	9.152	73.684	486.133
2015-11-08 03:30:00	2015-11-08 03:40:00	337.162	-7.718	-6.803	9.025	60.958	481.067
2015-11-18 12:30:00	2015-11-18 12:40:00	341.684	3.525	-4.943	5.777	60.383	368.267
2015-11-20 06:15:00	2015-11-20 06:25:00	318.92	-2.14	-6.355	3.857	81.292	386.5
2015-11-28 08:30:00	2015-11-28 08:40:00	316.505	4.597	-8.813	4.575	71.547	310.7
2015-11-29 00:30:00	2015-11-29 00:40:00	349.264	5.443	-1.65	8.575	60.03	346.533
2015-11-29 01:05:00	2015-11-29 01:15:00	350.019	6.242	-1.613	8.232	55.195	344.45
2015-11-29 07:10:00	2015-11-29 07:20:00	355.855	9.107	-3.925	10.465	51.466	415.267
2015-11-29 08:05:00	2015-11-29 08:15:00	341.254	7.628	-6.63	9.083	54.277	415.467
2015-12-03 11:35:00	2015-12-03 11:45:00	341.425	-5.132	-1.382	1.89	27.629	388.483
2015-12-16 03:50:00	2015-12-16 04:00:00	315.22	3.015	-3.415	3.482	60.083	598.25
2015-12-16 10:35:00	2015-12-16 10:45:00	316.007	2.72	-2.85	1.845	53.476	537.35
2015-12-16 11:05:00	2015-12-16 11:15:00	322.564	3.025	-2.158	1.745	44.347	523.3
2015-12-22 12:20:00	2015-12-22 12:30:00	325.171	1.102	-5.69	5.87	79.953	429.683
2015-12-27 02:40:00	2015-12-27 02:50:00	321.97	6.967	-1.577	2.755	21.023	525.333
2016-01-12 10:30:00	2016-01-12 10:40:00	347.21	6.502	-0.787	3.162	24.48	586.717
2016-01-17 04:25:00	2016-01-17 04:35:00	318.08	-4.878	-2.552	4.51	59.022	336.25
2016-02-12 06:55:00	2016-02-12 07:05:00	316.084	1.687	-6.7	11.815	73.256	350.633
2016-02-12 20:05:00	2016-02-12 20:15:00	333.481	-1.348	0.018	13.843	85.273	353.9
2016-02-12 20:35:00	2016-02-12 20:45:00	339.418	-1.175	1.672	15.045	83.706	356.2
2016-02-12 21:05:00	2016-02-12 21:15:00	333.801	0.555	0.457	13.912	88.193	352.85
2016-02-12 21:35:00	2016-02-12 21:45:00	353.54	0.63	5.635	14.057	84.913	351.833
2016-02-12 22:05:00	2016-02-12 22:15:00	356.988	0.358	6.998	14.553	82.59	351.883
2016-02-13 01:40:00	2016-02-13 01:50:00	347.185	-0.957	4.193	16.34	82.085	360.167
2016-02-13 02:10:00	2016-02-13 02:20:00	344.486	-1.027	3.193	16.615	83.066	358.933
2016-02-13 02:40:00	2016-02-13 02:50:00	351.94	0.67	4.893	15.683	86.399	362.883
2016-02-25 20:05:00	2016-02-25 20:15:00	337.533	-7.318	0.622	5.862	39.927	312.367
2016-03-06 11:00:00	2016-03-06 11:10:00	330.368	-0.835	-4.408	14.938	88.175	364.0
2016-03-11 11:05:00	2016-03-11 11:15:00	341.584	5.353	-1.413	16.758	73.563	353.367
2016-04-02 09:10:00	2016-04-02 09:20:00	322.235	-4.208	-0.442	0.962	13.603	321.617
