Start_str	End_str	Clang_avg	omniBxGSE_avg(nT)	omniByGSE_avg(nT)	omniBzGSE_avg(nT)	Shock_Ang(deg)	omniVsw_avg(km/s)
2019-09-06 12:45:00	2019-09-06 12:55:00	72.053	-5.5	1.083	1.23	17.882	505.333
2019-09-06 16:15:00	2019-09-06 16:25:00	110.742	-4.417	2.788	0.123	35.138	482.267
2019-09-06 18:20:00	2019-09-06 18:30:00	84.134	-4.445	2.503	1.107	33.694	474.783
2019-09-11 08:00:00	2019-09-11 08:10:00	115.138	-3.267	2.703	0.213	43.664	439.233
2019-09-13 10:40:00	2019-09-13 10:50:00	53.27	-6.965	1.84	4.922	38.225	481.85
2019-09-13 11:10:00	2019-09-13 11:20:00	54.49	-6.297	2.31	5.722	45.638	483.8
2019-09-13 11:40:00	2019-09-13 11:50:00	57.263	-6.492	2.133	4.703	39.88	477.983
2019-09-13 12:10:00	2019-09-13 12:20:00	58.288	-6.005	2.113	4.49	41.436	477.033
2019-09-13 13:20:00	2019-09-13 13:30:00	53.91	-7.242	0.898	2.158	19.644	469.833
2019-09-13 13:50:00	2019-09-13 14:00:00	54.803	-7.117	1.767	3.773	32.045	472.683
2019-09-27 12:20:00	2019-09-27 12:30:00	90.942	-5.487	10.032	6.1	59.339	426.217
2019-09-27 12:50:00	2019-09-27 13:00:00	110.475	-11.482	6.923	1.362	24.274	459.733
2019-10-02 08:45:00	2019-10-02 08:55:00	64.122	-4.9	1.077	1.697	28.227	463.7
2019-10-09 01:45:00	2019-10-09 01:55:00	102.394	-0.978	4.278	0.272	69.698	375.7
2019-10-16 04:20:00	2019-10-16 04:30:00	126.401	-0.532	5.625	-1.598	86.787	360.933
2019-10-16 04:50:00	2019-10-16 05:00:00	127.19	-0.378	5.047	-1.317	85.544	359.55
2019-11-23 06:10:00	2019-11-23 06:20:00	107.024	-2.533	5.928	-0.027	60.126	469.617
2019-11-23 06:40:00	2019-11-23 06:50:00	130.732	-5.053	3.857	-1.647	32.879	440.783
2019-11-23 07:40:00	2019-11-23 07:50:00	132.917	-4.877	4.183	-1.775	36.994	449.0
2019-11-23 08:10:00	2019-11-23 08:20:00	119.762	-3.143	5.043	-0.807	52.23	458.333
2019-11-23 12:50:00	2019-11-23 13:00:00	119.762	-5.167	5.535	-0.952	40.56	449.6
2019-11-23 13:20:00	2019-11-23 13:30:00	133.004	-1.708	6.958	-3.088	70.687	474.7
2019-11-23 13:50:00	2019-11-23 14:00:00	123.34	0.152	7.647	-2.055	84.395	493.55
2019-11-23 14:20:00	2019-11-23 14:30:00	115.42	-2.258	7.518	-1.028	66.711	467.25
2019-11-23 14:50:00	2019-11-23 15:00:00	117.455	-3.53	7.412	-1.457	58.024	458.533
2019-11-23 15:20:00	2019-11-23 15:30:00	110.19	-3.638	7.832	-0.665	58.169	457.7
2019-11-23 15:50:00	2019-11-23 16:00:00	87.042	-1.583	7.677	2.288	72.855	465.467
2019-11-23 18:25:00	2019-11-23 18:35:00	110.304	-5.205	4.508	-1.027	34.431	433.533
2019-11-23 19:25:00	2019-11-23 19:35:00	121.569	-4.925	4.063	-1.953	35.483	436.267
2019-12-24 09:45:00	2019-12-24 09:55:00	48.157	-3.77	2.358	2.88	35.777	311.433
2019-12-24 20:15:00	2019-12-24 20:25:00	71.711	-3.187	2.942	0.502	22.198	308.217
2019-12-31 16:40:00	2019-12-31 16:50:00	133.058	-4.05	2.625	-2.773	31.292	298.083
2020-01-14 10:55:00	2020-01-14 11:05:00	114.776	0.145	4.887	-2.233	73.678	315.25
2020-01-15 02:25:00	2020-01-15 02:35:00	67.186	-2.045	4.738	0.505	47.783	318.45
2020-02-28 10:25:00	2020-02-28 10:35:00	81.568	-1.798	6.478	-0.5	74.615	339.033
2020-05-01 18:35:00	2020-05-01 18:45:00	52.311	2.437	3.698	1.015	58.525	290.517
2020-05-01 19:05:00	2020-05-01 19:15:00	61.395	2.193	3.652	0.39	60.998	287.917
2020-05-01 19:35:00	2020-05-01 19:45:00	46.975	2.38	3.76	1.263	60.152	292.867
2020-05-10 01:10:00	2020-05-10 01:20:00	52.013	-2.812	3.602	0.928	48.826	309.333
2020-05-15 14:50:00	2020-05-15 15:00:00	92.222	1.123	5.473	-1.065	87.429	318.017
2020-05-15 15:20:00	2020-05-15 15:30:00	89.127	0.48	5.452	-0.872	86.321	316.933
2020-05-15 17:10:00	2020-05-15 17:20:00	51.385	-3.397	2.022	0.823	25.671	305.617
2020-05-15 19:35:00	2020-05-15 19:45:00	49.909	-2.13	3.29	1.153	50.254	301.967
2020-05-15 20:05:00	2020-05-15 20:15:00	54.98	-1.682	3.532	0.833	56.343	301.833
2020-05-16 14:20:00	2020-05-16 14:30:00	89.708	-2.447	2.162	-0.23	32.251	301.017
2020-05-16 16:25:00	2020-05-16 16:35:00	95.566	-2.432	2.847	-0.915	42.036	303.4
