Start_str	End_str	Clang_avg	omniBxGSE_avg(nT)	omniByGSE_avg(nT)	omniBzGSE_avg(nT)	Shock_Ang(deg)	omniVsw_avg(km/s)
2020-09-25 14:45:00	2020-09-25 14:55:00	202.675	5.993	0.497	-4.522	41.05	476.5
2020-09-25 15:30:00	2020-09-25 15:40:00	172.039	5.42	2.272	-3.263	31.38	473.767
2020-10-05 19:35:00	2020-10-05 19:45:00	172.893	-1.23	3.562	-8.073	85.442	364.667
2020-11-03 20:35:00	2020-11-03 20:45:00	202.376	-3.83	-0.313	-1.283	18.371	331.917
2020-11-04 02:45:00	2020-11-04 02:55:00	145.151	-3.672	1.29	-1.17	22.103	323.383
2020-11-04 04:05:00	2020-11-04 04:15:00	144.213	-4.063	0.717	-0.585	9.363	315.95
2020-11-04 07:20:00	2020-11-04 07:30:00	137.533	-2.27	3.158	-1.352	52.592	320.333
2020-11-04 08:10:00	2020-11-04 08:20:00	167.283	-3.625	1.177	-1.442	23.584	310.183
2020-11-04 08:40:00	2020-11-04 08:50:00	137.026	-3.157	2.447	-0.812	35.172	313.8
2020-11-04 09:10:00	2020-11-04 09:20:00	145.51	-3.32	2.337	-1.222	34.564	311.067
2020-11-04 09:40:00	2020-11-04 09:50:00	153.037	-3.745	1.782	-1.28	26.158	303.483
2020-11-14 21:15:00	2020-11-14 21:25:00	154.193	2.298	1.727	-2.702	62.072	311.583
2020-11-14 22:00:00	2020-11-14 22:10:00	170.906	3.057	0.6	-2.395	44.678	301.967
2020-11-18 00:25:00	2020-11-18 00:35:00	139.733	-2.2	3.048	-3.097	52.839	298.8
2020-11-21 15:10:00	2020-11-21 15:20:00	151.178	-1.71	4.105	-4.135	63.184	366.333
2020-11-21 15:55:00	2020-11-21 16:05:00	146.267	-3.178	3.912	-3.577	48.088	356.483
2020-11-21 19:55:00	2020-11-21 20:05:00	149.971	-4.663	4.507	-6.455	51.67	436.917
2020-11-21 21:55:00	2020-11-21 22:05:00	136.53	-3.187	6.892	-6.727	61.456	459.1
2020-12-01 22:45:00	2020-12-01 22:55:00	194.74	2.543	-0.812	-2.822	47.714	388.3
2020-12-02 01:30:00	2020-12-02 01:40:00	142.807	2.572	0.807	-1.05	41.291	392.867
2020-12-02 02:40:00	2020-12-02 02:50:00	180.819	2.12	0.115	-2.95	58.004	404.483
2020-12-02 04:20:00	2020-12-02 04:30:00	170.867	2.17	0.628	-2.122	54.015	406.983
2020-12-07 15:10:00	2020-12-07 15:20:00	184.963	0.023	0.218	-3.187	87.1	378.95
2020-12-19 17:50:00	2020-12-19 18:00:00	136.793	-3.717	2.98	-3.405	39.153	322.65
2021-01-11 21:25:00	2021-01-11 21:35:00	174.679	-5.313	-1.38	-6.078	52.639	439.167
2021-01-13 07:40:00	2021-01-13 07:50:00	187.028	-6.123	-0.352	-1.795	20.407	405.933
2021-01-18 21:10:00	2021-01-18 21:20:00	197.875	-2.522	-3.638	-4.663	77.982	299.817
2021-01-19 02:10:00	2021-01-19 02:20:00	203.759	-1.617	-4.077	-4.348	86.053	309.567
2021-02-02 02:35:00	2021-02-02 02:45:00	200.003	3.462	-9.307	-10.02	70.435	391.017
2021-02-16 06:55:00	2021-02-16 07:05:00	196.725	3.98	-3.607	-5.762	58.762	361.517
