Start_str	End_str	Clang_avg	omniBxGSE_avg(nT)	omniByGSE_avg(nT)	omniBzGSE_avg(nT)	Shock_Ang(deg)	omniVsw_avg(km/s)
2019-09-23 16:40:00	2019-09-23 16:50:00	215.154	2.433	-0.888	-4.153	60.517	311.067
2019-09-24 06:35:00	2019-09-24 06:45:00	171.888	-1.898	2.98	-4.09	73.74	311.983
2019-09-24 07:05:00	2019-09-24 07:15:00	179.653	-2.363	2.533	-4.513	69.186	309.55
2019-09-24 07:35:00	2019-09-24 07:45:00	178.084	-2.168	2.752	-4.435	71.287	307.017
2019-09-27 15:35:00	2019-09-27 15:45:00	166.041	-9.443	4.097	-4.933	28.294	572.817
2019-10-01 03:20:00	2019-10-01 03:30:00	164.574	-3.09	3.113	-4.39	66.785	453.633
2019-11-23 07:10:00	2019-11-23 07:20:00	145.277	-5.478	3.305	-2.448	31.249	445.467
2019-11-23 12:20:00	2019-11-23 12:30:00	146.097	-5.163	3.958	-2.793	36.92	441.917
2019-12-31 18:15:00	2019-12-31 18:25:00	144.064	-3.947	1.653	-3.088	35.242	296.633
2020-01-03 22:35:00	2020-01-03 22:45:00	221.257	1.157	-4.353	-2.862	61.947	395.317
2020-01-21 18:05:00	2020-01-21 18:15:00	176.747	2.76	-1.342	-6.197	65.593	334.55
2020-01-21 18:35:00	2020-01-21 18:45:00	188.016	3.743	-2.83	-6.225	58.981	338.8
2020-01-22 04:00:00	2020-01-22 04:10:00	200.503	4.648	-2.95	-3.987	43.257	353.95
2020-01-22 05:15:00	2020-01-22 05:25:00	224.008	3.215	-4.798	-3.302	55.175	357.967
2020-02-01 16:55:00	2020-02-01 17:05:00	207.279	-5.308	-2.325	-2.427	38.653	429.083
2020-02-17 19:50:00	2020-02-17 20:00:00	164.82	1.207	-1.177	-5.913	77.18	325.633
2020-02-17 20:20:00	2020-02-17 20:30:00	182.77	1.425	-3.242	-5.587	74.778	328.133
2020-02-17 21:25:00	2020-02-17 21:35:00	207.021	2.373	-4.475	-3.035	62.415	338.733
2020-02-18 05:20:00	2020-02-18 05:30:00	196.686	-2.508	-3.483	-4.703	69.378	377.9
2020-02-18 06:40:00	2020-02-18 06:50:00	188.628	0.252	-2.912	-6.252	85.742	375.6
2020-02-18 07:40:00	2020-02-18 07:50:00	190.384	0.098	-2.89	-6.323	87.102	377.867
2020-02-25 01:35:00	2020-02-25 01:45:00	221.851	3.59	-2.288	-0.77	33.902	401.817
2020-03-06 13:45:00	2020-03-06 13:55:00	201.954	-5.932	-2.922	-3.765	37.518	371.3
2020-03-31 06:35:00	2020-03-31 06:45:00	221.785	3.317	-4.982	-2.837	70.69	464.3
2020-04-08 08:45:00	2020-04-08 08:55:00	211.081	-3.04	-5.01	-4.825	60.87	370.783
2020-04-11 15:10:00	2020-04-11 15:20:00	194.57	3.59	-3.17	-5.168	63.514	371.867
2020-04-11 15:40:00	2020-04-11 15:50:00	187.664	3.347	-2.918	-5.867	66.557	380.3
2020-04-21 10:55:00	2020-04-21 11:05:00	216.484	-5.247	-5.07	-4.593	49.296	340.583
2020-04-21 11:25:00	2020-04-21 11:35:00	219.667	-5.177	-6.438	-5.148	53.906	345.517
2020-05-02 11:10:00	2020-05-02 11:20:00	206.264	1.833	-2.705	-3.885	68.772	324.65
2020-05-02 11:50:00	2020-05-02 12:00:00	218.122	4.928	-2.943	-2.783	39.365	320.433
2020-05-05 07:25:00	2020-05-05 07:35:00	208.578	3.34	-2.097	-2.582	44.404	309.167
2020-05-06 00:25:00	2020-05-06 00:35:00	217.931	-4.945	-4.865	-2.36	49.624	331.55
2020-05-06 00:55:00	2020-05-06 01:05:00	221.073	-4.782	-5.163	-2.302	51.987	325.85
2020-05-06 02:25:00	2020-05-06 02:35:00	183.244	-4.037	-2.688	-5.587	57.671	340.733
2020-05-06 02:55:00	2020-05-06 03:05:00	195.604	-3.113	-4.013	-5.325	66.226	337.6
2020-05-06 03:25:00	2020-05-06 03:35:00	208.079	-2.307	-5.197	-4.648	73.207	335.267
2020-05-19 06:40:00	2020-05-19 06:50:00	223.702	3.435	-5.768	-4.532	57.787	354.417
2020-05-30 06:35:00	2020-05-30 06:45:00	210.195	0.775	-7.733	-11.147	78.733	367.383
2020-05-30 09:10:00	2020-05-30 09:20:00	224.731	1.157	-8.385	-8.55	73.884	345.617
2020-05-30 21:25:00	2020-05-30 21:35:00	177.774	1.692	-1.452	-5.313	70.658	405.817
2020-05-30 22:30:00	2020-05-30 22:40:00	218.87	4.238	-4.345	-2.822	38.863	386.117
