Start_str	End_str	Rmag_avg(Re)	x_avg(Re)	y_avg(Re)	z_avg(Re)	Clang_avg	IMFBx_avg(nT)	IMFBy_avg(nT)	IMFBz_avg(nT)
2015-09-03 00:00:00	2015-09-03 00:10:00	8.717560763884487	-2.329864231247559	8.007952794878976	-2.537208584733167	106.564	-5.7	4.35	-1.293
2015-09-03 00:30:00	2015-09-03 00:40:00	8.198695393165421	-2.55088764720751	7.390478015483832	-2.4676129326494007	115.474	-5.85	3.313	-1.563
2015-09-03 01:00:00	2015-09-03 01:10:00	7.625600399185657	-2.749039985785252	6.702139746159489	-2.381183445164849	115.653	-5.965	3.333	-1.597
2015-09-03 01:30:00	2015-09-03 01:40:00	6.99153715073431	-2.9163928693106573	5.936223883321616	-2.2655943946659405	132.717	-6.372	2.278	-2.073
2015-09-03 08:15:00	2015-09-03 08:25:00	7.551980964632205	4.664693886091682	5.316805878951739	-2.645885651797796	103.138	-4.532	3.383	-0.777
2015-09-03 09:05:00	2015-09-03 09:15:00	8.48798788901111	4.659062391091262	6.2319835146060205	-3.3909286564791032	105.54	-4.672	2.973	-0.815
2015-09-03 15:25:00	2015-09-03 15:35:00	11.9110373713919	2.4481905562753146	10.41585367494466	-5.233254414925489	104.813	-1.303	6.158	-1.642
2015-09-03 16:20:00	2015-09-03 16:30:00	11.986395048680116	1.9718141586935365	10.7432536270146	-4.936167521957189	67.014	-0.125	6.607	2.823
2015-09-03 16:50:00	2015-09-03 17:00:00	11.987356655569563	1.7036227407550983	10.87780637107551	-4.7397601291716045	72.993	2.4	6.92	2.138
2015-09-03 17:45:00	2015-09-03 17:55:00	11.91554023888235	1.199694487717024	11.030413834777477	-4.343786893812937	89.431	-2.748	6.66	0.053
2015-09-04 20:20:00	2015-09-04 20:30:00	11.137152040779869	-0.1612403799268995	10.633429795645815	-3.30734585285944	66.419	-3.162	3.962	1.748
2015-09-04 20:50:00	2015-09-04 21:00:00	10.893851678929492	-0.4506184379282511	10.41882082536456	-3.149501484788894	73.896	-3.455	4.127	1.135
2015-09-04 22:05:00	2015-09-04 22:15:00	10.13560942192844	-1.164270176255033	9.6586215308375	-2.8432644182396216	105.345	-1.415	5.747	-1.578
2015-09-04 23:45:00	2015-09-04 23:55:00	8.74630961879408	-2.0557029415120174	8.10211737431179	-2.57389091723151	70.046	0.705	5.42	1.94
2015-09-05 11:40:00	2015-09-05 11:50:00	10.693696532607415	4.305781157601543	8.34061100885214	-5.123268271367862	114.99	-4.197	2.903	-1.35
2015-09-05 15:50:00	2015-09-05 16:00:00	11.973997931520024	2.480913082727764	10.514904153657437	-5.162964000031947	118.608	-1.828	4.957	-2.707
2015-09-06 11:55:00	2015-09-06 12:05:00	10.890155804588654	4.338014357705808	8.496217010028593	-5.252594719403937	106.789	-0.24	7.82	-2.363
2015-09-06 13:25:00	2015-09-06 13:35:00	11.525616776243794	3.7576584746979615	9.37701856917685	-5.548841354218116	108.298	-1.14	7.533	-2.5
2015-09-06 16:20:00	2015-09-06 16:30:00	11.990095292702454	2.340381272722317	10.63886045320661	-5.009720045504424	70.262	-4.537	5.055	1.858
2015-09-06 21:25:00	2015-09-06 21:35:00	10.429964158722592	-0.5934600880125327	9.965189147918265	-3.020781402638542	46.055	-2.137	4.667	4.46
2015-09-06 23:35:00	2015-09-06 23:45:00	8.690503829251922	-1.824250569462162	8.09044865624529	-2.5959207203113013	62.614	-5.318	4.965	2.467
2015-09-07 16:30:00	2015-09-07 16:40:00	11.98290367013083	2.3730602399570864	10.644452760837313	-4.96506066492527	130.728	-1.743	7.758	-6.693
2015-09-07 21:05:00	2015-09-07 21:15:00	10.565460477141723	-0.2998192351812898	10.088830888625049	-3.12293513866938	134.536	0.407	5.915	-5.823
2015-09-07 22:20:00	2015-09-07 22:30:00	9.70003461179118	-1.0452096524564911	9.221754605202698	-2.8205183166554897	132.466	0.885	6.592	-6.062
2015-09-07 22:50:00	2015-09-07 23:00:00	9.284446115390546	-1.335545068884895	8.77457365779415	-2.7242888486811303	134.593	0.358	6.597	-6.507
2015-09-08 15:40:00	2015-09-08 15:50:00	11.980890246022971	2.937193018331062	10.348024278180544	-5.275487904035092	68.287	13.675	10.477	4.125
2015-09-08 16:10:00	2015-09-08 16:20:00	11.9879808009899	2.674467042641401	10.510561867471084	-5.107315377996922	64.78	13.322	10.38	4.89
2015-09-08 16:40:00	2015-09-08 16:50:00	11.966775808414935	2.4040206756743987	10.642426458873013	-4.915363536385163	60.301	13.217	10.157	5.797
2015-09-08 17:10:00	2015-09-08 17:20:00	11.91718622773103	2.126577808464758	10.74004229345448	-4.705966613070598	59.812	12.885	10.28	5.983
2015-09-11 07:05:00	2015-09-11 07:15:00	7.212870698550852	5.292534569985946	4.441427158571899	-2.069777900646192	60.098	-6.58	9.075	5.342
2015-09-11 18:00:00	2015-09-11 18:10:00	11.686140386778922	1.9963800019827376	10.653406310760662	-4.368410597754898	53.993	-3.403	5.415	3.955
2015-09-13 16:20:00	2015-09-13 16:30:00	11.94660868069506	3.1916702951438047	10.32462437214708	-5.092593339837656	133.938	3.842	3.07	-2.967
2015-09-14 07:05:00	2015-09-14 07:15:00	7.641478477853433	5.640670198107884	4.637559159728781	-2.250375274173268	54.182	-3.865	4.707	3.43
2015-09-14 07:40:00	2015-09-14 07:50:00	8.302911445641449	5.781679878165247	5.270686350833372	-2.7797586015383025	102.198	-4.507	4.548	-1.142
2015-09-14 09:05:00	2015-09-14 09:15:00	9.623081008108706	5.862460116272686	6.531469692227492	-3.946233257312502	108.271	-3.4	6.895	-2.313
2015-09-14 10:10:00	2015-09-14 10:20:00	10.402672887896449	5.739984598567967	7.309237156195824	-4.673468935307027	115.771	-2.042	7.582	-3.587
