Start_str	End_str	Rmag_avg(Re)	x_avg(Re)	y_avg(Re)	z_avg(Re)	Clang_avg	IMFBx_avg(nT)	IMFBy_avg(nT)	IMFBz_avg(nT)	ionVx_gse_avg(km/s)	ionVx_gse_med(km/s)	ionVx_gse_std(km/s)	ionVx_gse_rms(km/s)	ionDen_avg(1/cc)	ionDen_med(1/cc)	ionDen_std(1/cc)
2015-09-01 00:25:00	2015-09-01 00:35:00	8.520489390699481	-2.6673102378878224	7.703503837545864	-2.477328440316596	270.271	3.502	-3.177	0.023	24.433428	25.042671	11.452231	26.984179	0.5628689	0.5383913	0.09195877
2015-09-01 08:55:00	2015-09-01 09:05:00	8.06957472844119	4.473078737217819	5.950260502681746	-3.114580551155796	284.483	1.962	-4.547	1.157	4.0931153	3.5519059	7.6907907	8.712167	0.72637767	0.72885555	0.054468803
2015-09-01 10:50:00	2015-09-01 11:00:00	9.846345730321213	4.120598911779446	7.710956018135501	-4.528825307184994	260.121	3.143	-3.738	-0.73	20.694166	21.742224	11.149723	23.506699	0.7306665	0.690566	0.115029804
2015-09-01 12:45:00	2015-09-01 12:55:00	11.027741784649493	3.442824954031256	9.045939626849387	-5.284629945408764	299.448	3.513	-3.783	2.15	11.024656	12.420044	15.410525	18.948017	0.48496515	0.4873106	0.030550152
2015-09-01 19:30:00	2015-09-01 19:40:00	11.578938059174767	-0.0229543538363868	11.026463354499098	-3.53361964106274	251.441	3.822	-3.078	-1.018	20.921164	35.7913	42.839195	47.67485	1.0335006	1.0409762	0.08398326
2015-09-01 20:00:00	2015-09-01 20:10:00	11.409281905156211	-0.3041686959830941	10.903017834024247	-3.3468770873453955	265.987	3.642	-3.343	-0.212	13.472466	15.228395	14.153242	19.540257	1.1387829	1.1405947	0.05944871
2015-09-02 13:45:00	2015-09-02 13:55:00	11.487202103919726	3.12857282551756	9.627082914948067	-5.430037168955223	289.894	3.627	-2.463	0.912	-43.777676	-36.051914	55.463306	70.65878	5.9440384	3.48912	5.57208
2015-09-03 21:25:00	2015-09-03 21:35:00	10.632860096973037	-0.8858926293255448	10.17019767755398	-2.9729139028437075	309.224	0.765	-6.775	5.522	9.864544	10.008411	23.738855	25.706856	0.9961861	1.0187256	0.054839507
2015-09-07 10:10:00	2015-09-07 10:20:00	9.847448693822026	4.931407907437658	7.288834000245945	-4.418620265560868	302.859	-2.713	-5.06	3.165	10.132881	10.068483	13.3491535	16.75933	0.7783778	0.7753306	0.050817184
2015-09-10 09:25:00	2015-09-10 09:35:00	9.520297441460515	5.380806468718245	6.74067255266887	-4.030373346214359	301.832	2.05	-4.9	3.035	3.0492346	5.4523005	12.798353	13.156582	1.1732458	1.1734899	0.080160335
2015-09-10 09:55:00	2015-09-10 10:05:00	9.912665868319577	5.315999743406835	7.127986493881468	-4.380723857502112	298.924	1.463	-5.46	2.997	-0.7576528	-1.4822367	9.645872	9.675583	1.3313385	1.2823583	0.17134672
2015-09-10 13:15:00	2015-09-10 13:25:00	11.612032741916943	4.31887934626944	9.19232140334505	-5.629043776461263	266.773	-7.77	-2.152	-0.032	-188.0594	-182.34901	34.6945	191.23296	69.558685	70.422714	12.85386
2015-09-10 14:20:00	2015-09-10 14:30:00	11.863105400476712	3.8426358953488897	9.727483215224233	-5.59835425884688	257.378	-4.545	-5.767	-1.267	-207.12538	-206.47313	17.419754	207.85661	60.83338	59.314644	7.5446777
