Start_str	End_str	Rmag_avg(Re)	x_avg(Re)	y_avg(Re)	z_avg(Re)	Clang_avg	IMFBx_avg(nT)	IMFBy_avg(nT)	IMFBz_avg(nT)	ionVx_gse_avg(km/s)	ionVx_gse_med(km/s)	ionVx_gse_std(km/s)	ionVx_gse_rms(km/s)	ionDen_avg(1/cc)	ionDen_med(1/cc)	ionDen_std(1/cc)
2015-09-01 13:35:00	2015-09-01 13:45:00	11.38592335755536	3.083963398285064	9.544577947065005	-5.387732361399763	317.811	3.378	-2.993	3.33	-12.150644	-12.144431	13.152487	17.906034	0.5489586	0.54597795	0.026647665
2015-09-02 15:30:00	2015-09-02 15:40:00	11.906298313365012	2.282366277716851	10.47482927375298	-5.179426367871041	324.618	4.805	-1.863	2.575	-79.40056	-97.18822	63.98132	101.97087	14.030242	6.449432	13.381245
2015-09-03 10:55:00	2015-09-03 11:05:00	10.072166495042564	4.311625132920728	7.807522049275409	-4.679641344697174	350.454	-4.203	-0.278	1.837	-5.1188745	-2.0718272	18.0489	18.760748	0.91924405	0.92706203	0.053453628
2015-09-10 11:30:00	2015-09-10 11:40:00	10.905465212560962	4.946939671759647	8.195396965442628	-5.224056457828123	322.318	5.037	-2.865	3.72	18.502552	17.49144	15.959798	24.434803	1.0841051	1.0733342	0.040315047
2015-09-19 13:50:00	2015-09-19 14:00:00	11.943382627878528	5.166521957931533	9.14581033992038	-5.683645981133175	315.17	4.153	-5.405	5.41	-28.633785	-29.286333	33.88304	44.36163	8.115276	8.427065	2.2735386
2015-09-19 14:45:00	2015-09-19 14:55:00	11.996591156770736	4.734862172730438	9.519717205212372	-5.556281977630623	338.393	3.282	-2.29	5.785	-18.473993	-19.243584	24.24492	30.481216	4.01763	3.8284676	1.2592243
2015-09-19 15:15:00	2015-09-19 15:25:00	11.985518154194343	4.479827840380594	9.69713965523851	-5.435729517832951	344.787	3.472	-1.573	5.768	-33.673286	-35.560707	34.579296	48.26611	2.4624226	2.1347764	1.147752
2015-09-19 16:50:00	2015-09-19 17:00:00	11.762583861523632	3.589832849633877	10.085785219637591	-4.872996256109406	355.549	0.773	-0.437	5.598	3.4108589	1.3514209	12.560185	13.015077	1.1343709	1.1328919	0.025378851
2015-09-19 17:25:00	2015-09-19 17:35:00	11.607080594850984	3.2330738131883314	10.145077034049253	-4.620243836252056	350.222	2.737	-0.798	4.647	1.213887	1.5995886	12.727099	12.784859	1.1224573	1.1235685	0.05586486
2015-09-22 08:55:00	2015-09-22 09:05:00	10.16432907785709	6.786460512157632	6.397635194916465	-4.040501644931017	330.895	4.347	-1.628	2.923	4.900458	4.8558793	20.531933	21.108643	0.73910534	0.7247242	0.10337616
