Start_str	Mgs#_avg	Clang_avg	Rmag_avg	omniBxGSE_avg(nT)	omniByGSE_avg(nT)	omniBzGSE_avg(nT)	Bdeviat	Dtheta	Shock_Ang(deg)	OMNIVsw_avg(km/s)	End_str
2017-09-07 09:05:00	3.18	266.049	18.541	7.777	-7.348	-5.197	0.05	21.74	44.38100051879883	505.6	2017-09-07 09:30:00
2017-09-07 09:35:00	3.32	248.572	18.182	8.723	-4.728	-6.305	0.10	19.40	38.14099884033203	501.15	2017-09-07 10:00:00
2017-09-10 04:40:00	3.37	293.697	18.225	4.055	-2.483	0.03	0.01	12.54	23.746000289916992	503.167	2017-09-10 05:05:00
2017-09-10 05:25:00	3.35	293.193	17.663	4.378	-1.88	-0.078	0.02	14.23	15.79699993133545	487.4	2017-09-10 05:50:00
2017-09-10 05:55:00	3.28	293.572	17.271	4.265	-2.105	-0.075	0.01	12.69	18.81999969482422	487.767	2017-09-10 06:20:00
2017-09-10 06:25:00	3.97	284.119	16.865	3.748	-2.518	-0.655	0.04	26.88	28.757999420166016	499.417	2017-09-10 06:50:00
2017-09-10 07:05:00	3.75	302.578	16.3	3.792	-2.725	0.197	0.02	13.09	27.64699935913086	489.183	2017-09-10 07:30:00
2017-09-10 07:35:00	3.78	307.738	15.858	4.082	-2.255	0.313	0.01	15.78	20.68400001525879	480.067	2017-09-10 08:00:00
2017-09-25 00:25:00	4.47	308.73	13.131	2.917	-3.988	1.757	0.06	11.65	57.448001861572266	369.133	2017-09-25 00:50:00
2017-09-25 01:20:00	3.57	256.531	14.116	1.595	-7.44	-4.252	0.12	16.36	78.98799896240234	366.667	2017-09-25 01:45:00
2017-10-05 01:40:00	4.92	266.918	22.666	5.043	-4.743	-1.712	0.01	14.88	35.42499923706055	379.75	2017-10-05 02:05:00
2017-10-05 02:10:00	4.88	262.264	22.468	5.362	-4.353	-2.058	0.01	7.50	33.0	376.017	2017-10-05 02:35:00
2017-10-05 02:40:00	4.87	269.91	22.262	5.568	-4.41	-1.497	0.02	10.14	30.1200008392334	374.933	2017-10-05 03:05:00
2017-10-05 03:10:00	4.8	281.985	22.047	5.547	-4.832	-0.67	0.02	8.28	30.302000045776367	372.9	2017-10-05 03:35:00
2017-10-05 03:40:00	4.82	295.691	21.823	5.713	-4.233	0.347	0.04	18.79	25.18000030517578	375.317	2017-10-05 04:05:00
2017-10-05 04:45:00	4.78	299.98	21.306	5.485	-4.578	0.502	0.02	9.31	28.36400032043457	376.2	2017-10-05 05:10:00
2017-10-05 05:15:00	4.9	307.067	21.052	4.683	-5.135	1.058	0.00	29.48	37.03200149536133	377.6	2017-10-05 05:40:00
2017-10-05 12:00:00	4.63	309.484	16.538	6.325	-3.158	0.48	0.04	27.14	15.402999877929688	367.683	2017-10-05 12:25:00
2017-10-05 17:45:00	4.73	283.978	10.406	3.333	-7.76	-0.783	0.19	4.13	55.685001373291016	396.833	2017-10-05 18:10:00
2017-10-05 18:15:00	4.83	284.254	9.71	3.188	-7.858	-0.598	0.08	9.49	57.095001220703125	397.6	2017-10-05 18:40:00
2017-10-07 17:05:00	4.77	263.961	23.98	2.78	-5.455	-2.807	0.03	9.99	56.7760009765625	391.267	2017-10-07 17:30:00
2017-10-07 20:50:00	4.95	265.148	22.812	2.56	-6.055	-2.097	0.06	29.63	59.17599868774414	413.033	2017-10-07 21:15:00
2017-11-02 05:30:00	4.43	311.583	22.668	0.637	-8.13	3.04	0.15	20.49	86.841	312.833	2017-11-02 05:55:00
