Start_str	Mgs#_avg	Clang_avg	Rmag_avg	omniBxGSE_avg(nT)	omniByGSE_avg(nT)	omniBzGSE_avg(nT)	Bdeviat	Dtheta	Shock_Ang(deg)	OMNIVsw_avg(km/s)	End_str
2019-10-15 01:35:00	4.92	350.56	16.634	0.79	-2.283	5.0	0.13	19.99	86.08300018310547	335.617	2019-10-15 02:00:00
2019-10-15 04:50:00	4.83	318.899	13.282	1.357	-5.213	2.542	0.17	12.56	84.48799896240234	332.033	2019-10-15 05:15:00
2019-10-15 05:20:00	4.47	329.606	12.696	2.28	-4.967	3.482	0.01	14.74	76.62999725341797	328.917	2019-10-15 05:45:00
2019-10-15 05:50:00	4.27	343.258	12.086	3.447	-3.773	4.133	0.01	9.59	64.53399658203125	323.517	2019-10-15 06:15:00
2019-11-05 06:15:00	4.98	351.732	11.89	-5.02	-1.303	2.17	0.10	15.40	26.862	384.067	2019-11-05 06:40:00
2019-11-12 15:40:00	4.83	321.375	7.734	0.285	-6.025	4.135	0.18	18.83	85.87300109863281	334.0	2019-11-12 16:05:00
2019-11-12 16:45:00	3.53	340.584	9.419	3.157	-3.713	5.545	0.09	22.48	63.09700012207031	313.283	2019-11-12 17:10:00
2019-11-12 17:15:00	3.7	349.489	10.137	2.092	-2.872	6.473	0.17	16.75	71.91899871826172	318.583	2019-11-12 17:40:00
2019-11-12 17:45:00	2.9	334.576	10.823	1.063	-5.005	6.487	0.06	22.49	80.7969970703125	316.183	2019-11-12 18:10:00
2019-11-12 18:15:00	2.73	322.837	11.479	1.893	-5.757	5.23	0.11	21.91	73.83499908447266	305.317	2019-11-12 18:40:00
2019-11-12 18:45:00	2.83	336.102	12.11	0.282	-4.332	6.465	0.04	3.84	86.07599639892578	311.333	2019-11-12 19:10:00
2019-11-12 19:15:00	2.87	336.189	12.715	-0.365	-4.155	6.463	0.01	2.71	89.134	311.183	2019-11-12 19:40:00
2019-11-12 19:45:00	2.85	332.537	13.298	-0.025	-4.418	6.19	0.02	6.21	88.26200103759766	313.167	2019-11-12 20:10:00
2019-11-12 20:15:00	3.15	320.619	13.86	0.172	-5.2	4.915	0.06	5.90	86.36000061035156	311.967	2019-11-12 20:40:00
2019-11-12 20:45:00	3.22	321.678	14.403	0.11	-4.963	4.978	0.12	11.29	86.94200134277344	311.8	2019-11-12 21:10:00
2019-11-12 21:15:00	2.95	323.907	14.927	0.583	-4.978	5.502	0.05	9.12	83.19599914550781	309.217	2019-11-12 21:40:00
2019-11-12 21:45:00	3.1	319.67	15.434	2.345	-5.035	4.847	0.08	2.66	68.8010025024414	295.717	2019-11-12 22:10:00
2019-11-12 22:15:00	2.95	315.015	15.925	1.423	-5.523	4.538	0.06	9.97	76.18099975585938	301.783	2019-11-12 22:40:00
2019-11-12 22:45:00	3.18	321.135	16.4	-0.185	-5.118	5.21	0.09	4.24	89.03700256347656	307.95	2019-11-12 23:10:00
2019-11-13 05:10:00	3.98	317.991	21.386	0.713	-5.873	3.443	0.04	21.07	81.79499816894531	334.267	2019-11-13 05:35:00
2019-11-13 05:40:00	4.28	318.571	21.703	0.705	-5.555	3.142	0.03	24.19	81.50399780273438	337.5	2019-11-13 06:05:00
2019-11-13 06:10:00	4.43	325.503	22.01	0.652	-5.315	3.765	0.03	7.77	82.18499755859375	339.9	2019-11-13 06:35:00
2019-11-13 06:40:00	4.67	328.895	22.309	1.332	-4.77	3.628	0.06	26.06	75.5009994506836	340.867	2019-11-13 07:05:00
2019-11-13 07:10:00	4.82	317.817	22.599	0.863	-5.137	2.44	0.05	20.08	79.30599975585938	340.3	2019-11-13 07:35:00
2019-11-13 07:50:00	4.88	334.187	22.973	2.513	-3.745	3.227	0.06	26.46	61.29999923706055	335.467	2019-11-13 08:15:00
2019-11-13 08:35:00	4.67	330.285	23.377	2.698	-4.198	3.002	0.03	13.95	60.290000915527344	339.783	2019-11-13 09:00:00
2019-11-13 09:05:00	4.43	336.792	23.636	3.533	-3.37	3.017	0.04	17.13	50.14099884033203	338.767	2019-11-13 09:30:00
2019-11-16 19:20:00	4.4	319.623	22.719	0.698	-6.372	5.82	0.18	22.67	82.39600372314453	384.2	2019-11-16 19:45:00
2019-12-10 05:30:00	4.88	335.385	13.049	4.367	-3.64	5.665	0.10	28.78	60.63100051879883	404.35	2019-12-10 05:55:00
2019-12-16 23:35:00	4.77	329.939	18.904	4.42	-0.363	0.878	0.07	18.00	15.017000198364258	346.25	2019-12-17 00:00:00
2019-12-17 00:05:00	4.88	319.007	18.505	4.18	-0.73	1.1	0.05	5.74	19.951000213623047	347.783	2019-12-17 00:30:00
2019-12-17 00:45:00	4.87	337.88	17.954	3.87	-0.575	2.298	0.07	26.66	34.59299850463867	344.717	2019-12-17 01:10:00
2020-02-19 00:00:00	4.47	343.86	15.255	2.027	2.273	9.345	0.04	22.40	79.7020034790039	370.233	2020-02-19 00:25:00
2020-02-21 09:55:00	4.95	316.956	21.635	7.143	-1.652	2.703	0.05	25.23	24.485000610351562	483.367	2020-02-21 10:20:00
2020-03-06 16:40:00	4.53	321.706	16.826	3.842	-1.667	5.998	0.06	22.05	60.38100051879883	357.317	2020-03-06 17:05:00
2020-03-06 17:10:00	4.45	318.042	16.367	4.395	-1.805	5.56	0.04	18.08	55.145999908447266	351.067	2020-03-06 17:35:00
2020-03-06 18:20:00	4.18	349.681	15.236	4.36	1.648	5.532	0.04	23.66	53.50299835205078	340.25	2020-03-06 18:45:00
2020-03-06 20:00:00	4.02	340.326	13.462	5.182	0.925	5.213	0.08	6.83	46.32400131225586	328.483	2020-03-06 20:25:00
2020-03-06 20:30:00	4.57	330.115	12.888	3.365	0.072	5.735	0.07	9.92	60.724998474121094	326.467	2020-03-06 20:55:00
2020-03-06 21:00:00	4.72	337.615	12.291	2.18	0.962	5.97	0.02	11.22	70.64900207519531	327.267	2020-03-06 21:25:00
2020-03-06 21:30:00	4.75	339.64	11.672	1.367	1.27	6.31	0.01	7.57	78.4489974975586	331.933	2020-03-06 21:55:00
2020-03-06 22:00:00	4.62	338.588	11.026	1.835	1.192	6.343	0.04	12.49	74.63500213623047	331.5	2020-03-06 22:25:00
2020-03-06 22:30:00	4.68	334.12	10.353	1.953	0.732	6.637	0.06	19.45	74.48699951171875	335.983	2020-03-06 22:55:00
2020-03-06 23:00:00	4.8	334.266	9.648	1.947	0.722	6.428	0.07	11.85	73.88500213623047	342.55	2020-03-06 23:25:00
2020-03-17 02:45:00	4.87	343.6	18.576	5.932	0.968	4.242	0.05	27.54	37.18899917602539	342.1	2020-03-17 03:10:00
2020-03-17 03:15:00	4.68	348.414	18.171	4.325	1.48	5.375	0.03	11.00	52.82500076293945	361.483	2020-03-17 03:40:00
2020-03-17 03:45:00	4.7	351.555	17.755	3.772	1.795	5.728	0.08	7.51	58.80500030517578	359.583	2020-03-17 04:10:00
2020-03-17 04:25:00	4.8	353.8	17.18	5.502	1.715	5.297	0.06	12.98	46.70399856567383	355.95	2020-03-17 04:50:00
2020-03-25 01:50:00	4.92	315.431	15.534	4.5	-0.567	2.188	0.13	26.84	23.76799964904785	388.667	2020-03-25 02:15:00
2020-04-03 12:10:00	4.8	330.152	20.791	5.212	-0.523	1.89	0.01	18.32	25.597999572753906	387.917	2020-04-03 12:35:00
2020-05-02 08:45:00	3.17	332.528	8.705	3.743	-1.165	3.572	0.07	21.59	45.2599983215332	329.933	2020-05-02 09:10:00
2020-05-06 08:15:00	3.85	320.932	20.373	4.228	-1.578	2.708	0.05	17.81	34.80699920654297	293.05	2020-05-06 08:40:00
2020-05-30 14:25:00	3.7	349.872	16.985	2.89	-1.207	10.448	0.15	28.73	72.25499725341797	357.133	2020-05-30 14:50:00
2020-05-30 14:55:00	2.95	349.048	17.417	3.828	-1.192	9.99	0.04	24.78	67.33200073242188	358.8	2020-05-30 15:20:00
2020-05-30 15:30:00	2.8	335.398	17.905	3.965	-3.125	9.078	0.06	27.87	62.632999420166016	377.017	2020-05-30 15:55:00
2020-05-30 16:00:00	2.8	325.946	18.31	5.258	-3.937	7.723	0.05	15.01	51.98500061035156	396.233	2020-05-30 16:25:00
2019-09-06 18:50:00	4.83	30.864	9.669	-5.185	0.423	1.69	0.02	13.45	18.465	490.617	2019-09-06 19:15:00
2019-09-24 17:15:00	4.45	38.116	11.11	5.912	4.362	14.268	0.11	14.55	67.38200378417969	413.733	2019-09-24 17:40:00
2019-09-24 17:45:00	3.58	34.018	11.764	5.523	3.598	14.505	0.10	18.77	69.1719970703125	429.05	2019-09-24 18:10:00
2019-11-05 08:20:00	4.93	43.056	9.019	-5.315	0.925	3.067	0.05	24.81	29.424	396.333	2019-11-05 08:45:00
2019-11-05 08:50:00	4.87	41.161	8.24	-5.542	0.79	2.962	0.03	21.14	27.256	392.117	2019-11-05 09:15:00
2019-12-07 15:20:00	4.47	32.415	19.899	4.702	0.213	0.467	0.05	28.46	9.520000457763672	367.233	2019-12-07 15:45:00
2019-12-16 22:40:00	4.53	7.01	19.607	4.632	0.338	1.232	0.02	13.51	18.834999084472656	346.883	2019-12-16 23:05:00
2019-12-24 09:00:00	4.35	33.042	8.682	-3.99	1.512	3.327	0.02	5.99	38.92	315.317	2019-12-24 09:25:00
2020-02-28 14:00:00	4.43	36.585	18.892	2.438	4.365	3.333	0.08	24.62	66.69200134277344	342.95	2020-02-28 14:25:00
2020-04-20 18:45:00	2.9	40.862	23.978	3.173	13.752	5.963	0.01	2.10	73.05699920654297	341.9	2020-04-20 19:10:00
2020-04-20 19:30:00	2.87	39.691	23.615	3.848	13.647	5.827	0.01	2.47	70.47100067138672	341.617	2020-04-20 19:55:00
2020-04-20 20:00:00	2.55	41.336	23.363	5.428	13.6	5.125	0.00	3.32	64.5260009765625	337.567	2020-04-20 20:25:00
2020-04-20 20:30:00	2.75	36.801	23.104	4.813	13.27	6.045	0.01	3.63	66.9280014038086	336.95	2020-04-20 20:55:00
2020-04-20 21:00:00	2.57	35.812	22.837	4.975	13.232	6.15	0.01	3.93	66.47200012207031	333.433	2020-04-20 21:25:00
2020-04-20 21:30:00	3.33	33.295	22.562	4.948	12.39	6.327	0.04	3.15	65.84700012207031	332.533	2020-04-20 21:55:00
2020-04-20 22:00:00	3.53	30.646	22.279	5.022	11.892	6.722	0.02	4.61	65.39700317382812	331.667	2020-04-20 22:25:00
2020-04-20 22:30:00	3.73	18.928	21.987	5.813	9.798	8.552	0.02	12.40	62.25600051879883	333.067	2020-04-20 22:55:00
2020-04-20 23:00:00	3.55	10.18	21.687	6.495	8.145	9.707	0.01	5.00	59.79999923706055	333.567	2020-04-20 23:25:00
2020-04-20 23:30:00	3.33	4.758	21.379	6.777	6.953	10.203	0.01	9.83	58.72600173950195	331.533	2020-04-20 23:55:00
2020-04-21 00:00:00	3.0	7.167	21.061	6.11	7.228	9.833	0.04	8.52	60.763999938964844	326.767	2020-04-21 00:25:00
2020-04-21 00:30:00	3.1	5.162	20.734	6.325	6.687	10.007	0.01	1.81	59.8380012512207	324.5	2020-04-21 00:55:00
2020-04-21 01:00:00	3.18	2.509	20.398	6.505	6.313	10.753	0.01	3.31	60.19900131225586	332.2	2020-04-21 01:25:00
2020-04-21 01:30:00	3.47	7.85	20.052	6.323	6.858	9.818	0.05	11.53	59.64500045776367	329.95	2020-04-21 01:55:00
2020-04-21 02:25:00	3.25	16.37	19.392	6.615	7.808	8.73	0.04	15.70	57.53200149536133	331.267	2020-04-21 02:50:00
2020-04-21 02:55:00	3.5	20.187	19.017	6.832	8.423	8.59	0.02	5.85	57.02199935913086	336.433	2020-04-21 03:20:00
2020-04-21 13:00:00	3.68	25.726	8.199	6.738	4.725	6.098	0.18	8.60	45.516998291015625	380.333	2020-04-21 13:25:00
2020-05-01 20:40:00	4.9	37.531	13.835	3.595	2.948	1.458	0.12	27.54	43.56700134277344	291.017	2020-05-01 21:05:00
2020-05-09 20:15:00	4.97	39.712	20.595	-3.14	2.342	1.15	0.04	4.06	34.963	291.35	2020-05-09 20:40:00
2020-05-15 12:10:00	4.88	38.987	20.473	-3.57	2.773	2.918	0.18	12.10	43.383	308.433	2020-05-15 12:35:00
2020-05-15 15:55:00	4.97	31.6	17.652	-3.658	1.74	1.767	0.01	28.13	29.84	310.683	2020-05-15 16:20:00
2020-05-15 16:25:00	4.97	37.308	17.227	-3.885	1.432	1.14	0.03	19.94	19.838	308.767	2020-05-15 16:50:00
2020-05-15 18:50:00	4.97	44.492	14.978	-2.585	2.823	1.345	0.03	10.53	42.762	305.783	2020-05-15 19:15:00
2020-05-15 20:30:00	4.98	22.124	13.209	-3.21	1.202	1.223	0.02	27.49	23.404	305.05	2020-05-15 20:55:00
2020-05-20 08:00:00	4.97	19.562	20.718	4.447	0.597	1.333	0.04	21.09	23.57900047302246	394.95	2020-05-20 08:25:00
2020-05-20 08:30:00	4.83	44.261	21.043	4.392	1.033	0.93	0.02	25.02	25.80500030517578	384.567	2020-05-20 08:55:00
