Start_str	Mgs#_avg	Clang_avg	Rmag_avg	omniBxGSE_avg(nT)	omniByGSE_avg(nT)	omniBzGSE_avg(nT)	Bdeviat	Dtheta	Shock_Ang(deg)	OMNIVsw_avg(km/s)	End_str
2017-09-07 17:55:00	3.47	48.381	9.622	5.083	3.768	6.828	0.05	13.85	61.01599884033203	467.183	2017-09-07 18:20:00
2017-09-08 22:50:00	3.5	123.095	23.897	5.42	2.487	-0.917	0.03	22.85	28.766000747680664	682.55	2017-09-08 23:15:00
2017-09-22 00:55:00	4.5	85.261	7.036	-4.867	2.448	0.913	0.04	7.12	27.469	394.867	2017-09-22 01:20:00
2017-09-22 02:10:00	4.18	79.905	9.086	-5.143	2.205	1.177	0.06	5.33	24.96	391.617	2017-09-22 02:35:00
2017-09-22 02:40:00	4.45	86.124	9.822	-4.625	2.637	1.103	0.07	11.80	30.837	387.167	2017-09-22 03:05:00
2017-09-22 03:10:00	4.55	90.304	10.518	-4.448	2.632	0.943	0.10	7.33	31.461	393.217	2017-09-22 03:35:00
2017-09-22 03:40:00	4.9	94.894	11.18	-4.08	2.37	0.693	0.12	9.64	30.442	381.683	2017-09-22 04:05:00
2017-09-27 18:20:00	4.4	50.676	11.652	-9.422	4.058	6.825	0.11	27.40	41.473	623.3	2017-09-27 18:45:00
2017-09-27 20:30:00	4.73	113.818	14.113	-8.81	5.762	-1.08	0.13	28.87	38.377	615.6	2017-09-27 20:55:00
2017-09-27 22:55:00	4.93	97.258	16.395	-9.713	4.02	0.43	0.05	24.62	27.489	613.55	2017-09-27 23:20:00
2017-09-28 01:25:00	5.0	118.121	18.364	-3.667	10.442	-2.37	0.11	26.63	76.038	634.767	2017-09-28 01:50:00
2017-10-11 10:00:00	4.88	108.002	8.8	-5.658	8.755	2.175	0.06	11.26	48.113	398.217	2017-10-11 10:25:00
2017-10-11 20:05:00	5.0	103.57	12.045	-7.025	7.64	0.088	0.06	17.22	37.759	453.85	2017-10-11 20:30:00
2017-10-19 12:25:00	4.93	95.186	17.699	-5.787	6.395	2.817	0.09	19.57	41.51	372.6	2017-10-19 12:50:00
2017-10-19 12:55:00	4.88	97.365	17.312	-5.337	7.028	2.86	0.18	25.33	45.821	377.483	2017-10-19 13:20:00
2017-11-14 13:30:00	4.75	57.807	9.997	-5.91	2.69	3.657	0.16	27.35	42.282	372.767	2017-11-14 13:55:00
2017-11-14 18:20:00	4.55	127.381	15.489	-1.328	5.872	-3.05	0.04	18.13	74.867	381.75	2017-11-14 18:45:00
2017-11-14 18:50:00	4.72	128.772	15.943	-1.565	5.532	-3.177	0.02	13.08	72.669	386.033	2017-11-14 19:15:00
2017-11-14 19:20:00	4.8	128.801	16.381	-1.412	5.477	-3.277	0.02	4.45	74.019	387.333	2017-11-14 19:45:00
2017-11-24 17:40:00	4.87	129.22	22.995	-4.395	5.377	-3.223	0.05	25.22	55.64	369.3	2017-11-24 18:05:00
2017-11-24 23:00:00	4.97	76.285	20.527	-2.94	7.858	2.065	0.06	10.77	66.084	398.4	2017-11-24 23:25:00
2017-11-24 23:30:00	4.4	52.574	20.239	-4.18	6.382	5.105	0.04	20.04	58.722	409.667	2017-11-24 23:55:00
2017-11-25 05:35:00	4.98	113.362	15.765	-0.712	5.028	-0.785	0.03	13.24	78.979	384.017	2017-11-25 06:00:00
2017-11-27 11:55:00	4.73	57.306	23.439	2.377	5.265	6.68	0.04	28.89	73.06900024414062	401.75	2017-11-27 12:20:00
