Start_str	Mgs#_avg	Clang_avg	Rmag_avg	omniBxGSE_avg(nT)	omniByGSE_avg(nT)	omniBzGSE_avg(nT)	Bdeviat	Dtheta	Shock_Ang(deg)	OMNIVsw_avg(km/s)	End_str
2017-09-07 07:40:00	3.48	195.926	19.493	6.957	1.565	-6.407	0.14	21.57	43.874000549316406	503.55	2017-09-07 08:05:00
2017-09-08 21:25:00	4.95	166.506	23.488	4.088	1.635	-3.187	0.14	16.32	41.88800048828125	665.65	2017-09-08 21:50:00
2017-09-08 21:55:00	3.47	152.014	23.639	5.158	2.095	-2.393	0.03	11.92	32.94300079345703	667.233	2017-09-08 22:20:00
2017-09-24 22:55:00	3.98	223.722	11.343	-0.128	-5.028	-8.828	0.06	16.68	89.16000366210938	348.383	2017-09-24 23:20:00
2017-09-27 19:15:00	4.97	154.074	12.749	-5.997	5.782	-6.343	0.04	25.43	59.763	642.35	2017-09-27 19:40:00
2017-10-11 07:50:00	4.98	200.617	11.766	-3.222	1.413	-8.493	0.09	9.89	66.563	379.333	2017-10-11 08:15:00
2017-11-02 21:55:00	4.8	148.136	9.876	2.805	4.697	-5.502	0.03	15.05	73.25	391.083	2017-11-02 22:20:00
2017-11-14 14:40:00	4.72	163.5	11.545	-0.168	3.543	-5.17	0.04	25.60	88.21900177001953	381.983	2017-11-14 15:05:00
2017-11-14 15:10:00	4.83	163.002	12.158	0.562	3.693	-5.332	0.06	5.17	81.07499694824219	380.717	2017-11-14 15:35:00
2017-11-14 15:40:00	4.7	164.081	12.743	0.727	3.612	-5.727	0.04	17.10	80.01300048828125	388.417	2017-11-14 16:05:00
2017-11-14 16:50:00	4.87	145.972	14.017	-1.15	4.713	-4.293	0.05	6.77	85.125	393.95	2017-11-14 17:15:00
2017-11-14 17:20:00	4.85	150.041	14.527	-1.008	4.375	-4.807	0.03	13.99	86.076	393.05	2017-11-14 17:45:00
2017-11-14 17:50:00	4.58	149.976	15.017	-2.173	4.27	-4.903	0.04	22.74	71.416	389.367	2017-11-14 18:15:00
2017-12-17 04:55:00	4.93	159.114	23.555	-2.567	3.815	-8.653	0.08	21.62	77.917	398.3	2017-12-17 05:20:00
2017-12-25 17:45:00	4.95	223.441	22.911	6.53	-3.313	-2.945	0.05	29.32	33.73500061035156	450.533	2017-12-25 18:10:00
2017-12-25 18:45:00	4.73	203.199	22.513	6.85	-2.103	-3.64	0.01	13.06	29.732999801635742	447.167	2017-12-25 19:10:00
2017-12-25 19:15:00	4.67	200.836	22.301	6.392	-2.318	-4.163	0.00	7.36	34.79600143432617	449.617	2017-12-25 19:40:00
2017-12-25 19:45:00	4.62	193.431	22.081	6.6	-1.707	-4.078	0.00	9.44	31.582000732421875	444.617	2017-12-25 20:10:00
2017-12-25 20:25:00	4.98	222.055	21.772	6.695	-3.708	-2.857	0.02	18.79	34.38600158691406	451.217	2017-12-25 20:50:00
2017-12-25 21:00:00	4.88	198.246	21.488	6.955	-2.283	-4.133	0.03	27.19	32.65999984741211	450.017	2017-12-25 21:25:00
2017-12-25 21:30:00	4.85	186.807	21.234	6.662	-1.592	-4.782	0.01	18.01	34.847999572753906	448.65	2017-12-25 21:55:00
2017-12-25 22:00:00	4.92	203.791	20.971	6.575	-2.962	-4.093	0.01	13.24	35.96500015258789	446.233	2017-12-25 22:25:00
2017-12-25 22:30:00	4.73	186.141	20.697	6.603	-1.538	-4.655	0.00	14.26	34.27299880981445	442.383	2017-12-25 22:55:00
2017-12-25 23:00:00	4.97	204.208	20.413	5.83	-3.4	-4.508	0.02	23.74	42.808998107910156	452.35	2017-12-25 23:25:00
2018-01-21 11:55:00	4.98	174.176	17.953	7.557	0.275	-5.613	0.18	23.40	42.233001708984375	447.833	2018-01-21 12:20:00
2018-01-21 13:35:00	4.97	183.504	19.143	10.125	-0.653	-4.275	0.02	26.11	27.590999603271484	482.117	2018-01-21 14:00:00
2018-01-22 23:45:00	4.92	220.947	22.216	3.788	-1.96	-0.975	0.02	24.17	16.211000442504883	468.483	2018-01-23 00:10:00
2018-01-31 18:20:00	4.97	213.845	17.621	4.9	-3.823	-2.822	0.03	10.88	30.805999755859375	361.7	2018-01-31 18:45:00
2018-02-15 16:25:00	4.93	140.088	14.33	-7.017	2.743	-7.027	0.05	23.33	42.767	392.1	2018-02-15 16:50:00
2018-02-27 03:50:00	4.98	177.474	18.632	1.657	-3.185	-7.947	0.17	21.51	75.31800079345703	448.167	2018-02-27 04:15:00
2018-03-10 02:50:00	3.6	176.094	11.74	10.462	-3.647	-8.135	0.01	12.36	38.50299835205078	446.733	2018-03-10 03:15:00
2018-03-10 03:40:00	3.38	161.21	12.738	11.815	-0.943	-7.248	0.01	20.20	30.288000106811523	440.833	2018-03-10 04:05:00
2018-03-10 04:10:00	2.62	170.271	13.303	12.987	-1.58	-5.943	0.03	7.72	23.523000717163086	427.65	2018-03-10 04:35:00
2018-03-10 04:40:00	2.5	172.44	13.845	13.453	-1.565	-5.522	0.01	6.02	21.229000091552734	423.917	2018-03-10 05:05:00
2018-03-10 05:10:00	2.65	169.794	14.365	13.528	-1.107	-5.54	0.01	28.50	21.367000579833984	427.867	2018-03-10 05:35:00
2018-03-10 05:45:00	2.92	208.301	14.946	12.693	-5.555	-4.818	0.01	5.79	27.59000015258789	423.917	2018-03-10 06:10:00
2018-03-10 06:15:00	3.63	206.458	15.424	12.625	-4.877	-4.705	0.03	13.23	25.854999542236328	427.917	2018-03-10 06:40:00
2018-03-14 14:55:00	4.85	182.395	22.914	2.835	-3.137	-8.402	0.13	27.91	70.5	347.633	2018-03-14 15:20:00
2018-03-15 00:00:00	4.73	144.713	17.899	3.068	0.493	-8.473	0.05	20.23	68.54900360107422	407.983	2018-03-15 00:25:00
2018-04-18 14:45:00	4.9	187.812	13.721	5.517	-1.467	-3.265	0.12	11.91	35.59299850463867	295.7	2018-04-18 15:10:00
2018-04-20 10:15:00	4.42	218.001	20.596	8.35	-9.155	-8.012	0.04	24.12	50.60200119018555	486.533	2018-04-20 10:40:00
2018-05-12 19:30:00	4.55	212.546	22.273	5.485	-2.877	-2.07	0.04	20.29	38.606998443603516	435.7	2018-05-12 19:55:00
2018-05-16 18:35:00	4.98	219.926	13.829	3.877	-4.078	-2.415	0.02	26.25	53.20199966430664	316.433	2018-05-16 19:00:00
2018-05-16 23:40:00	4.45	172.193	18.305	5.47	-1.57	-5.813	0.11	18.89	49.12900161743164	341.483	2018-05-17 00:05:00
2018-05-21 03:15:00	4.5	169.274	23.459	4.443	-0.053	-0.725	0.03	21.84	10.114999771118164	335.55	2018-05-21 03:40:00
2018-05-21 03:50:00	4.17	179.738	23.263	4.212	-0.373	-1.485	0.04	12.08	20.878000259399414	338.167	2018-05-21 04:15:00
2018-05-21 05:35:00	4.87	218.336	22.607	3.615	-1.225	-1.123	0.06	13.57	25.625999450683594	332.417	2018-05-21 06:00:00
2018-05-22 22:30:00	4.65	221.497	22.554	5.563	-5.323	-2.708	0.16	27.22	47.67599868774414	342.333	2018-05-22 22:55:00
