Start_str	End_str	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2015-09-01 00:25:00	2015-09-01 00:35:00	270.271	3.502	-3.177	0.023
2015-09-01 08:55:00	2015-09-01 09:05:00	284.483	1.962	-4.547	1.157
2015-09-01 10:05:00	2015-09-01 10:15:00	207.444	2.597	-1.925	-3.688
2015-09-01 10:50:00	2015-09-01 11:00:00	260.121	3.143	-3.738	-0.73
2015-09-01 11:40:00	2015-09-01 11:50:00	199.455	4.862	-0.612	-1.81
2015-09-01 12:45:00	2015-09-01 12:55:00	299.448	3.513	-3.783	2.15
2015-09-01 13:35:00	2015-09-01 13:45:00	317.811	3.378	-2.993	3.33
2015-09-01 19:30:00	2015-09-01 19:40:00	251.441	3.822	-3.078	-1.018
2015-09-01 20:00:00	2015-09-01 20:10:00	265.987	3.642	-3.343	-0.212
2015-09-02 13:45:00	2015-09-02 13:55:00	289.894	3.627	-2.463	0.912
2015-09-02 15:30:00	2015-09-02 15:40:00	324.618	4.805	-1.863	2.575
2015-09-03 00:00:00	2015-09-03 00:10:00	106.564	-5.7	4.35	-1.293
2015-09-03 00:30:00	2015-09-03 00:40:00	115.474	-5.85	3.313	-1.563
2015-09-03 01:00:00	2015-09-03 01:10:00	115.653	-5.965	3.333	-1.597
2015-09-03 01:30:00	2015-09-03 01:40:00	132.717	-6.372	2.278	-2.073
2015-09-03 08:15:00	2015-09-03 08:25:00	103.138	-4.532	3.383	-0.777
2015-09-03 09:05:00	2015-09-03 09:15:00	105.54	-4.672	2.973	-0.815
2015-09-03 10:55:00	2015-09-03 11:05:00	350.454	-4.203	-0.278	1.837
2015-09-03 15:25:00	2015-09-03 15:35:00	104.813	-1.303	6.158	-1.642
2015-09-03 16:20:00	2015-09-03 16:30:00	67.014	-0.125	6.607	2.823
2015-09-03 16:50:00	2015-09-03 17:00:00	72.993	2.4	6.92	2.138
2015-09-03 17:45:00	2015-09-03 17:55:00	89.431	-2.748	6.66	0.053
2015-09-03 21:25:00	2015-09-03 21:35:00	309.224	0.765	-6.775	5.522
2015-09-04 20:20:00	2015-09-04 20:30:00	66.419	-3.162	3.962	1.748
2015-09-04 20:50:00	2015-09-04 21:00:00	73.896	-3.455	4.127	1.135
2015-09-04 22:05:00	2015-09-04 22:15:00	105.345	-1.415	5.747	-1.578
2015-09-04 23:45:00	2015-09-04 23:55:00	70.046	0.705	5.42	1.94
2015-09-05 00:15:00	2015-09-05 00:25:00	90.168	-0.962	5.938	-0.018
2015-09-05 01:15:00	2015-09-05 01:25:00	86.829	-1.333	5.572	0.36
2015-09-05 11:40:00	2015-09-05 11:50:00	114.99	-4.197	2.903	-1.35
2015-09-05 12:45:00	2015-09-05 12:55:00	138.909	-4.443	2.393	-2.735
2015-09-05 15:50:00	2015-09-05 16:00:00	118.608	-1.828	4.957	-2.707
2015-09-06 00:20:00	2015-09-06 00:30:00	75.464	-1.815	5.472	1.41
2015-09-06 07:40:00	2015-09-06 07:50:00	49.018	-3.127	4.803	4.09
2015-09-06 11:55:00	2015-09-06 12:05:00	106.789	-0.24	7.82	-2.363
2015-09-06 13:25:00	2015-09-06 13:35:00	108.298	-1.14	7.533	-2.5
2015-09-06 16:20:00	2015-09-06 16:30:00	70.262	-4.537	5.055	1.858
2015-09-06 21:25:00	2015-09-06 21:35:00	46.055	-2.137	4.667	4.46
2015-09-06 23:35:00	2015-09-06 23:45:00	62.614	-5.318	4.965	2.467
2015-09-07 00:20:00	2015-09-07 00:30:00	68.943	-4.442	5.788	2.267
2015-09-07 10:10:00	2015-09-07 10:20:00	302.859	-2.713	-5.06	3.165
2015-09-07 16:30:00	2015-09-07 16:40:00	130.728	-1.743	7.758	-6.693
2015-09-07 18:00:00	2015-09-07 18:10:00	160.846	2.332	3.052	-8.747
2015-09-07 21:05:00	2015-09-07 21:15:00	134.536	0.407	5.915	-5.823
2015-09-07 21:35:00	2015-09-07 21:45:00	138.076	0.625	5.763	-6.388
2015-09-07 22:20:00	2015-09-07 22:30:00	132.466	0.885	6.592	-6.062
2015-09-07 22:50:00	2015-09-07 23:00:00	134.593	0.358	6.597	-6.507
2015-09-07 23:45:00	2015-09-07 23:55:00	142.195	-0.223	6.057	-7.807
2015-09-08 00:15:00	2015-09-08 00:25:00	150.184	-0.043	4.732	-8.205
2015-09-08 00:45:00	2015-09-08 00:55:00	148.022	0.017	5.175	-8.288
2015-09-08 15:40:00	2015-09-08 15:50:00	68.287	13.675	10.477	4.125
2015-09-08 16:10:00	2015-09-08 16:20:00	64.78	13.322	10.38	4.89
2015-09-08 16:40:00	2015-09-08 16:50:00	60.301	13.217	10.157	5.797
2015-09-08 17:10:00	2015-09-08 17:20:00	59.812	12.885	10.28	5.983
2015-09-09 07:20:00	2015-09-09 07:30:00	143.113	0.698	5.788	-7.758
2015-09-09 07:50:00	2015-09-09 08:00:00	172.209	1.232	1.373	-9.987
2015-09-09 08:20:00	2015-09-09 08:30:00	172.124	1.098	1.352	-9.778
2015-09-09 08:50:00	2015-09-09 09:00:00	169.917	1.607	1.658	-9.337
2015-09-09 09:20:00	2015-09-09 09:30:00	166.64	1.998	2.092	-8.793
2015-09-09 09:50:00	2015-09-09 10:00:00	166.093	2.157	2.122	-8.583
2015-09-09 10:20:00	2015-09-09 10:30:00	169.194	0.982	1.72	-9.01
2015-09-09 10:50:00	2015-09-09 11:00:00	177.76	0.242	0.355	-8.947
2015-09-09 11:20:00	2015-09-09 11:30:00	196.894	-0.63	-2.632	-8.548
