Start_trang	End_trang	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2016-09-01/00:15:00	2016-09-01/00:25:00	125.972	-1.455	4.398	-3.202
2016-09-01/01:10:00	2016-09-01/01:20:00	143.253	-1.872	3.335	-4.408
2016-09-01/01:45:00	2016-09-01/01:55:00	114.728	2.997	5.552	-2.562
2016-09-01/02:35:00	2016-09-01/02:45:00	130.911	0.97	4.827	-4.177
2016-09-01/03:05:00	2016-09-01/03:15:00	125.613	-0.468	5.543	-3.948
2016-09-01/03:35:00	2016-09-01/03:45:00	127.537	-3.1	5.793	-4.445
2016-09-01/04:50:00	2016-09-01/05:00:00	144.672	-2.09	4.83	-6.798
2016-09-01/06:00:00	2016-09-01/06:10:00	140.358	1.728	5.458	-6.65
2016-09-01/06:45:00	2016-09-01/06:55:00	176.24	3.153	0.522	-7.713
2016-09-01/07:25:00	2016-09-01/07:35:00	129.369	-4.828	5.428	-4.61
2016-09-01/16:00:00	2016-09-01/16:10:00	25.569	-7.917	1.502	3.182
2016-09-01/20:00:00	2016-09-01/20:10:00	167.962	1.19	1.295	-6.375
2016-09-02/14:10:00	2016-09-02/14:20:00	119.274	-4.028	6.035	-3.402
2016-09-02/18:15:00	2016-09-02/18:25:00	24.986	-6.63	1.183	2.53
2016-09-02/19:40:00	2016-09-02/19:50:00	95.515	-4.397	4.947	-0.458
2016-09-02/23:20:00	2016-09-02/23:30:00	103.947	-4.47	5.61	-1.383
2016-09-03/00:00:00	2016-09-03/00:10:00	97.663	-4.047	5.167	-0.662
2016-09-03/01:05:00	2016-09-03/01:15:00	133.93	-4.92	2.18	-2.187
2016-09-04/00:30:00	2016-09-04/00:40:00	98.729	-3.54	5.122	-0.778
2016-09-04/14:55:00	2016-09-04/15:05:00	43.748	1.15	3.752	3.942
2016-09-05/01:05:00	2016-09-05/01:15:00	88.245	-3.383	1.695	0.053
2016-09-05/15:55:00	2016-09-05/16:05:00	119.996	1.815	4.542	-2.62
2016-09-05/16:25:00	2016-09-05/16:35:00	111.376	1.127	5.018	-1.965
2016-09-05/16:55:00	2016-09-05/17:05:00	116.261	0.163	5.383	-2.695
2016-09-05/17:40:00	2016-09-05/17:50:00	129.319	-0.215	4.17	-3.415
2016-09-05/18:25:00	2016-09-05/18:35:00	130.943	-1.492	3.582	-3.12
2016-09-05/18:55:00	2016-09-05/19:05:00	150.629	0.607	2.605	-4.608
2016-09-05/20:35:00	2016-09-05/20:45:00	71.133	-3.792	2.202	0.7
2016-09-05/21:15:00	2016-09-05/21:25:00	89.144	-3.635	2.368	0.05
2016-09-06/00:05:00	2016-09-06/00:15:00	51.912	-4.912	1.077	0.845
2016-09-06/02:55:00	2016-09-06/03:05:00	153.677	0.218	1.602	-3.28
2016-09-06/03:55:00	2016-09-06/04:05:00	349.356	-5.242	-0.125	0.673
2016-09-06/05:15:00	2016-09-06/05:25:00	39.866	-4.65	0.883	1.063
2016-09-06/06:10:00	2016-09-06/06:20:00	171.294	3.382	0.673	-4.33
2016-09-06/14:20:00	2016-09-06/14:30:00	56.998	-4.092	1.955	1.275
2016-09-06/20:40:00	2016-09-06/20:50:00	88.067	-1.775	3.642	0.132
2016-09-06/22:45:00	2016-09-06/22:55:00	148.063	2.76	1.768	-2.752
2016-09-07/00:10:00	2016-09-07/00:20:00	112.548	-3.977	2.518	-1.137
2016-09-07/00:45:00	2016-09-07/00:55:00	69.687	-3.948	2.44	0.958
2016-09-07/01:15:00	2016-09-07/01:25:00	58.771	-3.928	2.485	1.505
2016-09-07/02:55:00	2016-09-07/03:05:00	113.151	-2.292	2.985	-1.275
2016-09-07/03:30:00	2016-09-07/03:40:00	89.4	-3.065	3.142	0.03
2016-09-07/21:20:00	2016-09-07/21:30:00	37.854	-4.338	0.835	1.087
2016-09-07/22:20:00	2016-09-07/22:30:00	86.404	-4.188	1.38	0.05
2016-09-07/22:50:00	2016-09-07/23:00:00	112.851	-3.537	2.017	-0.868
2016-09-07/23:20:00	2016-09-07/23:30:00	128.119	-2.082	2.355	-1.893
2016-09-08/04:20:00	2016-09-08/04:30:00	210.44	3.53	-2.322	-4.03
2016-09-08/06:30:00	2016-09-08/06:40:00	139.732	-1.797	2.713	-3.127
2016-09-08/14:55:00	2016-09-08/15:05:00	206.51	-0.557	-1.963	-3.928
2016-09-08/16:15:00	2016-09-08/16:25:00	254.787	-1.043	-4.162	-1.125
2016-09-08/23:15:00	2016-09-08/23:25:00	19.635	-2.972	1.178	3.262
2016-09-09/00:45:00	2016-09-09/00:55:00	85.797	2.162	4.4	0.327
2016-09-09/01:15:00	2016-09-09/01:25:00	81.292	1.56	4.685	0.723
2016-09-09/01:50:00	2016-09-09/02:00:00	43.653	-1.958	2.588	2.823
2016-09-09/03:10:00	2016-09-09/03:20:00	14.171	-2.57	0.82	3.325
2016-09-09/03:40:00	2016-09-09/03:50:00	9.105	-0.9	0.72	4.447
