Start_str	End_str	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2018-09-01 01:35:00	2018-09-01 01:45:00	284.177	-3.255	-1.057	0.307
2018-09-01 04:00:00	2018-09-01 04:10:00	312.375	-2.53	-1.597	1.462
2018-09-02 09:15:00	2018-09-02 09:25:00	308.625	1.515	-1.805	1.445
2018-09-02 09:45:00	2018-09-02 09:55:00	313.785	1.79	-1.483	1.42
2018-09-02 11:45:00	2018-09-02 11:55:00	302.135	1.747	-2.313	1.455
2018-09-02 12:15:00	2018-09-02 12:25:00	305.265	2.21	-2.007	1.423
2018-09-02 13:15:00	2018-09-02 13:25:00	272.441	2.028	-2.427	0.107
2018-09-02 13:45:00	2018-09-02 13:55:00	279.607	1.188	-2.755	0.473
2018-09-02 14:30:00	2018-09-02 14:40:00	259.472	2.063	-2.815	-0.537
2018-09-02 15:30:00	2018-09-02 15:40:00	230.807	2.015	-3.125	-2.633
2018-09-03 04:50:00	2018-09-03 05:00:00	295.615	1.872	-4.803	2.318
2018-09-03 12:45:00	2018-09-03 12:55:00	276.82	-0.623	-3.873	0.457
2018-09-03 15:50:00	2018-09-03 16:00:00	231.894	4.18	-2.432	-1.918
2018-09-05 21:00:00	2018-09-05 21:10:00	275.868	3.353	-1.782	0.178
2018-09-05 21:30:00	2018-09-05 21:40:00	282.102	3.297	-1.597	0.33
2018-09-07 22:35:00	2018-09-07 22:45:00	267.447	2.208	-2.95	-0.138
2018-09-08 09:50:00	2018-09-08 10:00:00	297.147	1.833	-3.567	1.832
2018-09-08 18:35:00	2018-09-08 18:45:00	271.183	-1.725	-4.553	0.057
2018-09-08 19:05:00	2018-09-08 19:15:00	282.658	-0.78	-4.808	1.093
2018-09-08 19:35:00	2018-09-08 19:45:00	286.865	-0.805	-4.312	1.307
2018-09-09 09:15:00	2018-09-09 09:25:00	303.809	-2.09	-4.392	2.948
2018-09-09 09:45:00	2018-09-09 09:55:00	307.855	-1.097	-4.47	3.482
2018-09-12 07:15:00	2018-09-12 07:25:00	303.356	-3.583	-2.748	1.957
2018-09-17 14:55:00	2018-09-17 15:05:00	308.188	3.258	-5.89	4.558
2018-09-17 15:25:00	2018-09-17 15:35:00	313.826	4.428	-4.61	4.442
2018-09-17 15:55:00	2018-09-17 16:05:00	314.757	5.632	-4.348	4.227
2018-09-18 01:55:00	2018-09-18 02:05:00	313.139	2.94	-2.547	2.367
2018-09-19 06:25:00	2018-09-19 06:35:00	269.669	-0.98	-2.427	-0.043
2018-09-19 10:00:00	2018-09-19 10:10:00	226.154	3.665	-0.728	-0.693
2018-09-19 10:35:00	2018-09-19 10:45:00	258.025	3.423	-1.528	-0.315
2018-09-19 11:05:00	2018-09-19 11:15:00	267.664	3.738	-1.508	-0.062
2018-09-19 13:15:00	2018-09-19 13:25:00	290.573	3.835	-1.343	0.498
2018-09-19 14:40:00	2018-09-19 14:50:00	260.958	3.895	-1.413	-0.22
2018-09-19 15:25:00	2018-09-19 15:35:00	281.59	3.742	-0.98	0.208
2018-09-19 20:50:00	2018-09-19 21:00:00	296.052	-2.947	-1.862	0.907
2018-09-19 21:50:00	2018-09-19 22:00:00	302.482	-1.58	-2.172	1.385
2018-09-19 22:20:00	2018-09-19 22:30:00	302.483	-1.302	-2.393	1.523
2018-09-20 08:10:00	2018-09-20 08:20:00	237.28	2.825	-1.015	-0.653
2018-09-20 08:55:00	2018-09-20 09:05:00	297.476	-0.068	-2.29	1.185
2018-09-20 12:25:00	2018-09-20 12:35:00	276.928	1.365	-3.097	0.372
2018-09-20 12:55:00	2018-09-20 13:05:00	275.695	1.493	-3.027	0.292
2018-09-20 13:25:00	2018-09-20 13:35:00	277.6	0.898	-3.347	0.442
2018-09-20 15:05:00	2018-09-20 15:15:00	312.751	1.063	-2.447	2.267
2018-09-20 21:40:00	2018-09-20 21:50:00	311.606	-1.103	-1.837	1.628
2018-09-20 22:10:00	2018-09-20 22:20:00	302.685	-0.348	-2.062	1.323
2018-09-20 22:40:00	2018-09-20 22:50:00	292.62	0.167	-2.212	0.923
2018-09-20 23:10:00	2018-09-20 23:20:00	293.703	0.157	-2.158	0.95
2018-09-20 23:55:00	2018-09-21 00:05:00	286.305	-0.348	-2.22	0.648
2018-09-21 00:25:00	2018-09-21 00:35:00	267.14	0.858	-1.702	-0.032
2018-09-21 00:55:00	2018-09-21 01:05:00	263.464	1.633	-1.235	-0.188
2018-09-23 06:25:00	2018-09-23 06:35:00	257.074	4.938	-3.413	-0.787
