Start_str	End_str	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2019-09-17 07:30:00	2019-09-17 07:40:00	284.799	-0.28	-4.797	1.262
2019-09-17 15:15:00	2019-09-17 15:25:00	294.556	2.822	-3.96	1.79
2019-09-17 15:45:00	2019-09-17 15:55:00	294.403	2.95	-3.825	1.777
2019-09-17 16:40:00	2019-09-17 16:50:00	235.839	3.665	-2.655	-1.76
2019-09-20 09:50:00	2019-09-20 10:00:00	251.279	-1.085	-2.295	-0.712
2019-09-23 18:35:00	2019-09-23 18:45:00	270.937	1.752	-4.377	0.052
2019-09-23 19:15:00	2019-09-23 19:25:00	306.652	1.94	-3.513	2.602
2019-09-23 19:45:00	2019-09-23 19:55:00	308.62	1.105	-3.432	2.728
2019-09-27 10:10:00	2019-09-27 10:20:00	295.683	4.735	-3.538	1.693
2019-10-14 15:20:00	2019-10-14 15:30:00	240.77	1.73	-5.528	-3.12
2019-10-14 17:15:00	2019-10-14 17:25:00	267.862	0.49	-6.105	-0.185
2019-10-14 17:45:00	2019-10-14 17:55:00	271.275	0.287	-6.608	0.155
2019-10-14 18:15:00	2019-10-14 18:25:00	259.61	-0.757	-6.325	-1.16
2019-10-14 19:55:00	2019-10-14 20:05:00	244.144	-2.017	-5.883	-2.842
2019-10-14 20:25:00	2019-10-14 20:35:00	256.781	-0.683	-6.688	-1.568
2019-10-14 20:55:00	2019-10-14 21:05:00	257.909	0.242	-7.05	-1.508
2019-10-14 23:00:00	2019-10-14 23:10:00	289.591	2.002	-6.698	2.385
2019-10-14 23:30:00	2019-10-14 23:40:00	306.961	1.43	-5.682	4.28
2019-10-15 03:25:00	2019-10-15 03:35:00	305.805	0.295	-3.282	2.368
2019-10-15 19:20:00	2019-10-15 19:30:00	310.012	-1.46	-5.508	4.632
2019-10-19 06:45:00	2019-10-19 06:55:00	278.358	1.872	-3.738	0.558
2019-10-22 16:30:00	2019-10-22 16:40:00	254.371	1.465	-1.93	-0.508
2019-10-22 22:20:00	2019-10-22 22:30:00	287.81	0.758	-3.105	0.99
2019-10-29 22:25:00	2019-10-29 22:35:00	290.901	-1.275	-5.848	2.233
2019-10-29 22:55:00	2019-10-29 23:05:00	293.589	-0.913	-5.988	2.573
2019-10-29 23:25:00	2019-10-29 23:35:00	289.378	-0.683	-6.683	2.35
2019-10-29 23:55:00	2019-10-30 00:05:00	290.224	-1.128	-6.95	2.567
2019-10-30 00:35:00	2019-10-30 00:45:00	296.571	0.502	-6.835	3.402
2019-10-30 01:05:00	2019-10-30 01:15:00	291.947	0.272	-7.247	2.937
2019-10-30 01:35:00	2019-10-30 01:45:00	299.29	-0.057	-7.467	4.192
2019-10-30 02:05:00	2019-10-30 02:15:00	290.11	1.05	-8.185	3.0
2019-10-30 02:40:00	2019-10-30 02:50:00	290.77	1.148	-8.9	3.393
2019-10-30 06:10:00	2019-10-30 06:20:00	277.069	-1.545	-10.698	1.333
