Start_trang	End_trang	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2020-09-04/12:10:00	2020-09-04/12:20:00	230.346	-1.595	-3.253	-2.697
2020-09-05/11:45:00	2020-09-05/11:55:00	278.429	-2.863	-3.333	0.495
2020-09-05/12:20:00	2020-09-05/12:30:00	280.664	-1.75	-4.168	0.778
2020-09-05/14:05:00	2020-09-05/14:15:00	306.456	-2.135	-3.267	2.45
2020-09-05/14:35:00	2020-09-05/14:45:00	289.126	-1.967	-3.955	1.37
2020-09-08/22:05:00	2020-09-08/22:15:00	278.573	0.887	-2.668	0.403
2020-09-09/02:30:00	2020-09-09/02:40:00	268.503	1.987	-3.14	-0.078
2020-09-09/03:40:00	2020-09-09/03:50:00	289.991	-1.453	-2.833	1.058
2020-09-09/04:10:00	2020-09-09/04:20:00	283.13	0.08	-3.583	0.817
2020-09-09/04:55:00	2020-09-09/05:05:00	281.79	1.842	-3.588	0.79
2020-09-09/05:50:00	2020-09-09/06:00:00	275.169	1.87	-3.012	0.302
2020-09-09/07:40:00	2020-09-09/07:50:00	300.793	0.877	-3.392	1.995
2020-09-11/05:30:00	2020-09-11/05:40:00	253.002	2.518	-2.368	-0.733
2020-09-11/06:00:00	2020-09-11/06:10:00	257.542	2.137	-2.545	-0.57
2020-09-11/06:40:00	2020-09-11/06:50:00	237.475	2.163	-2.237	-1.42
2020-09-11/09:25:00	2020-09-11/09:35:00	225.75	2.163	-1.585	-1.545
2020-09-18/04:55:00	2020-09-18/05:05:00	244.774	-2.7	-1.288	-0.622
2020-09-19/20:15:00	2020-09-19/20:25:00	237.799	-0.235	-1.052	-0.632
2020-09-19/20:50:00	2020-09-19/21:00:00	260.215	0.538	-1.473	-0.255
2020-09-21/16:40:00	2020-09-21/16:50:00	304.735	-0.132	-5.11	3.552
2020-09-21/18:40:00	2020-09-21/18:50:00	277.933	0.872	-7.62	1.073
2020-09-21/19:20:00	2020-09-21/19:30:00	289.069	-0.475	-7.925	2.765
2020-09-21/19:50:00	2020-09-21/20:00:00	284.86	1.3	-7.943	2.108
2020-09-21/20:30:00	2020-09-21/20:40:00	292.836	0.787	-6.867	2.892
2020-09-22/02:40:00	2020-09-22/02:50:00	268.859	1.917	-6.933	-0.16
2020-09-22/03:50:00	2020-09-22/04:00:00	301.33	-3.547	-6.095	3.687
2020-09-25/12:35:00	2020-09-25/12:45:00	278.749	2.933	-3.672	0.585
2020-09-25/13:05:00	2020-09-25/13:15:00	278.511	3.755	-4.282	0.665
2020-10-06/17:55:00	2020-10-06/18:05:00	271.942	-3.335	-3.445	0.095
2020-10-06/18:25:00	2020-10-06/18:35:00	284.3	-3.57	-3.405	0.872
2020-10-06/18:55:00	2020-10-06/19:05:00	295.201	-3.488	-2.98	1.403
2020-10-06/19:35:00	2020-10-06/19:45:00	290.688	-4.165	-3.262	1.23
2020-10-06/20:50:00	2020-10-06/21:00:00	298.862	-4.745	-2.24	1.213
2020-10-06/21:50:00	2020-10-06/22:00:00	313.025	-4.943	-3.333	3.107
2020-10-07/06:35:00	2020-10-07/06:45:00	307.455	-0.72	-5.05	3.928
2020-10-07/07:35:00	2020-10-07/07:45:00	306.66	1.605	-5.427	4.083
2020-10-09/00:50:00	2020-10-09/01:00:00	251.87	-0.107	-3.225	-1.075
2020-10-09/07:15:00	2020-10-09/07:25:00	262.926	2.73	-1.843	-0.208
2020-10-09/19:15:00	2020-10-09/19:25:00	311.367	0.827	-2.265	2.005
2020-10-10/02:15:00	2020-10-10/02:25:00	307.988	1.465	-2.062	1.598
2020-10-10/04:45:00	2020-10-10/04:55:00	292.822	2.493	-2.34	0.983
2020-10-10/05:15:00	2020-10-10/05:25:00	276.729	2.215	-2.785	0.32
2020-10-10/06:15:00	2020-10-10/06:25:00	270.784	2.472	-2.6	0.038
2020-10-10/06:45:00	2020-10-10/06:55:00	259.669	2.705	-2.597	-0.458
2020-10-10/07:25:00	2020-10-10/07:35:00	228.353	2.902	-1.895	-1.682
2020-10-10/07:55:00	2020-10-10/08:05:00	232.401	2.467	-2.132	-1.645
2020-10-10/10:50:00	2020-10-10/11:00:00	312.657	0.835	-2.75	2.532
2020-10-10/18:25:00	2020-10-10/18:35:00	295.922	0.93	-2.03	0.983
2020-10-10/19:10:00	2020-10-10/19:20:00	266.219	0.257	-2.077	-0.145
2020-10-10/19:55:00	2020-10-10/20:05:00	291.072	-0.268	-3.19	1.228
2020-10-10/20:25:00	2020-10-10/20:35:00	283.898	-0.06	-3.503	0.87
2020-10-10/20:55:00	2020-10-10/21:05:00	295.259	0.013	-3.217	1.518
2020-10-10/21:25:00	2020-10-10/21:35:00	302.05	0.258	-3.11	1.95
