Start_str	End_str	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2016-09-06 03:55:00	2016-09-06 04:05:00	349.356	-5.242	-0.125	0.673
2016-09-17 12:55:00	2016-09-17 13:05:00	350.45	2.868	-1.11	6.577
2016-09-21 14:25:00	2016-09-21 14:35:00	317.99	1.105	-3.038	3.367
2016-09-21 14:55:00	2016-09-21 15:05:00	322.16	0.973	-2.95	3.797
2016-09-21 15:30:00	2016-09-21 15:40:00	320.582	-0.462	-3.318	4.04
2016-09-22 13:55:00	2016-09-22 14:05:00	353.434	3.883	-0.342	3.01
2016-09-22 14:25:00	2016-09-22 14:35:00	352.339	4.14	-0.318	2.427
2016-09-22 19:00:00	2016-09-22 19:10:00	329.095	4.698	-0.9	1.517
2016-09-22 19:30:00	2016-09-22 19:40:00	316.139	4.697	-1.057	1.1
2016-09-22 20:00:00	2016-09-22 20:10:00	321.339	4.588	-1.02	1.307
2016-09-22 20:30:00	2016-09-22 20:40:00	331.765	4.42	-0.9	1.69
2016-09-22 21:15:00	2016-09-22 21:25:00	335.534	4.453	-0.787	1.737
2016-09-22 21:45:00	2016-09-22 21:55:00	344.328	4.287	-0.515	1.852
2016-09-22 22:15:00	2016-09-22 22:25:00	343.059	4.287	-0.522	1.722
2016-09-22 23:05:00	2016-09-22 23:15:00	350.033	4.375	-0.333	1.922
2016-09-22 23:35:00	2016-09-22 23:45:00	350.575	4.373	-0.355	2.132
2016-09-23 11:40:00	2016-09-23 11:50:00	346.373	0.05	-1.358	5.6
2016-09-23 12:10:00	2016-09-23 12:20:00	346.052	-0.247	-1.355	5.452
2016-09-23 12:40:00	2016-09-23 12:50:00	352.18	0.88	-0.743	5.41
2016-09-23 13:15:00	2016-09-23 13:25:00	335.009	-0.458	-2.273	4.788
2016-09-23 16:50:00	2016-09-23 17:00:00	321.029	-2.957	-2.988	3.695
2016-09-23 17:50:00	2016-09-23 18:00:00	316.111	-4.102	-2.52	2.593
2016-09-23 21:10:00	2016-09-23 21:20:00	338.856	0.597	-2.203	5.68
2016-09-23 22:00:00	2016-09-23 22:10:00	324.342	-0.007	-4.033	5.622
2016-09-23 23:35:00	2016-09-23 23:45:00	337.32	-1.515	-2.298	5.625
2016-09-24 00:30:00	2016-09-24 00:40:00	334.194	-0.86	-2.48	5.293
2016-09-24 01:20:00	2016-09-24 01:30:00	351.607	2.017	-0.875	5.872
2016-09-24 01:50:00	2016-09-24 02:00:00	341.422	0.79	-1.963	5.843
2016-09-24 02:20:00	2016-09-24 02:30:00	334.462	0.795	-2.503	5.335
2016-09-24 02:50:00	2016-09-24 03:00:00	333.588	0.745	-2.477	5.133
2016-09-24 03:50:00	2016-09-24 04:00:00	321.4	0.167	-4.38	5.448
2016-10-04 15:20:00	2016-10-04 15:30:00	330.993	-0.527	-4.51	8.038
2016-10-07 10:50:00	2016-10-07 11:00:00	325.101	-3.917	-1.417	2.05
2016-10-07 11:20:00	2016-10-07 11:30:00	328.722	-3.862	-1.583	2.605
2016-10-07 11:50:00	2016-10-07 12:00:00	331.647	-3.775	-1.528	2.833
2016-10-07 12:45:00	2016-10-07 12:55:00	324.579	-3.748	-1.758	2.478
2016-10-11 01:05:00	2016-10-11 01:15:00	330.964	6.015	-1.52	2.483
2016-10-11 01:35:00	2016-10-11 01:45:00	339.589	6.445	-0.848	2.17
2016-10-11 02:05:00	2016-10-11 02:15:00	336.482	6.193	-1.172	2.67
2016-10-11 11:40:00	2016-10-11 11:50:00	324.15	2.985	-2.782	3.878
2016-10-11 12:10:00	2016-10-11 12:20:00	324.42	2.622	-2.783	3.847
2016-10-11 12:40:00	2016-10-11 12:50:00	333.094	3.765	-1.83	3.588
2016-10-11 13:10:00	2016-10-11 13:20:00	319.851	5.205	-1.51	1.833
2016-10-11 13:40:00	2016-10-11 13:50:00	327.727	4.167	-1.6	2.998
2016-10-11 14:10:00	2016-10-11 14:20:00	325.663	4.008	-2.382	3.412
2016-10-11 16:15:00	2016-10-11 16:25:00	353.255	4.812	-0.473	4.038
2016-10-11 17:50:00	2016-10-11 18:00:00	339.188	4.185	-1.452	3.788
2016-10-12 12:00:00	2016-10-12 12:10:00	317.75	2.315	-1.525	1.662
2016-10-16 13:55:00	2016-10-16 14:05:00	336.284	3.745	-2.12	4.815
2016-10-16 15:40:00	2016-10-16 15:50:00	333.879	3.765	-1.205	2.7
2016-10-16 16:20:00	2016-10-16 16:30:00	343.898	3.223	-1.255	4.177
2016-10-20 09:25:00	2016-10-20 09:35:00	349.816	-1.745	-0.735	3.95
2016-10-20 10:00:00	2016-10-20 10:10:00	340.707	-1.82	-1.042	3.05
2016-10-20 11:30:00	2016-10-20 11:40:00	349.016	-1.047	-0.633	3.26
2016-10-20 16:45:00	2016-10-20 16:55:00	343.441	3.695	-0.822	2.762
2016-10-20 20:15:00	2016-10-20 20:25:00	326.418	-2.318	-2.083	3.105
2016-10-20 23:20:00	2016-10-20 23:30:00	352.39	-3.028	-0.425	3.138
2016-10-21 00:25:00	2016-10-21 00:35:00	331.566	-2.932	-1.317	2.447
2016-10-21 10:10:00	2016-10-21 10:20:00	319.746	-0.018	-2.468	2.912
2016-10-21 15:50:00	2016-10-21 16:00:00	343.131	-1.707	-0.735	2.48
2016-10-21 16:20:00	2016-10-21 16:30:00	318.109	-0.713	-2.055	2.287
2016-10-21 22:20:00	2016-10-21 22:30:00	316.028	-1.628	-2.797	2.96
2016-10-22 01:30:00	2016-10-22 01:40:00	315.768	-0.685	-3.115	3.23
2016-10-22 10:25:00	2016-10-22 10:35:00	318.522	0.805	-3.692	4.17
2016-10-22 10:55:00	2016-10-22 11:05:00	335.524	0.467	-2.195	4.823
2016-10-24 17:05:00	2016-10-24 17:15:00	329.978	-4.713	-2.115	3.695
2016-11-04 16:55:00	2016-11-04 17:05:00	349.353	-4.282	-0.518	2.895
2016-11-04 17:25:00	2016-11-04 17:35:00	321.132	-4.535	-1.562	1.912
2016-11-04 17:55:00	2016-11-04 18:05:00	326.949	-4.275	-1.6	2.478
2016-11-05 11:10:00	2016-11-05 11:20:00	348.545	-3.912	-0.368	1.778
2016-11-05 11:40:00	2016-11-05 11:50:00	340.813	-3.763	-0.573	1.653
2016-11-05 12:10:00	2016-11-05 12:20:00	322.895	-3.98	-1.287	1.7
2016-11-05 13:05:00	2016-11-05 13:15:00	322.299	-3.543	-1.148	1.473
2016-11-05 13:35:00	2016-11-05 13:45:00	339.885	-3.457	-0.552	1.515
2016-11-05 14:05:00	2016-11-05 14:15:00	327.914	-3.263	-0.912	1.443
2016-11-05 14:55:00	2016-11-05 15:05:00	323.385	-3.385	-1.032	1.348
2016-11-05 15:25:00	2016-11-05 15:35:00	328.589	-3.537	-0.882	1.443
2016-11-05 15:55:00	2016-11-05 16:05:00	332.098	-3.485	-0.898	1.7
2016-11-05 19:50:00	2016-11-05 20:00:00	350.84	-3.363	-0.188	1.17
2016-11-05 20:20:00	2016-11-05 20:30:00	336.212	-3.448	-0.43	0.983
2016-11-07 10:45:00	2016-11-07 10:55:00	357.493	0.685	-0.207	4.722
2016-11-07 11:15:00	2016-11-07 11:25:00	354.823	0.428	-0.423	4.663
2016-11-07 11:45:00	2016-11-07 11:55:00	348.243	0.688	-0.858	4.175
2016-11-07 16:20:00	2016-11-07 16:30:00	318.954	2.417	-1.372	1.537
2016-11-07 16:50:00	2016-11-07 17:00:00	327.489	3.142	-0.922	1.395
2016-11-07 17:20:00	2016-11-07 17:30:00	337.823	3.145	-0.49	1.243
2016-11-07 18:20:00	2016-11-07 18:30:00	319.038	3.735	-0.888	1.057
2016-11-08 07:25:00	2016-11-08 07:35:00	332.646	1.872	-1.67	3.263
2016-11-08 15:40:00	2016-11-08 15:50:00	347.536	2.753	-0.672	3.028
2016-11-08 16:10:00	2016-11-08 16:20:00	337.38	3.025	-1.108	2.663
2016-11-08 16:40:00	2016-11-08 16:50:00	327.661	2.463	-1.555	2.427
2016-11-09 20:50:00	2016-11-09 21:00:00	344.109	1.937	-1.967	6.823
2016-11-09 22:55:00	2016-11-09 23:05:00	328.792	3.433	-4.395	7.252
2016-11-18 07:00:00	2016-11-18 07:10:00	351.719	2.072	-0.407	2.812
2016-11-18 08:35:00	2016-11-18 08:45:00	315.902	2.432	-1.485	1.595
2016-11-19 10:40:00	2016-11-19 10:50:00	323.574	-0.79	-2.48	3.337
2016-11-19 15:25:00	2016-11-19 15:35:00	346.248	-2.083	-1.137	4.608
2016-12-06 06:55:00	2016-12-06 07:05:00	319.936	0.57	-4.182	4.998
2016-12-09 02:40:00	2016-12-09 02:50:00	332.75	4.53	-2.115	3.987
2016-12-09 04:35:00	2016-12-09 04:45:00	321.915	7.027	-1.95	2.49
2016-12-12 10:40:00	2016-12-12 10:50:00	348.409	4.693	-0.73	3.417
2016-12-12 11:10:00	2016-12-12 11:20:00	356.264	4.832	-0.19	2.995
