Start_str	End_str	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2019-09-17 14:45:00	2019-09-17 14:55:00	316.806	3.207	-2.817	2.948
2019-09-24 22:10:00	2019-09-24 22:20:00	336.31	2.872	-3.022	7.052
2019-09-24 22:40:00	2019-09-24 22:50:00	342.939	3.837	-2.028	6.615
2019-09-25 00:40:00	2019-09-25 00:50:00	354.41	2.128	-0.403	4.092
2019-09-25 01:10:00	2019-09-25 01:20:00	342.091	0.827	-1.288	3.983
2019-09-25 01:40:00	2019-09-25 01:50:00	323.422	-1.97	-2.358	3.178
2019-10-04 19:25:00	2019-10-04 19:35:00	347.778	-3.62	-0.358	1.605
2019-10-04 20:40:00	2019-10-04 20:50:00	329.775	-4.06	-0.513	0.88
2019-10-15 00:00:00	2019-10-15 00:10:00	331.775	0.795	-3.092	5.812
2019-10-15 04:40:00	2019-10-15 04:50:00	320.378	2.257	-2.905	3.502
2019-10-15 07:05:00	2019-10-15 07:15:00	343.558	2.79	-1.377	4.683
2019-10-15 16:05:00	2019-10-15 16:15:00	327.043	1.658	-2.692	4.17
2019-10-15 16:35:00	2019-10-15 16:45:00	323.354	1.498	-3.128	4.207
2019-10-15 17:30:00	2019-10-15 17:40:00	325.334	0.96	-2.575	3.715
2019-10-15 19:50:00	2019-10-15 20:00:00	322.164	-1.05	-4.468	5.723
2019-10-18 10:45:00	2019-10-18 10:55:00	328.176	-3.515	-0.352	0.56
2019-10-22 01:35:00	2019-10-22 01:45:00	320.928	1.07	-1.58	1.942
2019-10-23 02:00:00	2019-10-23 02:10:00	331.231	1.257	-0.887	1.637
2019-10-29 21:25:00	2019-10-29 21:35:00	329.817	-4.125	-3.003	5.163
2019-11-01 12:50:00	2019-11-01 13:00:00	333.264	0.725	-1.562	3.1
2019-11-01 13:20:00	2019-11-01 13:30:00	330.23	0.465	-1.808	3.158
2019-11-01 21:30:00	2019-11-01 21:40:00	316.509	1.977	-1.738	1.83
