Start_trang	End_trang	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2015-09-01/13:35:00	2015-09-01/13:45:00	317.811	3.378	-2.993	3.33
2015-09-02/15:30:00	2015-09-02/15:40:00	324.618	4.805	-1.863	2.575
2015-09-03/10:55:00	2015-09-03/11:05:00	350.454	-4.203	-0.278	1.837
2015-09-10/11:30:00	2015-09-10/11:40:00	322.318	5.037	-2.865	3.72
2015-09-19/13:50:00	2015-09-19/14:00:00	315.17	4.153	-5.405	5.41
2015-09-19/14:45:00	2015-09-19/14:55:00	338.393	3.282	-2.29	5.785
2015-09-19/15:15:00	2015-09-19/15:25:00	344.787	3.472	-1.573	5.768
2015-09-19/16:50:00	2015-09-19/17:00:00	355.549	0.773	-0.437	5.598
2015-09-19/17:25:00	2015-09-19/17:35:00	350.222	2.737	-0.798	4.647
2015-09-22/08:55:00	2015-09-22/09:05:00	330.895	4.347	-1.628	2.923
2015-09-22/12:05:00	2015-09-22/12:15:00	322.172	2.675	-3.022	3.913
2015-09-23/06:15:00	2015-09-23/06:25:00	337.164	-3.447	-2.32	5.51
2015-09-23/12:50:00	2015-09-23/13:00:00	327.28	8.127	-2.137	3.347
2015-09-23/13:20:00	2015-09-23/13:30:00	324.373	7.352	-2.983	4.203
2015-09-23/14:20:00	2015-09-23/14:30:00	343.448	3.487	-2.218	7.592
2015-09-25/16:15:00	2015-09-25/16:25:00	316.167	-0.892	-4.057	4.202
2015-09-25/18:30:00	2015-09-25/18:40:00	345.201	3.223	-0.85	3.37
2015-09-26/12:40:00	2015-09-26/12:50:00	323.167	1.228	-2.79	3.755
2015-09-26/13:10:00	2015-09-26/13:20:00	320.228	0.248	-2.995	3.615
2015-09-26/13:40:00	2015-09-26/13:50:00	320.343	-0.897	-2.705	3.227
2015-09-26/15:15:00	2015-09-26/15:25:00	326.257	2.987	-2.0	3.102
2015-09-27/06:05:00	2015-09-27/06:15:00	342.051	-2.352	-1.522	4.663
2015-09-27/06:35:00	2015-09-27/06:45:00	355.783	-1.64	-0.403	5.39
2015-09-27/08:05:00	2015-09-27/08:15:00	319.416	0.463	-3.597	4.142
2015-09-27/12:20:00	2015-09-27/12:30:00	318.169	-0.9	-3.172	3.522
2015-09-27/13:20:00	2015-09-27/13:30:00	319.685	1.668	-2.577	3.088
2015-09-27/14:00:00	2015-09-27/14:10:00	317.191	0.945	-2.948	3.162
2015-09-27/15:30:00	2015-09-27/15:40:00	315.334	0.832	-3.702	3.763
2015-09-27/17:25:00	2015-09-27/17:35:00	332.124	-0.647	-2.375	4.478
2015-09-27/17:55:00	2015-09-27/18:05:00	321.981	-0.38	-3.295	4.205
2015-09-28/06:00:00	2015-09-28/06:10:00	327.458	1.375	-2.407	3.763
2015-09-29/10:30:00	2015-09-29/10:40:00	341.106	2.103	-1.02	3.062
2015-09-29/15:20:00	2015-09-29/15:30:00	320.25	2.477	-2.228	2.69
2015-09-29/16:05:00	2015-09-29/16:15:00	328.505	1.16	-1.917	3.28
2015-09-30/06:00:00	2015-09-30/06:10:00	333.904	3.338	-1.042	2.18
2015-10-10/04:30:00	2015-10-10/04:40:00	331.363	-2.758	-1.602	3.055
2015-10-13/12:10:00	2015-10-13/12:20:00	344.14	-3.99	-1.08	3.925
2015-10-22/04:35:00	2015-10-22/04:45:00	338.396	3.802	-0.455	1.18
2015-10-22/11:05:00	2015-10-22/11:15:00	344.103	1.405	-1.145	4.063
2015-10-22/12:30:00	2015-10-22/12:40:00	331.185	3.528	-1.412	2.567
2015-10-22/16:35:00	2015-10-22/16:45:00	318.688	4.728	-1.495	1.682
2015-10-23/04:00:00	2015-10-23/04:10:00	317.914	2.9	-3.702	4.095
2015-10-23/06:20:00	2015-10-23/06:30:00	315.82	3.548	-2.605	2.642
2015-10-23/06:50:00	2015-10-23/07:00:00	330.809	4.138	-1.757	3.14
2015-10-23/07:20:00	2015-10-23/07:30:00	317.917	4.072	-2.218	2.488
2015-10-23/09:50:00	2015-10-23/10:00:00	335.227	3.54	-1.615	3.483
2015-10-24/11:05:00	2015-10-24/11:15:00	324.477	0.165	-3.153	4.395
2015-10-24/11:35:00	2015-10-24/11:45:00	329.314	1.588	-2.628	4.452
2015-10-24/12:05:00	2015-10-24/12:15:00	324.917	0.683	-3.0	4.285
2015-10-25/05:55:00	2015-10-25/06:05:00	321.364	2.695	-3.762	4.608
2015-10-25/16:10:00	2015-10-25/16:20:00	323.851	-6.972	-3.502	4.977
2015-10-25/16:40:00	2015-10-25/16:50:00	319.234	-7.627	-3.673	4.302
2015-10-25/17:10:00	2015-10-25/17:20:00	322.641	-7.48	-3.3	4.327
2015-10-25/18:20:00	2015-10-25/18:30:00	319.092	-6.45	-3.795	4.373
2015-10-25/19:10:00	2015-10-25/19:20:00	321.595	-6.187	-3.727	4.71
2015-10-25/19:40:00	2015-10-25/19:50:00	322.7	-6.232	-3.56	4.675
2015-10-26/03:25:00	2015-10-26/03:35:00	337.118	-5.36	-1.717	4.0
2015-10-26/04:25:00	2015-10-26/04:35:00	345.292	-4.612	-1.387	5.28
2015-10-26/05:10:00	2015-10-26/05:20:00	339.832	-4.773	-1.833	4.885
2015-10-26/05:40:00	2015-10-26/05:50:00	335.449	-4.88	-2.05	4.505
2015-10-28/12:20:00	2015-10-28/12:30:00	318.361	-2.145	-1.363	1.532
2015-11-03/13:05:00	2015-11-03/13:15:00	318.438	-8.045	-2.255	2.49
2015-11-05/03:00:00	2015-11-05/03:10:00	318.184	-3.533	-2.44	2.732
2015-11-18/03:15:00	2015-11-18/03:25:00	315.705	4.192	-3.022	3.172
2015-11-18/05:10:00	2015-11-18/05:20:00	328.378	3.233	-2.757	4.498
2015-11-18/05:40:00	2015-11-18/05:50:00	331.086	2.967	-2.548	4.64
2015-11-18/06:40:00	2015-11-18/06:50:00	320.375	3.412	-3.118	3.767
2015-11-19/14:35:00	2015-11-19/14:45:00	325.039	2.807	-1.795	2.533
2015-11-19/15:35:00	2015-11-19/15:45:00	328.361	2.162	-2.462	3.993
2015-11-19/23:25:00	2015-11-19/23:35:00	343.202	-1.827	-1.5	4.955
2015-11-19/23:55:00	2015-11-20/00:05:00	337.696	-0.88	-2.172	5.29
2015-11-20/00:25:00	2015-11-20/00:35:00	326.872	-0.568	-3.168	4.852
2015-11-20/12:40:00	2015-11-20/12:50:00	317.554	-0.577	-4.14	4.527
2015-11-20/13:45:00	2015-11-20/13:55:00	343.051	-0.16	-1.795	5.95
2015-11-20/14:15:00	2015-11-20/14:25:00	332.973	0.388	-2.717	5.322
2015-11-20/14:45:00	2015-11-20/14:55:00	326.249	1.762	-3.285	4.91
2015-11-20/15:15:00	2015-11-20/15:25:00	319.476	1.778	-3.945	4.605
2015-11-20/16:00:00	2015-11-20/16:10:00	315.408	2.407	-4.265	4.345
2015-11-20/16:30:00	2015-11-20/16:40:00	332.207	-0.102	-3.112	5.91
2015-11-21/10:10:00	2015-11-21/10:20:00	319.952	-3.757	-2.307	2.748
2015-11-21/14:15:00	2015-11-21/14:25:00	318.412	-0.168	-3.173	3.595
2015-11-22/11:40:00	2015-11-22/11:50:00	333.129	0.46	-1.617	3.168
2015-11-22/23:30:00	2015-11-22/23:40:00	319.54	1.932	-2.507	2.962
2015-11-23/01:15:00	2015-11-23/01:25:00	330.634	3.047	-1.453	2.605
2015-11-23/15:35:00	2015-11-23/15:45:00	315.523	2.983	-1.157	1.147
2015-11-24/00:00:00	2015-11-24/00:10:00	323.878	3.485	-0.737	0.978
2015-11-24/01:15:00	2015-11-24/01:25:00	345.64	3.09	-0.5	1.953
2015-11-24/01:45:00	2015-11-24/01:55:00	340.939	3.097	-0.623	1.788
2015-11-25/10:10:00	2015-11-25/10:20:00	324.197	0.642	-2.013	2.788
2015-11-25/11:50:00	2015-11-25/12:00:00	316.767	0.297	-2.618	2.787
2015-11-25/12:45:00	2015-11-25/12:55:00	334.989	-0.74	-1.648	3.53
2015-11-25/13:15:00	2015-11-25/13:25:00	333.835	-0.67	-1.635	3.323
2015-11-25/22:55:00	2015-11-25/23:05:00	333.579	-1.702	-1.197	2.3
2015-11-25/23:50:00	2015-11-26/00:00:00	325.624	-1.597	-1.75	2.557
2015-11-26/06:40:00	2015-11-26/06:50:00	330.425	-1.883	-1.377	2.398
2015-12-15/03:50:00	2015-12-15/04:00:00	319.389	6.203	-2.882	3.483
2015-12-17/04:40:00	2015-12-17/04:50:00	326.373	-0.233	-3.065	4.588
2015-12-17/06:35:00	2015-12-17/06:45:00	327.429	-0.518	-2.568	4.027
2015-12-23/02:40:00	2015-12-23/02:50:00	322.559	3.66	-2.775	3.642
2015-12-26/09:05:00	2015-12-26/09:15:00	336.629	5.542	-1.33	3.073
2015-12-27/02:35:00	2015-12-27/02:45:00	323.018	6.928	-1.958	2.598
2016-01-04/20:50:00	2016-01-04/21:00:00	331.815	-4.735	-1.04	1.855
2016-01-13/18:50:00	2016-01-13/19:00:00	328.739	4.592	-1.073	1.717
2016-01-15/04:30:00	2016-01-15/04:40:00	331.559	3.517	-0.672	1.23
2016-01-16/20:15:00	2016-01-16/20:25:00	318.296	-3.16	-3.15	3.522
2016-01-17/20:15:00	2016-01-17/20:25:00	321.7	-2.87	-1.242	1.59
2016-01-17/22:00:00	2016-01-17/22:10:00	318.838	-3.053	-1.237	1.452
2016-01-17/23:00:00	2016-01-17/23:10:00	324.935	-3.312	-1.13	1.588
