Start_str	End_str	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2015-09-03 00:00:00	2015-09-03 00:10:00	106.564	-5.7	4.35	-1.293
2015-09-03 00:30:00	2015-09-03 00:40:00	115.474	-5.85	3.313	-1.563
2015-09-03 01:00:00	2015-09-03 01:10:00	115.653	-5.965	3.333	-1.597
2015-09-03 01:30:00	2015-09-03 01:40:00	132.717	-6.372	2.278	-2.073
2015-09-03 08:15:00	2015-09-03 08:25:00	103.138	-4.532	3.383	-0.777
2015-09-03 09:05:00	2015-09-03 09:15:00	105.54	-4.672	2.973	-0.815
2015-09-03 15:25:00	2015-09-03 15:35:00	104.813	-1.303	6.158	-1.642
2015-09-03 16:20:00	2015-09-03 16:30:00	67.014	-0.125	6.607	2.823
2015-09-03 16:50:00	2015-09-03 17:00:00	72.993	2.4	6.92	2.138
2015-09-03 17:45:00	2015-09-03 17:55:00	89.431	-2.748	6.66	0.053
2015-09-04 20:20:00	2015-09-04 20:30:00	66.419	-3.162	3.962	1.748
2015-09-04 20:50:00	2015-09-04 21:00:00	73.896	-3.455	4.127	1.135
2015-09-04 22:05:00	2015-09-04 22:15:00	105.345	-1.415	5.747	-1.578
2015-09-04 23:45:00	2015-09-04 23:55:00	70.046	0.705	5.42	1.94
2015-09-05 00:15:00	2015-09-05 00:25:00	90.168	-0.962	5.938	-0.018
2015-09-05 01:15:00	2015-09-05 01:25:00	86.829	-1.333	5.572	0.36
2015-09-05 11:40:00	2015-09-05 11:50:00	114.99	-4.197	2.903	-1.35
2015-09-05 15:50:00	2015-09-05 16:00:00	118.608	-1.828	4.957	-2.707
2015-09-06 00:20:00	2015-09-06 00:30:00	75.464	-1.815	5.472	1.41
2015-09-06 07:40:00	2015-09-06 07:50:00	49.018	-3.127	4.803	4.09
2015-09-06 11:55:00	2015-09-06 12:05:00	106.789	-0.24	7.82	-2.363
2015-09-06 13:25:00	2015-09-06 13:35:00	108.298	-1.14	7.533	-2.5
2015-09-06 16:20:00	2015-09-06 16:30:00	70.262	-4.537	5.055	1.858
2015-09-06 21:25:00	2015-09-06 21:35:00	46.055	-2.137	4.667	4.46
2015-09-06 23:35:00	2015-09-06 23:45:00	62.614	-5.318	4.965	2.467
2015-09-07 00:20:00	2015-09-07 00:30:00	68.943	-4.442	5.788	2.267
2015-09-07 16:30:00	2015-09-07 16:40:00	130.728	-1.743	7.758	-6.693
