Start_str	End_str	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2019-09-07 08:45:00	2019-09-07 08:55:00	151.915	-2.653	0.997	-2.025
2019-09-09 16:05:00	2019-09-09 16:15:00	139.669	-0.97	2.543	-2.997
2019-09-09 16:35:00	2019-09-09 16:45:00	148.004	-0.337	2.268	-3.635
2019-09-09 23:10:00	2019-09-09 23:20:00	223.586	-4.108	-1.18	-1.218
2019-09-14 02:45:00	2019-09-14 02:55:00	144.648	-2.94	0.853	-1.18
2019-09-14 04:40:00	2019-09-14 04:50:00	191.657	-2.937	-0.392	-2.265
2019-09-14 05:40:00	2019-09-14 05:50:00	208.009	-2.487	-1.278	-2.372
2019-09-14 06:10:00	2019-09-14 06:20:00	216.507	-2.66	-1.482	-1.918
2019-09-20 04:00:00	2019-09-20 04:10:00	196.91	-2.997	-0.353	-1.175
2019-09-20 04:30:00	2019-09-20 04:40:00	218.134	-2.968	-0.783	-1.003
2019-09-20 05:00:00	2019-09-20 05:10:00	214.552	-2.907	-0.782	-1.143
2019-09-20 05:50:00	2019-09-20 06:00:00	216.98	-2.632	-0.813	-1.117
2019-09-20 06:25:00	2019-09-20 06:35:00	208.64	-2.688	-0.67	-1.198
2019-09-20 06:55:00	2019-09-20 07:05:00	206.87	-2.37	-0.908	-1.787
2019-09-20 07:25:00	2019-09-20 07:35:00	186.715	-2.597	-0.175	-1.528
2019-09-20 07:55:00	2019-09-20 08:05:00	177.973	-2.805	0.038	-1.213
2019-09-20 08:35:00	2019-09-20 08:45:00	191.451	-2.962	-0.162	-0.8
2019-09-20 20:40:00	2019-09-20 20:50:00	211.973	-2.128	-0.532	-0.838
2019-09-21 02:45:00	2019-09-21 02:55:00	188.912	-1.908	-0.213	-1.425
2019-09-21 04:35:00	2019-09-21 04:45:00	174.952	-1.267	0.267	-3.07
2019-09-21 15:20:00	2019-09-21 15:30:00	153.521	0.33	1.89	-3.785
2019-09-21 19:35:00	2019-09-21 19:45:00	185.464	1.443	-0.342	-3.602
2019-09-23 15:05:00	2019-09-23 15:15:00	211.576	2.92	-1.137	-1.83
2019-09-23 16:00:00	2019-09-23 16:10:00	220.792	2.348	-2.457	-2.848
2019-09-23 23:50:00	2019-09-24 00:00:00	213.828	-1.648	-1.733	-2.585
2019-09-24 00:55:00	2019-09-24 01:05:00	203.769	-0.445	-1.932	-4.397
2019-09-24 02:25:00	2019-09-24 02:35:00	206.676	-0.755	-2.137	-4.252
2019-09-24 03:25:00	2019-09-24 03:35:00	199.849	-1.122	-2.04	-5.67
2019-09-24 03:55:00	2019-09-24 04:05:00	191.826	-0.578	-1.215	-5.818
2019-09-24 04:25:00	2019-09-24 04:35:00	182.268	-0.19	-0.233	-5.878
2019-09-24 04:55:00	2019-09-24 05:05:00	183.706	-1.212	-0.35	-5.482
2019-09-24 05:30:00	2019-09-24 05:40:00	181.527	-2.218	-0.15	-5.705
2019-09-28 08:45:00	2019-09-28 08:55:00	153.639	-2.765	2.17	-4.372
2019-10-01 02:35:00	2019-10-01 02:45:00	165.769	-2.515	1.413	-5.712
2019-10-01 03:05:00	2019-10-01 03:15:00	153.231	-3.172	2.418	-4.817
2019-10-01 05:55:00	2019-10-01 06:05:00	149.241	-0.912	3.207	-5.335
2019-10-01 19:40:00	2019-10-01 19:50:00	150.526	-1.08	1.585	-2.825
2019-10-01 21:10:00	2019-10-01 21:20:00	140.013	-2.487	1.31	-1.49
2019-10-01 21:40:00	2019-10-01 21:50:00	145.298	-2.73	1.71	-2.488
2019-10-01 22:40:00	2019-10-01 22:50:00	149.897	-1.963	1.867	-3.227
2019-10-02 00:45:00	2019-10-02 00:55:00	137.123	-1.668	1.473	-1.613
2019-10-05 13:50:00	2019-10-05 14:00:00	146.531	3.275	1.983	-2.987
2019-10-05 19:50:00	2019-10-05 20:00:00	171.989	-2.823	0.53	-3.818
2019-10-07 15:55:00	2019-10-07 16:05:00	138.455	0.292	3.89	-4.387
2019-10-09 06:55:00	2019-10-09 07:05:00	193.464	1.775	-0.817	-3.395
2019-10-11 06:45:00	2019-10-11 06:55:00	146.682	-2.55	1.258	-1.91
2019-10-11 07:35:00	2019-10-11 07:45:00	149.962	-0.967	1.717	-3.0
2019-10-11 08:05:00	2019-10-11 08:15:00	149.977	-0.828	1.767	-3.05
2019-10-11 18:40:00	2019-10-11 18:50:00	144.136	-3.137	0.59	-0.748
2019-10-14 16:05:00	2019-10-14 16:15:00	216.314	1.592	-3.435	-4.67
2019-10-18 03:30:00	2019-10-18 03:40:00	148.211	0.07	2.307	-3.722
2019-10-18 11:25:00	2019-10-18 11:35:00	158.621	-3.067	0.457	-1.157
2019-10-18 12:15:00	2019-10-18 12:25:00	152.245	-3.443	0.628	-1.188
2019-10-18 14:30:00	2019-10-18 14:40:00	135.747	-1.898	1.805	-1.852
2019-10-19 09:55:00	2019-10-19 10:05:00	177.836	1.407	0.123	-3.213
2019-10-19 10:25:00	2019-10-19 10:35:00	178.45	1.247	0.09	-3.342
2019-10-19 10:55:00	2019-10-19 11:05:00	180.756	1.318	-0.042	-3.053
2019-10-19 11:50:00	2019-10-19 12:00:00	154.509	-0.383	1.247	-2.617
2019-10-19 12:30:00	2019-10-19 12:40:00	147.84	-0.128	1.695	-2.695
2019-10-19 13:05:00	2019-10-19 13:15:00	135.985	-2.425	2.113	-2.192
2019-10-19 15:35:00	2019-10-19 15:45:00	211.009	3.418	-1.625	-2.708
2019-10-19 16:05:00	2019-10-19 16:15:00	212.31	3.287	-1.795	-2.835
2019-10-19 16:35:00	2019-10-19 16:45:00	209.015	3.533	-1.52	-2.67
2019-10-19 17:05:00	2019-10-19 17:15:00	211.465	3.603	-1.595	-2.605
2019-10-19 17:40:00	2019-10-19 17:50:00	210.654	3.33	-1.273	-2.192
2019-10-19 18:30:00	2019-10-19 18:40:00	202.6	3.778	-0.848	-2.05
2019-10-25 08:15:00	2019-10-25 08:25:00	150.02	-2.602	3.058	-5.315
2019-10-25 08:45:00	2019-10-25 08:55:00	147.512	-2.742	3.2	-5.055
2019-10-29 15:25:00	2019-10-29 15:35:00	218.18	-3.458	-2.158	-2.695
2019-11-04 21:30:00	2019-11-04 21:40:00	156.664	-3.327	0.63	-1.558
2019-11-05 17:35:00	2019-11-05 17:45:00	143.306	3.352	2.113	-2.898
2019-11-08 09:40:00	2019-11-08 09:50:00	166.807	-0.87	0.495	-2.122
2019-11-08 17:00:00	2019-11-08 17:10:00	144.29	-2.585	1.282	-1.798
2019-11-08 17:30:00	2019-11-08 17:40:00	142.141	-2.353	1.383	-1.765
2019-11-08 18:00:00	2019-11-08 18:10:00	140.814	-1.432	1.81	-2.232
