Start_str	End_str	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2020-09-01 17:50:00	2020-09-01 18:00:00	188.332	3.787	-0.358	-2.445
2020-09-01 18:30:00	2020-09-01 18:40:00	181.256	4.03	-0.053	-2.558
2020-09-01 19:00:00	2020-09-01 19:10:00	174.297	4.087	0.263	-2.638
2020-09-01 19:30:00	2020-09-01 19:40:00	169.478	4.203	0.433	-2.357
2020-09-01 20:00:00	2020-09-01 20:10:00	167.84	4.73	0.322	-1.415
2020-09-01 20:30:00	2020-09-01 20:40:00	190.931	4.842	-0.23	-1.258
2020-09-01 21:10:00	2020-09-01 21:20:00	187.24	4.498	-0.207	-1.653
2020-09-01 21:40:00	2020-09-01 21:50:00	168.246	4.442	0.402	-1.898
2020-09-01 22:30:00	2020-09-01 22:40:00	157.242	4.338	0.85	-2.025
2020-09-02 00:50:00	2020-09-02 01:00:00	171.445	-2.682	0.472	-3.203
2020-09-04 09:50:00	2020-09-04 10:00:00	207.392	-0.558	-1.952	-3.76
2020-09-04 13:15:00	2020-09-04 13:25:00	217.408	-1.438	-2.8	-3.663
2020-09-04 13:45:00	2020-09-04 13:55:00	221.876	-2.642	-2.883	-3.203
2020-09-04 16:55:00	2020-09-04 17:05:00	168.42	-3.732	0.512	-2.502
2020-09-04 17:55:00	2020-09-04 18:05:00	141.93	-3.613	1.852	-2.353
2020-09-05 09:50:00	2020-09-05 10:00:00	136.475	-3.65	1.825	-1.915
2020-09-08 07:05:00	2020-09-08 07:15:00	142.436	-3.028	1.1	-1.427
2020-09-08 07:40:00	2020-09-08 07:50:00	150.3	-3.047	1.053	-1.843
2020-09-08 08:10:00	2020-09-08 08:20:00	164.565	-2.465	0.678	-2.503
2020-09-08 16:20:00	2020-09-08 16:30:00	181.683	-1.3	-0.078	-2.605
2020-09-11 10:00:00	2020-09-11 10:10:00	219.256	2.23	-1.485	-1.81
2020-09-11 11:30:00	2020-09-11 11:40:00	195.353	1.588	-0.613	-2.24
2020-09-11 13:45:00	2020-09-11 13:55:00	193.565	1.293	-0.42	-1.785
2020-09-11 19:40:00	2020-09-11 19:50:00	151.698	-0.29	1.797	-3.35
2020-09-12 05:00:00	2020-09-12 05:10:00	145.001	-1.47	1.775	-2.575
2020-09-12 07:05:00	2020-09-12 07:15:00	159.104	-0.828	1.57	-4.152
2020-09-12 09:00:00	2020-09-12 09:10:00	139.156	-2.282	2.99	-3.487
2020-09-15 22:20:00	2020-09-15 22:30:00	156.076	0.352	1.183	-2.668
2020-09-18 13:00:00	2020-09-18 13:10:00	172.582	-2.412	0.065	-0.438
