Start_trang	End_trang	Clang_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)
2015-09-01/10:05:00	2015-09-01/10:15:00	207.444	2.597	-1.925	-3.688
2015-09-01/11:40:00	2015-09-01/11:50:00	199.455	4.862	-0.612	-1.81
2015-09-05/12:45:00	2015-09-05/12:55:00	138.909	-4.443	2.393	-2.735
2015-09-07/18:00:00	2015-09-07/18:10:00	160.846	2.332	3.052	-8.747
2015-09-07/21:35:00	2015-09-07/21:45:00	138.076	0.625	5.763	-6.388
2015-09-07/23:45:00	2015-09-07/23:55:00	142.195	-0.223	6.057	-7.807
2015-09-08/00:15:00	2015-09-08/00:25:00	150.184	-0.043	4.732	-8.205
2015-09-08/00:45:00	2015-09-08/00:55:00	148.022	0.017	5.175	-8.288
2015-09-09/07:20:00	2015-09-09/07:30:00	143.113	0.698	5.788	-7.758
2015-09-09/07:50:00	2015-09-09/08:00:00	172.209	1.232	1.373	-9.987
2015-09-09/08:20:00	2015-09-09/08:30:00	172.124	1.098	1.352	-9.778
2015-09-09/08:50:00	2015-09-09/09:00:00	169.917	1.607	1.658	-9.337
2015-09-09/09:20:00	2015-09-09/09:30:00	166.64	1.998	2.092	-8.793
2015-09-09/09:50:00	2015-09-09/10:00:00	166.093	2.157	2.122	-8.583
2015-09-09/10:20:00	2015-09-09/10:30:00	169.194	0.982	1.72	-9.01
2015-09-09/10:50:00	2015-09-09/11:00:00	177.76	0.242	0.355	-8.947
2015-09-09/11:20:00	2015-09-09/11:30:00	196.894	-0.63	-2.632	-8.548
2015-09-09/12:30:00	2015-09-09/12:40:00	214.158	-0.892	-4.655	-6.85
2015-09-09/13:00:00	2015-09-09/13:10:00	199.623	-1.145	-2.77	-7.708
2015-09-09/13:30:00	2015-09-09/13:40:00	203.599	-1.252	-3.315	-7.613
2015-09-09/14:00:00	2015-09-09/14:10:00	200.222	-1.442	-2.655	-7.208
2015-09-09/14:30:00	2015-09-09/14:40:00	197.819	-1.503	-2.343	-7.277
2015-09-09/15:00:00	2015-09-09/15:10:00	189.484	-1.773	-1.27	-7.578
2015-09-09/17:25:00	2015-09-09/17:35:00	183.509	-0.892	-0.543	-8.837
2015-09-09/17:55:00	2015-09-09/18:05:00	192.612	-1.382	-1.897	-8.483
