Start_str	End_str	Clang_avg	Bx_avg(nT)
2017-09-01 18:50:00	2017-09-01 19:00:00	311.273	-4.432
2017-09-01 20:45:00	2017-09-01 20:55:00	279.942	-5.642
2017-09-01 22:40:00	2017-09-01 22:50:00	310.823	-5.735
2017-09-03 05:45:00	2017-09-03 05:55:00	309.26	-3.452
2017-09-06 23:00:00	2017-09-06 23:10:00	295.288	-0.32
2017-09-07 05:45:00	2017-09-07 05:55:00	284.95	4.395
2017-09-13 00:25:00	2017-09-13 00:35:00	297.479	-4.103
2017-09-13 02:50:00	2017-09-13 03:00:00	297.446	-1.958
2017-09-14 03:05:00	2017-09-14 03:15:00	277.553	1.678
2017-09-14 03:35:00	2017-09-14 03:45:00	277.182	3.398
2017-09-14 04:50:00	2017-09-14 05:00:00	249.596	3.915
2017-09-14 05:45:00	2017-09-14 05:55:00	254.819	3.667
2017-09-14 10:00:00	2017-09-14 10:10:00	266.903	3.632
2017-09-14 10:50:00	2017-09-14 11:00:00	271.202	3.71
2017-09-21 09:50:00	2017-09-21 10:00:00	282.566	-2.467
2017-09-24 20:20:00	2017-09-24 20:30:00	264.914	-0.455
2017-09-25 04:35:00	2017-09-25 04:45:00	254.046	-0.698
2017-09-25 07:35:00	2017-09-25 07:45:00	301.234	1.853
2017-09-25 09:45:00	2017-09-25 09:55:00	310.502	1.81
2017-09-25 12:45:00	2017-09-25 12:55:00	271.546	-0.603
2017-09-25 14:25:00	2017-09-25 14:35:00	266.785	-0.413
2017-09-25 14:55:00	2017-09-25 15:05:00	281.461	0.768
2017-09-25 15:35:00	2017-09-25 15:45:00	269.392	-0.833
2017-09-25 16:10:00	2017-09-25 16:20:00	265.502	0.703
2017-09-25 16:40:00	2017-09-25 16:50:00	267.724	1.33
2017-09-25 17:10:00	2017-09-25 17:20:00	259.726	1.52
2017-09-25 17:40:00	2017-09-25 17:50:00	246.859	1.73
2017-09-25 18:10:00	2017-09-25 18:20:00	274.143	0.992
2017-09-26 15:30:00	2017-09-26 15:40:00	267.204	1.185
