Start_str	End_str	Clang_avg	Bx_avg(nT)
2019-09-17 07:30:00	2019-09-17 07:40:00	284.799	-0.28
2019-09-17 15:15:00	2019-09-17 15:25:00	294.556	2.822
2019-09-17 15:45:00	2019-09-17 15:55:00	294.403	2.95
2019-09-17 16:40:00	2019-09-17 16:50:00	235.839	3.665
2019-09-20 09:50:00	2019-09-20 10:00:00	251.279	-1.085
2019-09-23 18:35:00	2019-09-23 18:45:00	270.937	1.752
2019-09-23 19:15:00	2019-09-23 19:25:00	306.652	1.94
2019-09-23 19:45:00	2019-09-23 19:55:00	308.62	1.105
2019-09-27 10:10:00	2019-09-27 10:20:00	295.683	4.735
2019-10-14 15:20:00	2019-10-14 15:30:00	240.77	1.73
2019-10-14 17:15:00	2019-10-14 17:25:00	267.862	0.49
2019-10-14 17:45:00	2019-10-14 17:55:00	271.275	0.287
2019-10-14 18:15:00	2019-10-14 18:25:00	259.61	-0.757
2019-10-14 19:55:00	2019-10-14 20:05:00	244.144	-2.017
2019-10-14 20:25:00	2019-10-14 20:35:00	256.781	-0.683
2019-10-14 20:55:00	2019-10-14 21:05:00	257.909	0.242
2019-10-14 23:00:00	2019-10-14 23:10:00	289.591	2.002
2019-10-14 23:30:00	2019-10-14 23:40:00	306.961	1.43
2019-10-15 03:25:00	2019-10-15 03:35:00	305.805	0.295
2019-10-15 19:20:00	2019-10-15 19:30:00	310.012	-1.46
2019-10-19 06:45:00	2019-10-19 06:55:00	278.358	1.872
2019-10-22 16:30:00	2019-10-22 16:40:00	254.371	1.465
2019-10-22 22:20:00	2019-10-22 22:30:00	287.81	0.758
2019-10-29 22:25:00	2019-10-29 22:35:00	290.901	-1.275
2019-10-29 22:55:00	2019-10-29 23:05:00	293.589	-0.913
2019-10-29 23:25:00	2019-10-29 23:35:00	289.378	-0.683
2019-10-29 23:55:00	2019-10-30 00:05:00	290.224	-1.128
2019-10-30 00:35:00	2019-10-30 00:45:00	296.571	0.502
2019-10-30 01:05:00	2019-10-30 01:15:00	291.947	0.272
2019-10-30 01:35:00	2019-10-30 01:45:00	299.29	-0.057
2019-10-30 02:05:00	2019-10-30 02:15:00	290.11	1.05
2019-10-30 02:40:00	2019-10-30 02:50:00	290.77	1.148
2019-10-30 06:10:00	2019-10-30 06:20:00	277.069	-1.545
2019-11-01 03:35:00	2019-11-01 03:45:00	289.727	3.603
2019-11-01 04:05:00	2019-11-01 04:15:00	299.696	4.167
2019-11-01 14:15:00	2019-11-01 14:25:00	293.711	2.643
2019-11-01 14:45:00	2019-11-01 14:55:00	287.909	3.033
2019-11-01 15:20:00	2019-11-01 15:30:00	294.709	2.175
2019-11-01 16:50:00	2019-11-01 17:00:00	271.09	-1.487
2019-11-01 17:55:00	2019-11-01 18:05:00	304.67	0.938
2019-11-01 18:35:00	2019-11-01 18:45:00	306.207	1.895
2019-11-01 19:35:00	2019-11-01 19:45:00	283.57	3.133
2019-11-01 20:05:00	2019-11-01 20:15:00	281.431	2.547
2019-11-01 21:00:00	2019-11-01 21:10:00	309.891	1.975
2019-11-02 08:25:00	2019-11-02 08:35:00	303.853	0.733
2019-11-02 08:55:00	2019-11-02 09:05:00	314.596	0.88
2019-11-02 09:55:00	2019-11-02 10:05:00	300.242	-0.452
2019-11-02 10:25:00	2019-11-02 10:35:00	296.372	-0.248
2019-11-02 10:55:00	2019-11-02 11:05:00	296.571	-0.615
2019-11-02 11:25:00	2019-11-02 11:35:00	297.937	-1.017
2019-11-02 11:55:00	2019-11-02 12:05:00	300.501	-1.593
2019-11-02 12:25:00	2019-11-02 12:35:00	305.127	-1.403
2019-11-02 12:55:00	2019-11-02 13:05:00	312.65	-1.103
2019-11-02 18:05:00	2019-11-02 18:15:00	300.334	3.1
2019-11-02 18:40:00	2019-11-02 18:50:00	260.651	2.99
2019-11-02 20:50:00	2019-11-02 21:00:00	269.0	1.052
2019-11-08 04:20:00	2019-11-08 04:30:00	285.388	-2.947
2019-11-11 15:20:00	2019-11-11 15:30:00	236.934	-0.145
2019-11-11 22:10:00	2019-11-11 22:20:00	275.11	2.038
2019-11-11 22:40:00	2019-11-11 22:50:00	276.707	2.473
2019-11-12 00:15:00	2019-11-12 00:25:00	267.851	1.233
2019-11-18 17:00:00	2019-11-18 17:10:00	276.893	1.562
2019-11-18 20:10:00	2019-11-18 20:20:00	291.211	0.492
2019-11-18 20:40:00	2019-11-18 20:50:00	297.778	1.657
2019-11-18 21:20:00	2019-11-18 21:30:00	268.332	0.207
2019-11-19 00:05:00	2019-11-19 00:15:00	289.517	1.338
2019-11-19 00:35:00	2019-11-19 00:45:00	278.784	-0.557
2019-11-19 06:40:00	2019-11-19 06:50:00	311.271	1.455
2019-11-19 07:10:00	2019-11-19 07:20:00	303.285	0.473
2019-11-19 07:40:00	2019-11-19 07:50:00	309.423	0.2
2019-11-19 08:40:00	2019-11-19 08:50:00	307.766	0.748
2019-11-19 09:35:00	2019-11-19 09:45:00	279.3	2.168
2019-11-19 21:50:00	2019-11-19 22:00:00	297.08	0.96
2019-11-19 22:45:00	2019-11-19 22:55:00	271.866	1.257
2019-11-19 23:50:00	2019-11-20 00:00:00	295.015	1.717
2019-11-20 00:30:00	2019-11-20 00:40:00	272.098	0.31
2019-11-20 02:05:00	2019-11-20 02:15:00	237.56	1.682
2019-11-22 08:20:00	2019-11-22 08:30:00	288.079	-3.403
2019-12-07 04:00:00	2019-12-07 04:10:00	277.441	1.182
2019-12-07 05:35:00	2019-12-07 05:45:00	298.686	3.047
2019-12-07 06:05:00	2019-12-07 06:15:00	270.801	1.785
2019-12-07 07:55:00	2019-12-07 08:05:00	261.925	-0.632
2019-12-07 08:25:00	2019-12-07 08:35:00	273.011	-0.91
2019-12-07 09:00:00	2019-12-07 09:10:00	259.531	-0.403
2019-12-07 11:40:00	2019-12-07 11:50:00	264.841	1.005
2019-12-07 20:15:00	2019-12-07 20:25:00	259.163	2.25
2019-12-09 15:30:00	2019-12-09 15:40:00	308.595	3.195
2019-12-09 18:30:00	2019-12-09 18:40:00	277.473	2.933
2019-12-10 00:05:00	2019-12-10 00:15:00	312.301	4.16
2019-12-10 15:50:00	2019-12-10 16:00:00	302.734	1.708
2019-12-11 08:25:00	2019-12-11 08:35:00	290.471	2.143
2019-12-11 09:50:00	2019-12-11 10:00:00	313.832	5.085
2019-12-13 08:35:00	2019-12-13 08:45:00	268.326	1.123
2019-12-13 12:10:00	2019-12-13 12:20:00	271.719	2.65
2019-12-13 12:45:00	2019-12-13 12:55:00	259.924	2.335
2019-12-13 14:35:00	2019-12-13 14:45:00	270.014	2.003
2019-12-14 03:50:00	2019-12-14 04:00:00	313.506	5.417
2019-12-14 10:15:00	2019-12-14 10:25:00	301.206	3.92
2019-12-14 10:45:00	2019-12-14 10:55:00	295.294	3.37
2019-12-14 16:00:00	2019-12-14 16:10:00	308.626	5.237
2019-12-14 17:55:00	2019-12-14 18:05:00	287.455	4.13
2019-12-14 21:15:00	2019-12-14 21:25:00	279.475	3.978
2019-12-14 21:50:00	2019-12-14 22:00:00	274.348	4.035
2019-12-16 15:50:00	2019-12-16 16:00:00	245.194	1.852
2019-12-16 16:20:00	2019-12-16 16:30:00	270.508	1.553
2019-12-16 16:50:00	2019-12-16 17:00:00	275.869	1.295
2019-12-16 17:30:00	2019-12-16 17:40:00	245.279	-1.263
2019-12-16 18:00:00	2019-12-16 18:10:00	256.202	-0.59
2019-12-16 18:30:00	2019-12-16 18:40:00	254.176	0.848
2019-12-17 22:00:00	2019-12-17 22:10:00	314.879	1.695
2019-12-27 03:55:00	2019-12-27 04:05:00	254.112	-1.598
2019-12-27 07:30:00	2019-12-27 07:40:00	246.112	-1.743
2019-12-27 08:00:00	2019-12-27 08:10:00	259.762	-1.57
2019-12-27 08:30:00	2019-12-27 08:40:00	277.003	-0.227
2019-12-27 14:35:00	2019-12-27 14:45:00	298.993	1.882
2019-12-27 15:05:00	2019-12-27 15:15:00	279.925	-1.163
2019-12-27 16:10:00	2019-12-27 16:20:00	283.204	-0.85
2019-12-27 16:40:00	2019-12-27 16:50:00	278.456	-1.4
2019-12-27 17:15:00	2019-12-27 17:25:00	257.661	-0.582
2019-12-27 17:45:00	2019-12-27 17:55:00	271.201	-1.547
2019-12-27 18:15:00	2019-12-27 18:25:00	312.292	-1.527
2019-12-27 20:15:00	2019-12-27 20:25:00	296.965	-0.835
2019-12-27 20:45:00	2019-12-27 20:55:00	309.366	-1.043
2019-12-27 21:40:00	2019-12-27 21:50:00	271.135	-2.733
2019-12-28 06:00:00	2019-12-28 06:10:00	292.714	1.398
2019-12-28 06:30:00	2019-12-28 06:40:00	278.249	0.725
2019-12-28 09:40:00	2019-12-28 09:50:00	280.454	-1.293
2019-12-28 12:15:00	2019-12-28 12:25:00	289.028	-1.5
2019-12-28 12:45:00	2019-12-28 12:55:00	279.694	-1.197
2019-12-28 13:20:00	2019-12-28 13:30:00	285.133	-0.267
2019-12-28 13:50:00	2019-12-28 14:00:00	278.438	0.943
2019-12-28 14:20:00	2019-12-28 14:30:00	288.221	2.007
2019-12-28 14:50:00	2019-12-28 15:00:00	290.154	1.793
2019-12-28 15:20:00	2019-12-28 15:30:00	304.3	2.53
2019-12-28 21:00:00	2019-12-28 21:10:00	284.678	-2.583
2019-12-28 21:30:00	2019-12-28 21:40:00	272.834	-1.9
2019-12-28 22:00:00	2019-12-28 22:10:00	276.674	-1.782
2019-12-30 16:15:00	2019-12-30 16:25:00	289.774	0.763
2019-12-30 20:30:00	2019-12-30 20:40:00	286.676	1.585
2019-12-30 21:00:00	2019-12-30 21:10:00	299.577	2.368
2019-12-31 06:40:00	2019-12-31 06:50:00	251.043	2.247
2020-01-01 03:45:00	2020-01-01 03:55:00	231.767	3.423
2020-01-01 05:45:00	2020-01-01 05:55:00	304.965	3.625
2020-01-01 06:25:00	2020-01-01 06:35:00	257.198	3.137
2020-01-01 06:55:00	2020-01-01 07:05:00	241.849	2.875
2020-01-03 15:25:00	2020-01-03 15:35:00	261.916	0.66
2020-01-04 10:25:00	2020-01-04 10:35:00	261.295	0.333
2020-01-04 10:55:00	2020-01-04 11:05:00	248.273	0.792
2020-01-04 11:25:00	2020-01-04 11:35:00	241.972	1.068
2020-01-04 11:55:00	2020-01-04 12:05:00	242.899	1.32
2020-01-04 12:25:00	2020-01-04 12:35:00	248.378	-0.233
2020-01-04 12:55:00	2020-01-04 13:05:00	248.864	-0.103
2020-01-04 14:00:00	2020-01-04 14:10:00	247.31	-0.767
2020-01-04 15:00:00	2020-01-04 15:10:00	234.626	0.505
2020-01-04 15:30:00	2020-01-04 15:40:00	233.621	0.183
2020-01-07 17:50:00	2020-01-07 18:00:00	244.69	2.878
2020-01-07 18:20:00	2020-01-07 18:30:00	226.933	2.583
2020-01-07 18:55:00	2020-01-07 19:05:00	227.516	2.125
2020-01-07 20:40:00	2020-01-07 20:50:00	237.52	-0.682
2020-01-07 21:20:00	2020-01-07 21:30:00	227.572	-1.84
2020-01-08 00:00:00	2020-01-08 00:10:00	239.278	2.232
2020-01-08 02:50:00	2020-01-08 03:00:00	265.557	0.09
2020-01-08 03:35:00	2020-01-08 03:45:00	243.179	1.235
2020-01-10 11:10:00	2020-01-10 11:20:00	267.764	0.733
2020-01-10 18:55:00	2020-01-10 19:05:00	240.35	1.498
2020-01-11 06:40:00	2020-01-11 06:50:00	291.757	4.4
2020-01-11 10:45:00	2020-01-11 10:55:00	293.706	2.762
2020-01-11 11:50:00	2020-01-11 12:00:00	305.636	2.717
2020-01-11 12:25:00	2020-01-11 12:35:00	301.752	0.19
2020-01-11 12:55:00	2020-01-11 13:05:00	293.711	-0.258
2020-01-11 13:35:00	2020-01-11 13:45:00	295.349	0.853
2020-01-11 15:35:00	2020-01-11 15:45:00	292.878	-2.837
2020-01-20 19:40:00	2020-01-20 19:50:00	227.076	0.407
2020-01-20 20:50:00	2020-01-20 21:00:00	265.201	0.77
2020-01-20 21:20:00	2020-01-20 21:30:00	258.349	0.872
2020-01-20 21:50:00	2020-01-20 22:00:00	256.184	1.082
2020-01-20 22:20:00	2020-01-20 22:30:00	252.842	1.222
2020-01-20 23:00:00	2020-01-20 23:10:00	234.769	1.313
2020-01-21 01:10:00	2020-01-21 01:20:00	240.628	0.572
2020-01-21 01:50:00	2020-01-21 02:00:00	237.816	0.648
2020-01-24 04:55:00	2020-01-24 05:05:00	250.806	1.377
2020-01-24 05:40:00	2020-01-24 05:50:00	263.95	1.492
2020-01-24 06:10:00	2020-01-24 06:20:00	273.731	1.152
2020-01-24 07:10:00	2020-01-24 07:20:00	279.884	-0.605
2020-01-24 07:40:00	2020-01-24 07:50:00	265.075	-0.42
2020-01-24 08:10:00	2020-01-24 08:20:00	275.071	-0.462
2020-01-24 08:40:00	2020-01-24 08:50:00	260.678	0.437
2020-01-24 09:10:00	2020-01-24 09:20:00	266.431	0.83
2020-01-24 09:55:00	2020-01-24 10:05:00	274.09	-0.338
2020-01-24 10:25:00	2020-01-24 10:35:00	275.586	-0.105
2020-01-24 11:15:00	2020-01-24 11:25:00	261.908	-0.485
2020-01-24 11:45:00	2020-01-24 11:55:00	241.222	-0.557
2020-01-24 13:10:00	2020-01-24 13:20:00	271.144	-1.68
2020-01-24 17:45:00	2020-01-24 17:55:00	277.168	-1.322
2020-01-25 05:20:00	2020-01-25 05:30:00	263.632	-4.072
2020-01-25 06:20:00	2020-01-25 06:30:00	289.3	-1.903
2020-01-25 07:30:00	2020-01-25 07:40:00	269.381	-2.993
2020-01-25 08:25:00	2020-01-25 08:35:00	281.344	-3.288
2020-01-25 08:55:00	2020-01-25 09:05:00	269.83	-2.917
2020-01-27 17:45:00	2020-01-27 17:55:00	298.811	3.203
2020-01-27 18:15:00	2020-01-27 18:25:00	312.127	3.267
2020-01-27 23:10:00	2020-01-27 23:20:00	225.271	1.858
2020-01-28 01:35:00	2020-01-28 01:45:00	231.039	0.178
2020-01-28 02:30:00	2020-01-28 02:40:00	225.81	0.518
2020-01-28 09:15:00	2020-01-28 09:25:00	298.862	2.035
2020-01-28 10:05:00	2020-01-28 10:15:00	308.499	1.945
2020-01-28 17:20:00	2020-01-28 17:30:00	242.145	0.598
