Start_trang	End_trang	Clang_avg	Bx_avg(nT)
2018-09-01/01:35:00	2018-09-01/01:45:00	284.177	-3.255
2018-09-01/04:00:00	2018-09-01/04:10:00	312.375	-2.53
2018-09-02/09:15:00	2018-09-02/09:25:00	308.625	1.515
2018-09-02/09:45:00	2018-09-02/09:55:00	313.785	1.79
2018-09-02/11:45:00	2018-09-02/11:55:00	302.135	1.747
2018-09-02/12:15:00	2018-09-02/12:25:00	305.265	2.21
2018-09-02/13:15:00	2018-09-02/13:25:00	272.441	2.028
2018-09-02/13:45:00	2018-09-02/13:55:00	279.607	1.188
2018-09-02/14:30:00	2018-09-02/14:40:00	259.472	2.063
2018-09-02/15:30:00	2018-09-02/15:40:00	230.807	2.015
2018-09-03/04:50:00	2018-09-03/05:00:00	295.615	1.872
2018-09-03/12:45:00	2018-09-03/12:55:00	276.82	-0.623
2018-09-03/15:50:00	2018-09-03/16:00:00	231.894	4.18
2018-09-05/21:00:00	2018-09-05/21:10:00	275.868	3.353
2018-09-05/21:30:00	2018-09-05/21:40:00	282.102	3.297
2018-09-07/22:35:00	2018-09-07/22:45:00	267.447	2.208
2018-09-08/09:50:00	2018-09-08/10:00:00	297.147	1.833
2018-09-08/18:35:00	2018-09-08/18:45:00	271.183	-1.725
2018-09-08/19:05:00	2018-09-08/19:15:00	282.658	-0.78
2018-09-08/19:35:00	2018-09-08/19:45:00	286.865	-0.805
2018-09-09/09:15:00	2018-09-09/09:25:00	303.809	-2.09
2018-09-09/09:45:00	2018-09-09/09:55:00	307.855	-1.097
2018-09-12/07:15:00	2018-09-12/07:25:00	303.356	-3.583
2018-09-17/14:55:00	2018-09-17/15:05:00	308.188	3.258
2018-09-17/15:25:00	2018-09-17/15:35:00	313.826	4.428
2018-09-17/15:55:00	2018-09-17/16:05:00	314.757	5.632
2018-09-18/01:55:00	2018-09-18/02:05:00	313.139	2.94
2018-09-19/06:25:00	2018-09-19/06:35:00	269.669	-0.98
2018-09-19/10:00:00	2018-09-19/10:10:00	226.154	3.665
2018-09-19/10:35:00	2018-09-19/10:45:00	258.025	3.423
2018-09-19/11:05:00	2018-09-19/11:15:00	267.664	3.738
2018-09-19/13:15:00	2018-09-19/13:25:00	290.573	3.835
2018-09-19/14:40:00	2018-09-19/14:50:00	260.958	3.895
2018-09-19/15:25:00	2018-09-19/15:35:00	281.59	3.742
2018-09-19/20:50:00	2018-09-19/21:00:00	296.052	-2.947
2018-09-19/21:50:00	2018-09-19/22:00:00	302.482	-1.58
2018-09-19/22:20:00	2018-09-19/22:30:00	302.483	-1.302
2018-09-20/08:10:00	2018-09-20/08:20:00	237.28	2.825
2018-09-20/08:55:00	2018-09-20/09:05:00	297.476	-0.068
2018-09-20/12:25:00	2018-09-20/12:35:00	276.928	1.365
2018-09-20/12:55:00	2018-09-20/13:05:00	275.695	1.493
2018-09-20/13:25:00	2018-09-20/13:35:00	277.6	0.898
2018-09-20/15:05:00	2018-09-20/15:15:00	312.751	1.063
2018-09-20/21:40:00	2018-09-20/21:50:00	311.606	-1.103
2018-09-20/22:10:00	2018-09-20/22:20:00	302.685	-0.348
