Start_str	End_str	Clang_avg	Bx_avg(nT)
2015-09-03 00:00:00	2015-09-03 00:10:00	106.564	-5.7
2015-09-03 00:30:00	2015-09-03 00:40:00	115.474	-5.85
2015-09-03 01:00:00	2015-09-03 01:10:00	115.653	-5.965
2015-09-03 01:30:00	2015-09-03 01:40:00	132.717	-6.372
2015-09-03 08:15:00	2015-09-03 08:25:00	103.138	-4.532
2015-09-03 09:05:00	2015-09-03 09:15:00	105.54	-4.672
2015-09-03 15:25:00	2015-09-03 15:35:00	104.813	-1.303
2015-09-03 16:20:00	2015-09-03 16:30:00	67.014	-0.125
2015-09-03 16:50:00	2015-09-03 17:00:00	72.993	2.4
2015-09-03 17:45:00	2015-09-03 17:55:00	89.431	-2.748
2015-09-04 20:20:00	2015-09-04 20:30:00	66.419	-3.162
2015-09-04 20:50:00	2015-09-04 21:00:00	73.896	-3.455
2015-09-04 22:05:00	2015-09-04 22:15:00	105.345	-1.415
2015-09-04 23:45:00	2015-09-04 23:55:00	70.046	0.705
2015-09-05 00:15:00	2015-09-05 00:25:00	90.168	-0.962
2015-09-05 01:15:00	2015-09-05 01:25:00	86.829	-1.333
2015-09-05 11:40:00	2015-09-05 11:50:00	114.99	-4.197
2015-09-05 15:50:00	2015-09-05 16:00:00	118.608	-1.828
2015-09-06 00:20:00	2015-09-06 00:30:00	75.464	-1.815
2015-09-06 07:40:00	2015-09-06 07:50:00	49.018	-3.127
2015-09-06 11:55:00	2015-09-06 12:05:00	106.789	-0.24
2015-09-06 13:25:00	2015-09-06 13:35:00	108.298	-1.14
2015-09-06 16:20:00	2015-09-06 16:30:00	70.262	-4.537
2015-09-06 21:25:00	2015-09-06 21:35:00	46.055	-2.137
2015-09-06 23:35:00	2015-09-06 23:45:00	62.614	-5.318
2015-09-07 00:20:00	2015-09-07 00:30:00	68.943	-4.442
2015-09-07 16:30:00	2015-09-07 16:40:00	130.728	-1.743
2015-09-07 21:05:00	2015-09-07 21:15:00	134.536	0.407
2015-09-07 22:20:00	2015-09-07 22:30:00	132.466	0.885
2015-09-07 22:50:00	2015-09-07 23:00:00	134.593	0.358
2015-09-08 15:40:00	2015-09-08 15:50:00	68.287	13.675
2015-09-08 16:10:00	2015-09-08 16:20:00	64.78	13.322
