Start_trang	End_trang	Clang_avg	Bx_avg(nT)
2016-09-01/00:15:00	2016-09-01/00:25:00	125.972	-1.455
2016-09-01/01:45:00	2016-09-01/01:55:00	114.728	2.997
2016-09-01/02:35:00	2016-09-01/02:45:00	130.911	0.97
2016-09-01/03:05:00	2016-09-01/03:15:00	125.613	-0.468
2016-09-01/03:35:00	2016-09-01/03:45:00	127.537	-3.1
2016-09-01/07:25:00	2016-09-01/07:35:00	129.369	-4.828
2016-09-02/14:10:00	2016-09-02/14:20:00	119.274	-4.028
2016-09-02/19:40:00	2016-09-02/19:50:00	95.515	-4.397
2016-09-02/23:20:00	2016-09-02/23:30:00	103.947	-4.47
2016-09-03/00:00:00	2016-09-03/00:10:00	97.663	-4.047
2016-09-03/01:05:00	2016-09-03/01:15:00	133.93	-4.92
2016-09-04/00:30:00	2016-09-04/00:40:00	98.729	-3.54
2016-09-05/01:05:00	2016-09-05/01:15:00	88.245	-3.383
2016-09-05/15:55:00	2016-09-05/16:05:00	119.996	1.815
2016-09-05/16:25:00	2016-09-05/16:35:00	111.376	1.127
2016-09-05/16:55:00	2016-09-05/17:05:00	116.261	0.163
2016-09-05/17:40:00	2016-09-05/17:50:00	129.319	-0.215
2016-09-05/18:25:00	2016-09-05/18:35:00	130.943	-1.492
2016-09-05/20:35:00	2016-09-05/20:45:00	71.133	-3.792
2016-09-05/21:15:00	2016-09-05/21:25:00	89.144	-3.635
2016-09-06/00:05:00	2016-09-06/00:15:00	51.912	-4.912
2016-09-06/14:20:00	2016-09-06/14:30:00	56.998	-4.092
2016-09-06/20:40:00	2016-09-06/20:50:00	88.067	-1.775
2016-09-07/00:10:00	2016-09-07/00:20:00	112.548	-3.977
2016-09-07/00:45:00	2016-09-07/00:55:00	69.687	-3.948
2016-09-07/01:15:00	2016-09-07/01:25:00	58.771	-3.928
2016-09-07/02:55:00	2016-09-07/03:05:00	113.151	-2.292
2016-09-07/03:30:00	2016-09-07/03:40:00	89.4	-3.065
2016-09-07/22:20:00	2016-09-07/22:30:00	86.404	-4.188
2016-09-07/22:50:00	2016-09-07/23:00:00	112.851	-3.537
2016-09-07/23:20:00	2016-09-07/23:30:00	128.119	-2.082
2016-09-09/00:45:00	2016-09-09/00:55:00	85.797	2.162
2016-09-09/01:15:00	2016-09-09/01:25:00	81.292	1.56
2016-09-09/05:35:00	2016-09-09/05:45:00	79.187	-1.573
2016-09-09/06:15:00	2016-09-09/06:25:00	101.494	-3.09
2016-09-09/13:55:00	2016-09-09/14:05:00	50.475	-2.857
2016-09-09/14:30:00	2016-09-09/14:40:00	88.538	-2.917
2016-09-09/15:00:00	2016-09-09/15:10:00	94.611	-2.697
2016-09-09/16:15:00	2016-09-09/16:25:00	113.067	-2.532
2016-09-09/17:15:00	2016-09-09/17:25:00	104.479	-1.052
2016-09-09/17:45:00	2016-09-09/17:55:00	99.071	-1.037
2016-09-09/19:50:00	2016-09-09/20:00:00	79.552	-2.113
2016-09-09/20:50:00	2016-09-09/21:00:00	75.119	-3.368
2016-09-09/21:50:00	2016-09-09/22:00:00	71.359	-1.03
2016-09-09/23:25:00	2016-09-09/23:35:00	87.789	-1.027
2016-09-10/00:25:00	2016-09-10/00:35:00	115.943	1.478
2016-09-10/00:55:00	2016-09-10/01:05:00	100.171	1.852
2016-09-10/01:45:00	2016-09-10/01:55:00	98.718	1.202
2016-09-10/02:15:00	2016-09-10/02:25:00	79.449	0.555
2016-09-10/04:15:00	2016-09-10/04:25:00	131.557	2.075
2016-09-10/04:45:00	2016-09-10/04:55:00	113.155	2.382
2016-09-10/05:20:00	2016-09-10/05:30:00	88.205	-1.507
2016-09-10/06:15:00	2016-09-10/06:25:00	96.58	0.668
2016-09-10/06:45:00	2016-09-10/06:55:00	84.917	0.01
2016-09-10/13:10:00	2016-09-10/13:20:00	83.666	-1.653
2016-09-10/13:40:00	2016-09-10/13:50:00	56.046	-1.745
2016-09-10/14:50:00	2016-09-10/15:00:00	87.499	-1.733
2016-09-10/15:25:00	2016-09-10/15:35:00	57.864	-2.468
2016-09-10/17:30:00	2016-09-10/17:40:00	93.231	-1.6
2016-09-11/00:00:00	2016-09-11/00:10:00	120.769	0.648
2016-09-11/02:50:00	2016-09-11/03:00:00	115.429	-0.273
2016-09-11/04:30:00	2016-09-11/04:40:00	115.937	-1.042
2016-09-11/05:00:00	2016-09-11/05:10:00	104.665	-1.22
2016-09-13/12:50:00	2016-09-13/13:00:00	129.837	-0.153
2016-09-13/13:40:00	2016-09-13/13:50:00	120.961	-0.343
