Start_trang	End_trang	Clang_avg	Bx_avg(nT)
2019-09-03/18:45:00	2019-09-03/18:55:00	116.989	-1.707
2019-09-04/02:35:00	2019-09-04/02:45:00	58.58	-3.357
2019-09-04/07:25:00	2019-09-04/07:35:00	120.947	-0.945
2019-09-06/04:00:00	2019-09-06/04:10:00	120.439	-0.725
2019-09-06/07:20:00	2019-09-06/07:30:00	120.254	-1.058
2019-09-06/12:05:00	2019-09-06/12:15:00	103.863	-5.103
2019-09-06/12:35:00	2019-09-06/12:45:00	79.215	-5.418
2019-09-06/16:45:00	2019-09-06/16:55:00	110.755	-4.202
2019-09-06/17:15:00	2019-09-06/17:25:00	113.54	-3.113
2019-09-06/17:45:00	2019-09-06/17:55:00	108.185	-3.325
2019-09-07/04:25:00	2019-09-07/04:35:00	93.742	-4.7
2019-09-07/05:15:00	2019-09-07/05:25:00	54.3	-3.997
2019-09-07/12:05:00	2019-09-07/12:15:00	85.981	-3.272
2019-09-07/15:35:00	2019-09-07/15:45:00	56.477	-0.087
2019-09-07/19:00:00	2019-09-07/19:10:00	105.325	-1.363
2019-09-07/19:30:00	2019-09-07/19:40:00	110.259	-2.668
2019-09-10/07:20:00	2019-09-10/07:30:00	55.277	-5.118
2019-09-10/07:50:00	2019-09-10/08:00:00	82.03	-5.278
2019-09-11/00:40:00	2019-09-11/00:50:00	54.622	-4.173
2019-09-11/01:10:00	2019-09-11/01:20:00	57.063	-4.285
2019-09-11/07:20:00	2019-09-11/07:30:00	118.024	-2.853
2019-09-13/08:15:00	2019-09-13/08:25:00	51.118	-6.55
2019-09-13/18:30:00	2019-09-13/18:40:00	122.358	-3.955
2019-09-14/18:35:00	2019-09-14/18:45:00	102.29	-0.468
2019-09-14/19:25:00	2019-09-14/19:35:00	109.979	-1.825
2019-09-16/20:00:00	2019-09-16/20:10:00	116.044	-3.262
2019-09-16/20:30:00	2019-09-16/20:40:00	116.178	-3.423
2019-09-16/21:55:00	2019-09-16/22:05:00	78.945	-2.692
2019-09-16/23:10:00	2019-09-16/23:20:00	96.828	-3.525
2019-09-16/23:40:00	2019-09-16/23:50:00	112.446	-3.14
2019-09-17/23:20:00	2019-09-17/23:30:00	65.49	-2.917
2019-09-20/19:55:00	2019-09-20/20:05:00	107.45	-2.238
2019-09-21/12:15:00	2019-09-21/12:25:00	84.154	-1.052
2019-09-21/12:55:00	2019-09-21/13:05:00	109.993	0.282
2019-09-21/13:35:00	2019-09-21/13:45:00	105.623	0.892
2019-09-21/20:50:00	2019-09-21/21:00:00	129.993	-0.22
2019-09-27/16:45:00	2019-09-27/16:55:00	93.397	-4.56
2019-09-27/17:15:00	2019-09-27/17:25:00	105.288	-6.615
2019-09-27/17:45:00	2019-09-27/17:55:00	108.848	-7.262
2019-09-27/18:15:00	2019-09-27/18:25:00	120.599	-8.255
2019-09-28/03:00:00	2019-09-28/03:10:00	110.731	-1.385
2019-09-28/06:10:00	2019-09-28/06:20:00	125.23	-4.757
2019-09-30/16:50:00	2019-09-30/17:00:00	81.275	-2.318
2019-09-30/21:45:00	2019-09-30/21:55:00	99.493	-3.01
2019-09-30/22:15:00	2019-09-30/22:25:00	70.497	-3.777
2019-10-01/02:05:00	2019-10-01/02:15:00	134.512	-1.655
2019-10-01/06:25:00	2019-10-01/06:35:00	126.247	-0.905
2019-10-01/07:05:00	2019-10-01/07:15:00	84.647	-1.475
2019-10-01/20:35:00	2019-10-01/20:45:00	132.205	-3.06
2019-10-01/23:25:00	2019-10-01/23:35:00	114.778	0.438
2019-10-05/11:35:00	2019-10-05/11:45:00	107.203	-2.7
2019-10-05/12:05:00	2019-10-05/12:15:00	107.91	-1.662
2019-10-08/02:20:00	2019-10-08/02:30:00	121.14	2.965
2019-10-08/06:55:00	2019-10-08/07:05:00	106.659	-2.797
2019-10-09/00:40:00	2019-10-09/00:50:00	109.491	1.283
2019-10-09/03:10:00	2019-10-09/03:20:00	89.204	-0.967
2019-10-09/03:40:00	2019-10-09/03:50:00	112.572	-0.883
2019-10-09/04:10:00	2019-10-09/04:20:00	89.976	-1.247
2019-10-09/04:40:00	2019-10-09/04:50:00	116.601	-0.755
2019-10-09/06:05:00	2019-10-09/06:15:00	129.48	0.225
2019-10-11/09:25:00	2019-10-11/09:35:00	102.986	-4.197
2019-10-11/10:00:00	2019-10-11/10:10:00	68.546	-4.123
2019-10-11/10:40:00	2019-10-11/10:50:00	72.423	-3.86
2019-10-11/15:50:00	2019-10-11/16:00:00	49.652	-3.233
2019-10-11/19:50:00	2019-10-11/20:00:00	86.783	-3.267
2019-10-11/20:40:00	2019-10-11/20:50:00	114.341	-2.97
2019-10-12/03:20:00	2019-10-12/03:30:00	105.19	-1.45
2019-10-12/06:10:00	2019-10-12/06:20:00	115.366	-2.783
2019-10-12/07:20:00	2019-10-12/07:30:00	126.809	0.117
2019-10-12/08:25:00	2019-10-12/08:35:00	110.266	-1.248
2019-10-12/08:55:00	2019-10-12/09:05:00	87.91	-3.223
2019-10-12/09:25:00	2019-10-12/09:35:00	117.342	-2.817
2019-10-12/12:20:00	2019-10-12/12:30:00	68.697	-2.983
2019-10-12/13:15:00	2019-10-12/13:25:00	53.935	-2.81
2019-10-12/13:45:00	2019-10-12/13:55:00	60.077	-2.608
2019-10-12/16:30:00	2019-10-12/16:40:00	61.529	-2.737
2019-10-12/17:00:00	2019-10-12/17:10:00	79.129	-3.327
2019-10-12/17:30:00	2019-10-12/17:40:00	85.014	-3.175
2019-10-12/18:15:00	2019-10-12/18:25:00	111.136	-1.842
2019-10-16/04:55:00	2019-10-16/05:05:00	131.334	-0.607
2019-10-18/04:50:00	2019-10-18/05:00:00	114.125	0.1
2019-10-18/05:20:00	2019-10-18/05:30:00	117.704	-0.338
2019-10-18/05:55:00	2019-10-18/06:05:00	106.724	0.293
2019-10-18/06:50:00	2019-10-18/07:00:00	118.518	-0.397
2019-10-18/07:30:00	2019-10-18/07:40:00	105.053	-3.413
2019-10-18/08:00:00	2019-10-18/08:10:00	102.999	-3.548
2019-10-18/09:05:00	2019-10-18/09:15:00	108.782	-3.417
2019-10-18/09:35:00	2019-10-18/09:45:00	93.426	-3.542
2019-10-18/15:40:00	2019-10-18/15:50:00	94.889	-3.67
2019-10-18/16:25:00	2019-10-18/16:35:00	90.107	-3.315
2019-10-18/16:55:00	2019-10-18/17:05:00	103.415	-3.253
2019-10-18/18:15:00	2019-10-18/18:25:00	77.511	-3.255
2019-10-18/18:45:00	2019-10-18/18:55:00	88.443	-1.933
2019-10-18/20:45:00	2019-10-18/20:55:00	121.325	-1.75
2019-10-25/09:15:00	2019-10-25/09:25:00	122.449	-2.843
2019-10-29/16:50:00	2019-10-29/17:00:00	127.191	-4.228
2019-11-01/05:10:00	2019-11-01/05:20:00	78.494	3.718
2019-11-01/05:45:00	2019-11-01/05:55:00	56.724	3.795
2019-11-01/06:25:00	2019-11-01/06:35:00	54.521	3.443
2019-11-04/15:55:00	2019-11-04/16:05:00	84.791	-0.882
2019-11-04/16:25:00	2019-11-04/16:35:00	71.602	-3.21
2019-11-05/00:45:00	2019-11-05/00:55:00	117.019	1.157
2019-11-05/18:50:00	2019-11-05/19:00:00	100.171	-1.162
2019-11-05/19:20:00	2019-11-05/19:30:00	96.551	-1.925
2019-11-05/21:35:00	2019-11-05/21:45:00	107.229	2.073
2019-11-05/22:05:00	2019-11-05/22:15:00	108.698	2.052
2019-11-06/00:25:00	2019-11-06/00:35:00	110.669	0.663
2019-11-06/01:10:00	2019-11-06/01:20:00	126.619	1.718
2019-11-06/03:35:00	2019-11-06/03:45:00	86.807	-3.202
2019-11-06/07:55:00	2019-11-06/08:05:00	86.119	-2.198
2019-11-08/12:40:00	2019-11-08/12:50:00	98.008	-3.823
2019-11-08/13:20:00	2019-11-08/13:30:00	108.047	-3.852
2019-11-08/13:50:00	2019-11-08/14:00:00	100.021	-3.908
