Start_str	End_str	Clang_avg	omniBxGSE_avg(nT)	omniByGSE_avg(nT)	omniBzGSE_avg(nT)	Shock_Ang(deg)	omniVsw_avg(km/s)
2015-09-01 00:25:00	2015-09-01 00:35:00	270.271	3.502	-3.098	-0.695	40.643	362.433
2015-09-01 08:55:00	2015-09-01 09:05:00	284.483	1.962	-4.507	-1.303	66.214	359.017
2015-09-01 10:05:00	2015-09-01 10:15:00	207.444	2.597	0.285	-4.15	61.588	354.95
2015-09-01 10:50:00	2015-09-01 11:00:00	260.121	3.143	-2.798	-2.588	51.278	351.183
2015-09-01 11:40:00	2015-09-01 11:50:00	199.455	4.862	0.427	-1.862	25.138	345.5
2015-09-01 12:45:00	2015-09-01 12:55:00	299.448	3.513	-4.352	-0.078	48.649	347.9
2015-09-01 13:35:00	2015-09-01 13:45:00	317.811	3.378	-4.243	1.425	49.912	351.383
2015-09-01 19:30:00	2015-09-01 19:40:00	251.441	3.822	-2.687	-1.81	40.651	362.967
2015-09-01 20:00:00	2015-09-01 20:10:00	265.987	3.642	-3.177	-1.057	41.906	360.1
2015-09-02 13:45:00	2015-09-02 13:55:00	289.894	3.627	-2.595	-0.412	35.103	394.883
2015-09-02 15:30:00	2015-09-02 15:40:00	324.618	4.805	-2.793	1.512	30.476	385.433
2015-09-03 00:00:00	2015-09-03 00:10:00	106.564	-5.7	4.53	-0.285	36.716	408.15
2015-09-03 00:30:00	2015-09-03 00:40:00	115.474	-5.85	3.585	-0.752	29.868	407.35
2015-09-03 01:00:00	2015-09-03 01:10:00	115.653	-5.965	3.62	-0.742	29.609	409.15
2015-09-03 01:30:00	2015-09-03 01:40:00	132.717	-6.372	2.735	-1.42	23.054	410.017
2015-09-03 08:15:00	2015-09-03 08:25:00	103.138	-4.532	3.323	1.002	36.905	426.967
2015-09-03 09:05:00	2015-09-03 09:15:00	105.54	-4.672	2.972	0.827	33.411	431.717
2015-09-03 10:55:00	2015-09-03 11:05:00	350.454	-4.203	-1.21	1.408	27.119	440.4
2015-09-03 15:25:00	2015-09-03 15:35:00	104.813	-1.303	6.26	1.215	77.653	425.7
2015-09-03 16:20:00	2015-09-03 16:30:00	67.014	-0.125	4.92	5.228	89.402	425.55
2015-09-03 16:50:00	2015-09-03 17:00:00	72.993	2.4	5.593	4.603	70.846	423.317
2015-09-03 17:45:00	2015-09-03 17:55:00	89.431	-2.748	6.237	2.318	67.577	423.667
2015-09-03 21:25:00	2015-09-03 21:35:00	309.224	0.765	-7.853	3.835	82.028	413.583
2015-09-04 20:20:00	2015-09-04 20:30:00	66.419	-3.162	3.393	2.69	55.311	485.05
2015-09-04 20:50:00	2015-09-04 21:00:00	73.896	-3.455	3.737	2.09	51.655	472.383
2015-09-04 22:05:00	2015-09-04 22:15:00	105.345	-1.415	5.955	-0.263	75.482	480.383
2015-09-04 23:45:00	2015-09-04 23:55:00	70.046	0.705	4.843	3.11	82.26	481.633
2015-09-05 00:15:00	2015-09-05 00:25:00	90.168	-0.962	5.782	1.362	80.435	471.933
2015-09-05 01:15:00	2015-09-05 01:25:00	86.829	-1.333	5.3	1.76	76.388	472.3
2015-09-05 11:40:00	2015-09-05 11:50:00	114.99	-4.197	3.178	0.395	36.721	449.467
2015-09-05 12:45:00	2015-09-05 12:55:00	138.909	-4.443	3.462	-1.105	37.015	450.517
2015-09-05 15:50:00	2015-09-05 16:00:00	118.608	-1.828	5.64	-0.347	70.564	464.933
2015-09-06 00:20:00	2015-09-06 00:30:00	75.464	-1.815	4.987	2.662	72.556	452.033
2015-09-06 07:40:00	2015-09-06 07:50:00	49.018	-3.127	2.208	5.91	66.177	444.933
2015-09-06 11:55:00	2015-09-06 12:05:00	106.789	-0.24	7.883	2.133	87.76	474.3
2015-09-06 13:25:00	2015-09-06 13:35:00	108.298	-1.14	7.767	1.637	81.202	466.9
2015-09-06 16:20:00	2015-09-06 16:30:00	70.262	-4.537	3.875	3.743	51.774	494.15
2015-09-06 21:25:00	2015-09-06 21:35:00	46.055	-2.137	3.498	5.425	74.289	489.6
2015-09-06 23:35:00	2015-09-06 23:45:00	62.614	-5.318	4.278	3.532	47.34	466.967
2015-09-07 00:20:00	2015-09-07 00:30:00	68.943	-4.442	5.087	3.573	55.387	474.167
2015-09-07 10:10:00	2015-09-07 10:20:00	302.859	-2.713	-5.968	-0.02	67.349	488.567
2015-09-07 16:30:00	2015-09-07 16:40:00	130.728	-1.743	9.797	-3.048	78.857	585.067
2015-09-07 18:00:00	2015-09-07 18:10:00	160.846	2.332	5.813	-7.21	78.866	599.35
2015-09-07 21:05:00	2015-09-07 21:15:00	134.536	0.407	7.14	-4.23	89.439	584.467
2015-09-07 21:35:00	2015-09-07 21:45:00	138.076	0.625	7.093	-4.872	88.347	581.55
2015-09-07 22:20:00	2015-09-07 22:30:00	132.466	0.885	7.795	-4.412	86.774	571.067
2015-09-07 22:50:00	2015-09-07 23:00:00	134.593	0.358	7.892	-4.852	89.77	564.217
2015-09-07 23:45:00	2015-09-07 23:55:00	142.195	-0.223	7.693	-6.197	85.871	557.183
2015-09-08 00:15:00	2015-09-08 00:25:00	150.184	-0.043	6.548	-6.847	86.829	555.433
2015-09-08 00:45:00	2015-09-08 00:55:00	148.022	0.017	7.062	-6.753	87.098	555.9
2015-09-08 15:40:00	2015-09-08 15:50:00	68.287	13.675	7.652	8.273	50.418	477.067
2015-09-08 16:10:00	2015-09-08 16:20:00	64.78	13.322	7.42	8.748	51.124	473.317
2015-09-08 16:40:00	2015-09-08 16:50:00	60.301	13.217	7.057	9.328	51.452	469.1
2015-09-08 17:10:00	2015-09-08 17:20:00	59.812	12.885	7.312	9.385	52.77	466.233
2015-09-09 07:20:00	2015-09-09 07:30:00	143.113	0.698	8.815	-4.023	89.872	422.35
2015-09-09 07:50:00	2015-09-09 08:00:00	172.209	1.232	6.142	-7.998	87.532	416.317
2015-09-09 08:20:00	2015-09-09 08:30:00	172.124	1.098	6.132	-7.742	88.172	415.883
2015-09-09 08:50:00	2015-09-09 09:00:00	169.917	1.607	6.258	-7.128	84.894	415.617
2015-09-09 09:20:00	2015-09-09 09:30:00	166.64	1.998	6.408	-6.375	82.041	414.583
2015-09-09 09:50:00	2015-09-09 10:00:00	166.093	2.157	6.37	-6.133	80.869	409.383
2015-09-09 10:20:00	2015-09-09 10:30:00	169.194	0.982	6.283	-6.68	88.499	407.6
2015-09-09 10:50:00	2015-09-09 11:00:00	177.76	0.242	5.112	-7.353	86.987	408.9
2015-09-09 11:20:00	2015-09-09 11:30:00	196.894	-0.63	2.368	-8.625	81.824	409.033
2015-09-09 12:30:00	2015-09-09 12:40:00	214.158	-0.892	-0.367	-8.277	80.561	404.767
2015-09-09 13:00:00	2015-09-09 13:10:00	199.623	-1.145	1.608	-8.035	78.029	404.933
2015-09-09 13:30:00	2015-09-09 13:40:00	203.599	-1.252	0.988	-8.245	77.604	403.333
2015-09-09 14:00:00	2015-09-09 14:10:00	200.222	-1.442	1.235	-7.582	75.449	407.983
2015-09-09 14:30:00	2015-09-09 14:40:00	197.819	-1.503	1.412	-7.513	74.929	409.217
2015-09-09 15:00:00	2015-09-09 15:10:00	189.484	-1.773	2.357	-7.313	72.816	419.15
2015-09-09 17:25:00	2015-09-09 17:35:00	183.509	-0.892	2.705	-8.43	80.001	414.017
2015-09-09 17:55:00	2015-09-09 18:05:00	192.612	-1.382	1.125	-8.62	77.171	411.6
2015-09-09 18:25:00	2015-09-09 18:35:00	190.693	-2.172	1.22	-8.535	72.035	413.967
2015-09-09 18:55:00	2015-09-09 19:05:00	187.833	-2.735	1.46	-8.428	68.415	416.683
2015-09-09 19:25:00	2015-09-09 19:35:00	191.469	-2.982	0.755	-8.325	66.664	424.05
2015-09-09 20:00:00	2015-09-09 20:10:00	211.827	-3.645	-2.325	-7.97	63.797	429.417
2015-09-09 21:00:00	2015-09-09 21:10:00	193.026	-4.127	0.19	-6.702	55.148	432.267
2015-09-09 21:30:00	2015-09-09 21:40:00	186.363	-5.282	0.777	-6.298	46.6	437.017
2015-09-09 22:05:00	2015-09-09 22:15:00	192.159	-4.312	0.013	-5.625	49.602	431.383
2015-09-09 22:35:00	2015-09-09 22:45:00	196.322	-4.398	-0.305	-4.895	45.213	435.767
2015-09-09 23:40:00	2015-09-09 23:50:00	188.114	-6.237	0.27	-2.067	15.193	446.9
2015-09-10 00:40:00	2015-09-10 00:50:00	270.522	-5.772	-2.487	-0.578	26.378	446.183
2015-09-10 09:25:00	2015-09-10 09:35:00	301.832	2.05	-5.762	-0.018	67.675	413.683
2015-09-10 09:55:00	2015-09-10 10:05:00	298.924	1.463	-6.213	-0.387	73.902	411.8
2015-09-10 11:30:00	2015-09-10 11:40:00	322.318	5.037	-4.41	1.602	38.676	401.317
2015-09-10 13:15:00	2015-09-10 13:25:00	266.773	-7.77	-1.835	-1.13	17.071	430.533
2015-09-10 14:20:00	2015-09-10 14:30:00	257.378	-4.545	-4.437	-3.897	52.182	435.567
2015-09-10 20:15:00	2015-09-10 20:25:00	11.144	-1.937	-0.627	8.702	77.514	410.983
2015-09-11 07:05:00	2015-09-11 07:15:00	60.098	-6.58	5.43	9.015	59.74	450.867
2015-09-11 18:00:00	2015-09-11 18:10:00	53.993	-3.403	3.733	5.565	65.786	625.283
2015-09-12 07:40:00	2015-09-12 07:50:00	137.579	-2.598	3.982	-1.277	55.589	558.3
2015-09-12 14:25:00	2015-09-12 14:35:00	290.949	-3.135	-1.335	-0.178	25.344	537.3
2015-09-13 14:20:00	2015-09-13 14:30:00	158.883	3.238	3.503	-2.903	59.415	468.5
2015-09-13 14:50:00	2015-09-13 15:00:00	163.162	3.418	3.16	-3.192	57.741	464.767
2015-09-13 15:20:00	2015-09-13 15:30:00	160.526	3.152	3.383	-3.248	61.151	461.167
2015-09-13 15:50:00	2015-09-13 16:00:00	154.509	3.717	3.497	-2.822	55.453	459.5
2015-09-13 16:20:00	2015-09-13 16:30:00	133.938	3.842	4.02	-1.438	52.476	459.0
2015-09-13 17:10:00	2015-09-13 17:20:00	155.445	2.437	3.138	-2.97	65.418	455.617
2015-09-13 17:40:00	2015-09-13 17:50:00	154.098	1.838	2.853	-2.7	70.087	450.667
2015-09-14 00:00:00	2015-09-14 00:10:00	54.323	-1.375	2.795	3.283	73.017	442.133
2015-09-14 07:05:00	2015-09-14 07:15:00	54.182	-3.865	2.485	5.267	58.685	423.25
2015-09-14 07:40:00	2015-09-14 07:50:00	102.198	-4.507	4.513	1.265	44.019	413.583
2015-09-14 09:05:00	2015-09-14 09:15:00	108.271	-3.4	7.075	1.682	62.244	431.3
2015-09-14 10:10:00	2015-09-14 10:20:00	115.771	-2.042	8.315	1.078	74.016	458.667
2015-09-14 14:30:00	2015-09-14 14:40:00	127.689	-2.355	6.907	-1.107	67.798	492.033
2015-09-14 15:10:00	2015-09-14 15:20:00	166.099	-0.385	4.497	-5.107	82.224	498.833
2015-09-14 16:50:00	2015-09-14 17:00:00	132.126	0.365	6.06	-2.093	89.081	496.717
2015-09-14 17:35:00	2015-09-14 17:45:00	128.401	-0.922	5.538	-1.705	76.321	487.933
2015-09-14 18:20:00	2015-09-14 18:30:00	115.787	-5.388	3.078	-0.402	26.832	470.7
