Start_str	End_str	Clang_avg	omniBxGSE_avg(nT)	omniByGSE_avg(nT)	omniBzGSE_avg(nT)	Shock_Ang(deg)	omniVsw_avg(km/s)
2019-09-17 14:45:00	2019-09-17 14:55:00	316.806	3.207	-3.873	1.275	56.844	354.35
2019-09-24 22:10:00	2019-09-24 22:20:00	336.31	2.872	-4.648	6.1	62.566	449.35
2019-09-24 22:40:00	2019-09-24 22:50:00	342.939	3.837	-3.568	5.927	54.529	453.167
2019-09-25 00:40:00	2019-09-25 00:50:00	354.41	2.128	-1.462	3.842	57.686	491.25
2019-09-25 01:10:00	2019-09-25 01:20:00	342.091	0.827	-2.328	3.48	72.001	486.117
2019-09-25 01:40:00	2019-09-25 01:50:00	323.422	-1.97	-3.168	2.368	72.252	483.833
2019-10-04 19:25:00	2019-10-04 19:35:00	347.778	-3.62	-0.808	1.433	20.56	419.5
2019-10-04 20:40:00	2019-10-04 20:50:00	329.775	-4.06	-0.723	0.717	9.149	417.583
2019-10-15 00:00:00	2019-10-15 00:10:00	331.775	0.795	-4.322	4.967	89.225	338.1
2019-10-15 04:40:00	2019-10-15 04:50:00	320.378	2.257	-4.012	2.15	71.128	325.417
2019-10-15 07:05:00	2019-10-15 07:15:00	343.558	2.79	-3.402	3.498	67.079	335.2
2019-10-15 16:05:00	2019-10-15 16:15:00	327.043	1.658	-4.118	2.772	79.048	348.067
2019-10-15 16:35:00	2019-10-15 16:45:00	323.354	1.498	-4.468	2.73	81.82	347.217
2019-10-15 17:30:00	2019-10-15 17:40:00	325.334	0.96	-3.678	2.628	85.537	347.417
2019-10-15 19:50:00	2019-10-15 20:00:00	322.164	-1.05	-5.788	4.388	74.533	353.533
2019-10-18 10:45:00	2019-10-18 10:55:00	328.176	-3.515	-0.59	0.298	4.972	349.033
2019-10-22 01:35:00	2019-10-22 01:45:00	320.928	1.07	-2.002	1.505	73.543	346.633
2019-10-23 02:00:00	2019-10-23 02:10:00	331.231	1.257	-1.267	1.363	61.386	338.0
2019-10-29 21:25:00	2019-10-29 21:35:00	329.817	-4.125	-3.867	4.555	57.218	388.25
2019-11-01 12:50:00	2019-11-01 13:00:00	333.264	0.725	-2.782	2.077	82.696	417.25
2019-11-01 13:20:00	2019-11-01 13:30:00	330.23	0.465	-3.0	2.055	87.369	414.133
2019-11-01 21:30:00	2019-11-01 21:40:00	316.509	1.977	-2.013	1.523	55.819	377.533
2019-11-02 05:10:00	2019-11-02 05:20:00	316.67	1.425	-2.312	1.162	58.949	367.367
2019-11-02 05:40:00	2019-11-02 05:50:00	322.927	1.045	-2.317	1.422	67.016	365.283
2019-11-02 06:10:00	2019-11-02 06:20:00	322.784	2.257	-2.095	1.222	45.1	362.25
2019-11-02 09:25:00	2019-11-02 09:35:00	315.653	-0.655	-2.885	0.922	80.52	365.117
2019-11-05 05:00:00	2019-11-05 05:10:00	327.973	-5.105	-1.548	1.243	22.303	384.55
2019-11-05 05:30:00	2019-11-05 05:40:00	323.782	-5.025	-2.047	1.363	27.335	382.983
2019-11-05 20:20:00	2019-11-05 20:30:00	334.266	-3.433	-0.927	1.305	25.403	402.15
2019-11-15 04:15:00	2019-11-15 04:25:00	347.191	1.428	-1.075	2.138	57.433	330.733
2019-11-15 06:10:00	2019-11-15 06:20:00	323.352	0.512	-1.798	1.255	73.36	328.883
2019-11-15 06:40:00	2019-11-15 06:50:00	327.492	0.602	-1.907	1.453	72.567	329.0
2019-11-15 20:15:00	2019-11-15 20:25:00	330.945	-1.498	-3.192	4.345	76.966	360.717
2019-11-18 16:10:00	2019-11-18 16:20:00	349.506	2.725	-0.958	2.01	37.106	368.8
2019-11-18 23:20:00	2019-11-18 23:30:00	330.02	2.438	-1.388	2.065	42.209	348.917
2019-11-19 08:10:00	2019-11-19 08:20:00	315.046	0.51	-3.03	1.303	75.124	339.1
2019-12-09 22:45:00	2019-12-09 22:55:00	319.338	4.388	-2.357	3.347	45.857	351.45
2019-12-14 12:05:00	2019-12-14 12:15:00	317.871	3.825	-2.307	1.623	37.996	353.017
2019-12-16 21:00:00	2019-12-16 21:10:00	340.208	3.553	-0.59	2.46	38.508	351.183
2019-12-16 21:30:00	2019-12-16 21:40:00	328.918	3.093	-1.26	2.825	47.775	350.617
2019-12-16 22:00:00	2019-12-16 22:10:00	323.341	2.927	-1.527	2.733	49.484	348.967
2019-12-17 22:30:00	2019-12-17 22:40:00	336.121	1.325	-0.798	2.878	61.308	337.983
2019-12-25 06:55:00	2019-12-25 07:05:00	335.974	-4.477	-1.063	1.942	41.388	336.3
2019-12-27 09:05:00	2019-12-27 09:15:00	320.28	2.6	-1.897	1.76	32.319	365.333
2020-01-01 05:10:00	2020-01-01 05:20:00	319.252	3.76	-1.275	1.707	22.845	308.25
2020-01-07 23:20:00	2020-01-07 23:30:00	318.655	3.622	-0.41	0.917	15.799	386.883
2020-01-10 12:10:00	2020-01-10 12:20:00	330.447	4.005	-2.288	3.813	41.125	488.533
