Start_str	End_str	Clang_avg	omniBxGSE_avg(nT)	omniByGSE_avg(nT)	omniBzGSE_avg(nT)	Shock_Ang(deg)	omniVsw_avg(km/s)
2016-09-01 00:15:00	2016-09-01 00:25:00	125.972	-1.455	5.008	-2.125	69.91	421.6
2016-09-01 01:45:00	2016-09-01 01:55:00	114.728	2.997	6.022	-1.027	68.708	450.45
2016-09-01 02:35:00	2016-09-01 02:45:00	130.911	0.97	5.822	-2.612	86.541	435.483
2016-09-01 03:05:00	2016-09-01 03:15:00	125.613	-0.468	6.483	-2.065	81.674	430.65
2016-09-01 03:35:00	2016-09-01 03:45:00	127.537	-3.1	6.923	-2.325	61.725	414.55
2016-09-01 07:25:00	2016-09-01 07:35:00	129.369	-4.828	6.953	-1.52	51.385	424.667
2016-09-02 14:10:00	2016-09-02 14:20:00	119.274	-4.028	6.93	-0.097	57.466	640.817
2016-09-02 19:40:00	2016-09-02 19:50:00	95.515	-4.397	4.89	0.882	46.579	635.367
2016-09-02 23:20:00	2016-09-02 23:30:00	103.947	-4.47	5.777	-0.117	49.925	651.617
2016-09-03 00:00:00	2016-09-03 00:10:00	97.663	-4.047	5.185	0.527	50.303	660.967
2016-09-03 01:05:00	2016-09-03 01:15:00	133.93	-4.92	2.653	-1.578	28.569	644.783
2016-09-04 00:30:00	2016-09-04 00:40:00	98.729	-3.54	5.158	0.457	53.425	657.95
2016-09-05 01:05:00	2016-09-05 01:15:00	88.245	-3.383	1.628	0.477	24.804	609.9
2016-09-05 15:55:00	2016-09-05 16:05:00	119.996	1.815	5.223	-0.463	75.279	595.783
2016-09-05 16:25:00	2016-09-05 16:35:00	111.376	1.127	5.385	0.212	81.919	583.733
2016-09-05 16:55:00	2016-09-05 17:05:00	116.261	0.163	5.997	-0.445	87.486	573.917
2016-09-05 17:40:00	2016-09-05 17:50:00	129.319	-0.215	5.097	-1.743	83.287	566.883
2016-09-05 18:25:00	2016-09-05 18:35:00	130.943	-1.492	4.393	-1.817	66.91	543.083
2016-09-05 20:35:00	2016-09-05 20:45:00	71.133	-3.792	1.957	1.225	30.905	535.267
2016-09-05 21:15:00	2016-09-05 21:25:00	89.144	-3.635	2.288	0.607	30.257	529.383
2016-09-06 00:05:00	2016-09-06 00:15:00	51.912	-4.912	0.85	1.073	16.8	555.483
2016-09-06 14:20:00	2016-09-06 14:30:00	56.998	-4.092	1.107	2.057	31.127	476.367
2016-09-06 20:40:00	2016-09-06 20:50:00	88.067	-1.775	3.493	1.037	61.217	518.633
2016-09-07 00:10:00	2016-09-07 00:20:00	112.548	-3.977	2.713	-0.51	30.438	495.817
