Start_str	End_str	Clang_avg	omniBxGSE_avg(nT)	omniByGSE_avg(nT)	omniBzGSE_avg(nT)	Shock_Ang(deg)	omniVsw_avg(km/s)
2019-09-07 08:45:00	2019-09-07 08:55:00	151.915	-2.653	1.893	-1.23	42.14	462.483
2019-09-09 16:05:00	2019-09-09 16:15:00	139.669	-0.97	3.56	-1.658	80.333	504.667
2019-09-09 16:35:00	2019-09-09 16:45:00	148.004	-0.337	3.528	-2.433	89.374	505.117
2019-09-09 23:10:00	2019-09-09 23:20:00	223.586	-4.108	-0.863	-1.462	22.074	478.967
2019-09-14 02:45:00	2019-09-14 02:55:00	144.648	-2.94	1.183	-0.85	31.563	470.55
2019-09-14 04:40:00	2019-09-14 04:50:00	191.657	-2.937	0.525	-2.238	40.619	490.567
2019-09-14 05:40:00	2019-09-14 05:50:00	208.009	-2.487	-0.14	-2.692	48.863	487.05
2019-09-14 06:10:00	2019-09-14 06:20:00	216.507	-2.66	-0.468	-2.377	43.119	481.033
2019-09-20 04:00:00	2019-09-20 04:10:00	196.91	-2.997	0.105	-1.223	24.688	342.533
2019-09-20 04:30:00	2019-09-20 04:40:00	218.134	-2.968	-0.332	-1.228	23.636	339.683
2019-09-20 05:00:00	2019-09-20 05:10:00	214.552	-2.907	-0.248	-1.362	26.172	339.4
2019-09-20 05:50:00	2019-09-20 06:00:00	216.98	-2.632	-0.243	-1.358	28.68	339.483
2019-09-20 06:25:00	2019-09-20 06:35:00	208.64	-2.688	-0.047	-1.373	28.8	337.633
2019-09-20 06:55:00	2019-09-20 07:05:00	206.87	-2.37	0.053	-2.005	41.862	340.3
2019-09-20 07:25:00	2019-09-20 07:35:00	186.715	-2.597	0.602	-1.415	34.046	336.3
2019-09-20 07:55:00	2019-09-20 08:05:00	177.973	-2.805	0.647	-1.03	27.396	333.267
2019-09-20 08:35:00	2019-09-20 08:45:00	191.451	-2.962	0.278	-0.767	18.754	330.817
2019-09-20 20:40:00	2019-09-20 20:50:00	211.973	-2.128	-0.293	-0.945	25.221	305.383
2019-09-21 02:45:00	2019-09-21 02:55:00	188.912	-1.908	0.26	-1.42	39.408	295.783
2019-09-21 04:35:00	2019-09-21 04:45:00	174.952	-1.267	1.448	-2.72	70.676	301.867
2019-09-21 15:20:00	2019-09-21 15:30:00	153.521	0.33	3.393	-2.523	80.657	332.583
2019-09-21 19:35:00	2019-09-21 19:45:00	185.464	1.443	0.727	-3.545	66.376	345.333
2019-09-23 15:05:00	2019-09-23 15:15:00	211.576	2.92	-0.172	-2.145	36.181	309.217
2019-09-23 16:00:00	2019-09-23 16:10:00	220.792	2.348	-1.007	-3.625	58.557	310.95
2019-09-23 23:50:00	2019-09-24 00:00:00	213.828	-1.648	-1.037	-2.935	61.513	326.15
2019-09-24 00:55:00	2019-09-24 01:05:00	203.769	-0.445	-0.687	-4.752	84.981	320.05
2019-09-24 02:25:00	2019-09-24 02:35:00	206.676	-0.755	-0.715	-4.703	81.324	318.717
2019-09-24 03:25:00	2019-09-24 03:35:00	199.849	-1.122	0.05	-6.023	80.679	319.433
2019-09-24 03:55:00	2019-09-24 04:05:00	191.826	-0.578	0.995	-5.857	86.501	316.9
2019-09-24 04:25:00	2019-09-24 04:35:00	182.268	-0.19	2.052	-5.512	88.843	315.983
2019-09-24 04:55:00	2019-09-24 05:05:00	183.706	-1.212	1.903	-5.152	80.52	315.567
2019-09-24 05:30:00	2019-09-24 05:40:00	181.527	-2.218	2.307	-5.217	72.147	316.3
2019-09-28 08:45:00	2019-09-28 08:55:00	153.639	-2.765	4.14	-2.585	53.701	630.933
2019-10-01 02:35:00	2019-10-01 02:45:00	165.769	-2.515	3.127	-4.978	73.305	466.183
2019-10-01 03:05:00	2019-10-01 03:15:00	153.231	-3.172	3.882	-3.748	67.55	454.65
2019-10-01 05:55:00	2019-10-01 06:05:00	149.241	-0.912	5.238	-3.367	89.46	486.167
2019-10-01 19:40:00	2019-10-01 19:50:00	150.526	-1.08	2.327	-2.253	80.302	491.617
2019-10-01 21:10:00	2019-10-01 21:20:00	140.013	-2.487	1.642	-1.113	48.743	476.033
2019-10-01 21:40:00	2019-10-01 21:50:00	145.298	-2.73	2.263	-1.992	56.287	476.033
2019-10-01 22:40:00	2019-10-01 22:50:00	149.897	-1.963	2.582	-2.688	69.983	488.083
2019-10-02 00:45:00	2019-10-02 00:55:00	137.123	-1.668	1.847	-1.173	61.883	466.333
2019-10-05 13:50:00	2019-10-05 14:00:00	146.531	3.275	3.195	-1.635	39.591	385.267
2019-10-05 19:50:00	2019-10-05 20:00:00	171.989	-2.823	1.563	-3.52	59.173	388.25
2019-10-07 15:55:00	2019-10-07 16:05:00	138.455	0.292	5.367	-2.375	78.97	357.933
2019-10-09 06:55:00	2019-10-09 07:05:00	193.464	1.775	0.877	-3.378	66.998	384.083
2019-10-11 06:45:00	2019-10-11 06:55:00	146.682	-2.55	2.002	-1.105	51.585	453.967
2019-10-11 07:35:00	2019-10-11 07:45:00	149.962	-0.967	2.96	-1.782	83.603	463.1
2019-10-11 08:05:00	2019-10-11 08:15:00	149.977	-0.828	3.057	-1.758	86.52	461.8
2019-10-11 18:40:00	2019-10-11 18:50:00	144.136	-3.137	0.792	-0.53	26.493	457.8
2019-10-14 16:05:00	2019-10-14 16:15:00	216.314	1.592	-1.303	-5.648	76.003	348.617
2019-10-18 03:30:00	2019-10-18 03:40:00	148.211	0.07	3.38	-2.788	81.719	378.483
2019-10-18 11:25:00	2019-10-18 11:35:00	158.621	-3.067	0.985	-0.76	29.409	346.65
2019-10-18 12:15:00	2019-10-18 12:25:00	152.245	-3.443	1.14	-0.712	29.009	340.55
2019-10-18 14:30:00	2019-10-18 14:40:00	135.747	-1.898	2.438	-0.855	61.709	341.35
2019-10-19 09:55:00	2019-10-19 10:05:00	177.836	1.407	1.748	-2.697	61.396	366.517
2019-10-19 10:25:00	2019-10-19 10:35:00	178.45	1.247	1.795	-2.822	64.843	364.7
2019-10-19 10:55:00	2019-10-19 11:05:00	180.756	1.318	1.527	-2.643	62.443	360.95
2019-10-19 11:50:00	2019-10-19 12:00:00	154.509	-0.383	2.397	-1.63	89.805	357.15
2019-10-19 12:30:00	2019-10-19 12:40:00	147.84	-0.128	2.803	-1.505	84.612	360.933
2019-10-19 13:05:00	2019-10-19 13:15:00	135.985	-2.425	2.908	-0.902	59.92	361.533
2019-10-19 15:35:00	2019-10-19 15:45:00	211.009	3.418	-0.397	-3.135	43.876	365.333
2019-10-19 16:05:00	2019-10-19 16:15:00	212.31	3.287	-0.572	-3.307	47.035	363.133
2019-10-19 16:35:00	2019-10-19 16:45:00	209.015	3.533	-0.445	-3.04	42.418	361.05
2019-10-19 17:05:00	2019-10-19 17:15:00	211.465	3.603	-0.603	-2.995	42.033	361.233
2019-10-19 17:40:00	2019-10-19 17:50:00	210.654	3.33	-0.505	-2.485	39.597	358.683
2019-10-19 18:30:00	2019-10-19 18:40:00	202.6	3.778	-0.218	-2.207	32.018	359.517
2019-10-25 08:15:00	2019-10-25 08:25:00	150.02	-2.602	5.21	-3.227	65.968	597.683
2019-10-25 08:45:00	2019-10-25 08:55:00	147.512	-2.742	5.243	-2.873	64.142	591.617
2019-10-29 15:25:00	2019-10-29 15:35:00	218.18	-3.458	-0.982	-3.312	47.14	392.167
2019-11-04 21:30:00	2019-11-04 21:40:00	156.664	-3.327	0.855	-1.448	28.515	343.783
2019-11-05 17:35:00	2019-11-05 17:45:00	143.306	3.352	2.793	-2.247	48.086	397.783
2019-11-08 09:40:00	2019-11-08 09:50:00	166.807	-0.87	1.387	-1.677	68.438	337.983
2019-11-08 17:00:00	2019-11-08 17:10:00	144.29	-2.585	1.725	-1.383	40.309	316.667
2019-11-08 17:30:00	2019-11-08 17:40:00	142.141	-2.353	1.78	-1.362	43.396	315.433
2019-11-08 18:00:00	2019-11-08 18:10:00	140.814	-1.432	2.273	-1.755	63.326	315.883
2019-11-08 18:45:00	2019-11-08 18:55:00	141.332	-1.197	2.347	-1.94	68.219	315.4
2019-11-09 13:50:00	2019-11-09 14:00:00	135.409	1.315	2.503	-1.043	65.005	324.55
2019-11-09 20:55:00	2019-11-09 21:05:00	139.876	0.89	1.938	-1.743	70.315	342.533
2019-11-16 12:25:00	2019-11-16 12:35:00	194.932	1.75	0.235	-1.732	46.235	351.2
2019-11-22 07:40:00	2019-11-22 07:50:00	210.322	-3.392	-0.593	-3.197	44.771	515.4
2019-12-07 21:15:00	2019-12-07 21:25:00	209.195	-2.142	-1.628	-2.585	64.158	369.617
2019-12-16 19:05:00	2019-12-16 19:15:00	211.237	1.153	-2.012	-2.92	69.208	356.117
2019-12-21 10:25:00	2019-12-21 10:35:00	138.998	0.55	2.558	-2.03	79.133	402.833
2019-12-21 10:55:00	2019-12-21 11:05:00	144.773	0.467	2.397	-2.345	80.976	398.15
2019-12-21 11:55:00	2019-12-21 12:05:00	135.869	1.532	2.908	-2.1	66.001	397.517
2019-12-21 18:05:00	2019-12-21 18:15:00	139.138	-2.968	1.0	-1.283	30.685	360.9
2019-12-21 19:30:00	2019-12-21 19:40:00	152.082	-2.512	0.962	-2.438	48.529	360.1
2019-12-21 20:00:00	2019-12-21 20:10:00	163.454	-2.35	0.467	-2.792	53.19	359.983
2019-12-31 07:10:00	2019-12-31 07:20:00	217.866	1.72	-1.07	-1.512	38.801	313.333
2019-12-31 07:40:00	2019-12-31 07:50:00	219.373	1.097	-1.252	-1.643	51.798	312.483
2019-12-31 10:30:00	2019-12-31 10:40:00	197.588	-4.413	-0.287	-1.41	30.695	305.533
2019-12-31 20:45:00	2019-12-31 20:55:00	185.231	0.695	-1.125	-3.537	74.676	309.617
2019-12-31 22:55:00	2019-12-31 23:05:00	213.439	1.492	-1.348	-1.2	37.098	308.25
2020-01-01 07:25:00	2020-01-01 07:35:00	212.04	0.903	-1.887	-3.3	67.536	326.283
2020-01-01 08:20:00	2020-01-01 08:30:00	215.672	0.672	-1.99	-3.213	70.017	327.933
2020-01-06 17:55:00	2020-01-06 18:05:00	210.99	-3.922	-1.143	-1.358	38.324	489.633
2020-01-10 07:35:00	2020-01-10 07:45:00	210.709	-0.597	-2.028	-3.22	89.406	520.417
2020-01-10 08:05:00	2020-01-10 08:15:00	219.492	-0.14	-2.442	-2.897	80.996	512.867
2020-01-11 06:00:00	2020-01-11 06:10:00	161.476	4.552	0.24	-1.042	24.845	439.533
2020-01-17 15:10:00	2020-01-17 15:20:00	164.986	1.08	0.645	-4.342	79.77	334.617
2020-01-20 16:45:00	2020-01-20 16:55:00	203.662	1.268	-0.893	-1.248	42.198	294.9
2020-01-20 18:20:00	2020-01-20 18:30:00	190.769	1.183	-0.663	-1.345	46.074	289.0
2020-01-21 06:45:00	2020-01-21 06:55:00	187.056	0.703	-0.557	-2.05	68.325	295.183
2020-01-21 23:20:00	2020-01-21 23:30:00	148.292	1.968	0.917	-5.813	73.542	357.983
2020-01-22 01:25:00	2020-01-22 01:35:00	224.687	4.123	-5.025	-2.233	46.3	355.35
2020-01-28 03:10:00	2020-01-28 03:20:00	201.172	-0.635	-1.957	-2.27	88.238	319.633
2020-01-28 04:15:00	2020-01-28 04:25:00	190.815	-0.69	-1.605	-3.06	85.715	322.75
2020-01-28 04:45:00	2020-01-28 04:55:00	185.078	-0.423	-1.288	-3.393	88.788	323.933
2020-01-28 05:15:00	2020-01-28 05:25:00	182.537	0.408	-1.088	-3.597	79.687	318.0
