Start_str	Start_ind	Mgs#_avg	Clang_avg	Rmag_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)	Bdeviat	Dtheta	End_ind	End_str
2020-09-04 11:55:00	1006	5.82	230.346	16.924	-1.595	-3.253	-2.697	0.03	3.61	1011	2020-09-04 12:20:00
2020-09-05 11:30:00	1287	5.78	278.429	17.76	-2.863	-3.333	0.495	0.09	16.08	1292	2020-09-05 11:55:00
2020-09-05 12:05:00	1294	5.88	280.664	18.234	-1.75	-4.168	0.778	0.02	15.71	1299	2020-09-05 12:30:00
2020-09-05 13:50:00	1315	5.7	306.456	19.565	-2.135	-3.267	2.45	0.05	28.62	1320	2020-09-05 14:15:00
2020-09-05 14:20:00	1321	5.73	289.126	19.921	-1.967	-3.955	1.37	0.05	23.20	1326	2020-09-05 14:45:00
2020-09-08 21:50:00	2275	6.35	278.573	16.542	0.887	-2.668	0.403	0.08	12.01	2280	2020-09-08 22:15:00
2020-09-09 02:15:00	2328	5.75	268.503	20.04	1.987	-3.14	-0.078	0.07	19.67	2333	2020-09-09 02:40:00
2020-09-09 03:25:00	2342	5.9	289.991	20.824	-1.453	-2.833	1.058	0.08	25.82	2347	2020-09-09 03:50:00
2020-09-09 03:55:00	2348	5.68	283.13	21.145	0.08	-3.583	0.817	0.06	15.66	2353	2020-09-09 04:20:00
2020-09-09 04:40:00	2357	5.22	281.79	21.609	1.842	-3.588	0.79	0.08	26.56	2362	2020-09-09 05:05:00
2020-09-09 05:35:00	2368	5.33	275.169	22.149	1.87	-3.012	0.302	0.04	26.94	2373	2020-09-09 06:00:00
2020-09-09 07:25:00	2390	5.43	300.793	23.148	0.877	-3.392	1.995	0.07	17.16	2395	2020-09-09 07:50:00
2020-09-11 05:15:00	2940	5.7	253.002	21.484	2.518	-2.368	-0.733	0.04	25.86	2945	2020-09-11 05:40:00
2020-09-11 05:45:00	2946	5.7	257.542	21.173	2.137	-2.545	-0.57	0.03	11.03	2951	2020-09-11 06:10:00
2020-09-11 06:25:00	2954	5.7	237.475	20.745	2.163	-2.237	-1.42	0.05	23.55	2959	2020-09-11 06:50:00
2020-09-11 09:10:00	2987	5.7	225.75	18.795	2.163	-1.585	-1.545	0.10	21.15	2992	2020-09-11 09:35:00
2020-09-18 04:40:00	4915	6.03	244.774	21.683	-2.7	-1.288	-0.622	0.07	25.65	4920	2020-09-18 05:05:00
2020-09-19 20:00:00	5362	5.92	237.799	23.612	-0.235	-1.052	-0.632	0.10	21.77	5367	2020-09-19 20:25:00
2020-09-19 20:35:00	5369	5.9	260.215	23.89	0.538	-1.473	-0.255	0.07	8.99	5374	2020-09-19 21:00:00
2020-09-21 16:25:00	5889	5.0	304.735	21.643	-0.132	-5.11	3.552	0.06	10.60	5894	2020-09-21 16:50:00
2020-09-21 18:25:00	5913	5.03	277.933	20.37	0.872	-7.62	1.073	0.09	8.11	5918	2020-09-21 18:50:00
2020-09-21 19:05:00	5921	5.08	289.069	19.912	-0.475	-7.925	2.765	0.09	12.07	5926	2020-09-21 19:30:00
2020-09-21 19:35:00	5927	5.07	284.86	19.558	1.3	-7.943	2.108	0.05	8.43	5932	2020-09-21 20:00:00
2020-09-21 20:15:00	5935	5.03	292.836	19.069	0.787	-6.867	2.892	0.07	4.51	5940	2020-09-21 20:40:00
2020-09-22 02:25:00	6009	5.4	268.859	13.488	1.917	-6.933	-0.16	0.05	27.30	6014	2020-09-22 02:50:00
2020-09-22 03:35:00	6022	5.2	301.33	12.155	-3.547	-6.095	3.687	0.08	20.16	6027	2020-09-22 04:00:00
2020-09-25 12:20:00	6920	6.95	278.749	15.684	2.933	-3.672	0.585	0.04	17.34	6925	2020-09-25 12:45:00
2020-09-25 12:50:00	6926	6.07	278.511	15.2	3.755	-4.282	0.665	0.09	14.73	6931	2020-09-25 13:15:00
2020-10-06 17:40:00	10065	6.53	271.942	12.306	-3.335	-3.445	0.095	0.07	17.66	10070	2020-10-06 18:05:00
2020-10-06 18:10:00	10071	6.42	284.3	12.883	-3.57	-3.405	0.872	0.08	14.52	10076	2020-10-06 18:35:00
