Start_str	Start_ind	Mgs#_avg	Clang_avg	Rmag_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)	Bdeviat	Dtheta	End_ind	End_str
2019-09-03 18:30:00	797	6.58	116.989	13.338	-1.707	2.99	-1.552	0.09	29.87	802	2019-09-03 18:55:00
2019-09-04 02:20:00	891	6.92	58.58	20.458	-3.357	1.948	1.172	0.03	24.40	896	2019-09-04 02:45:00
2019-09-04 07:10:00	949	7.0	120.947	23.455	-0.945	3.142	-1.873	0.08	18.66	954	2019-09-04 07:35:00
2019-09-06 03:45:00	1469	6.33	120.439	23.241	-0.725	3.907	-2.318	0.08	20.25	1474	2019-09-06 04:10:00
2019-09-06 07:05:00	1495	6.33	120.254	21.219	-1.058	3.858	-2.277	0.08	29.85	1500	2019-09-06 07:30:00
2019-09-06 11:50:00	1552	5.22	103.863	17.576	-5.103	2.05	-0.548	0.01	29.92	1557	2019-09-06 12:15:00
2019-09-06 12:20:00	1558	5.03	79.215	17.13	-5.418	1.632	0.295	0.04	22.87	1563	2019-09-06 12:45:00
2019-09-06 13:05:00	1567	5.05	23.475	16.433	-5.532	0.675	1.59	0.03	25.14	1572	2019-09-06 13:30:00
2019-09-06 13:35:00	1573	5.03	28.994	15.95	-5.342	0.865	1.565	0.04	26.53	1578	2019-09-06 14:00:00
2019-09-06 14:30:00	1584	5.8	17.175	15.022	-4.845	0.738	2.263	0.01	24.43	1589	2019-09-06 14:55:00
2019-09-06 16:30:00	1608	5.02	110.755	12.779	-4.202	2.74	-1.042	0.05	20.45	1613	2019-09-06 16:55:00
2019-09-06 17:00:00	1614	5.63	113.54	12.164	-3.113	3.207	-1.41	0.03	22.06	1619	2019-09-06 17:25:00
2019-09-06 17:30:00	1620	5.73	108.185	11.523	-3.325	3.168	-1.053	0.03	13.62	1625	2019-09-06 17:55:00
2019-09-07 04:10:00	1748	5.17	93.742	10.393	-4.7	1.928	-0.055	0.04	29.50	1753	2019-09-07 04:35:00
2019-09-07 05:00:00	1758	5.87	54.3	11.525	-3.997	2.032	1.45	0.04	20.63	1763	2019-09-07 05:25:00
2019-09-07 08:30:00	1800	6.32	151.915	15.537	-2.653	0.997	-2.025	0.06	19.66	1805	2019-09-07 08:55:00
2019-09-07 11:50:00	1840	6.42	85.981	18.569	-3.272	1.573	0.1	0.09	26.22	1845	2019-09-07 12:15:00
2019-09-07 15:20:00	1882	7.0	56.477	21.167	-0.087	2.422	1.627	0.08	21.75	1887	2019-09-07 15:45:00
2019-09-07 18:45:00	1923	6.73	105.325	23.245	-1.363	3.302	-0.96	0.03	16.95	1928	2019-09-07 19:10:00
2019-09-07 19:15:00	1929	6.63	110.259	23.516	-2.668	2.728	-1.013	0.03	8.42	1934	2019-09-07 19:40:00
2019-09-09 15:50:00	2464	6.7	139.669	23.293	-0.97	2.543	-2.997	0.09	9.91	2469	2019-09-09 16:15:00
2019-09-09 16:20:00	2470	6.58	148.004	23.015	-0.337	2.268	-3.635	0.09	6.29	2475	2019-09-09 16:45:00
2019-09-09 22:55:00	2537	6.07	223.586	18.504	-4.108	-1.18	-1.218	0.06	23.37	2542	2019-09-09 23:20:00
2019-09-10 07:05:00	2635	5.17	55.277	9.545	-5.118	2.915	2.028	0.01	19.72	2640	2019-09-10 07:30:00
2019-09-10 07:35:00	2641	5.1	82.03	8.778	-5.278	3.055	0.447	0.03	22.44	2646	2019-09-10 08:00:00
2019-09-11 00:25:00	2707	5.58	54.622	18.924	-4.173	1.68	1.138	0.07	21.88	2712	2019-09-11 00:50:00
2019-09-11 00:55:00	2713	5.62	57.063	19.318	-4.285	1.747	1.118	0.03	16.35	2718	2019-09-11 01:20:00
2019-09-11 01:25:00	2719	5.48	44.689	19.7	-4.625	1.36	1.372	0.03	14.66	2724	2019-09-11 01:50:00
2019-09-11 01:55:00	2725	5.4	44.15	20.072	-4.812	1.022	1.052	0.02	12.91	2730	2019-09-11 02:20:00
2019-09-11 02:25:00	2731	5.28	34.343	20.433	-4.885	0.653	0.942	0.08	29.08	2736	2019-09-11 02:50:00
2019-09-11 07:05:00	2787	5.3	118.024	23.346	-2.853	2.933	-1.563	0.06	14.86	2792	2019-09-11 07:30:00
2019-09-13 07:15:00	3361	5.35	34.691	21.364	-5.362	3.26	4.9	0.02	28.08	3366	2019-09-13 07:40:00
2019-09-13 08:00:00	3370	5.23	51.118	20.86	-6.55	3.37	2.732	0.04	23.80	3375	2019-09-13 08:25:00
2019-09-13 18:15:00	3493	5.47	122.358	11.07	-3.955	0.742	-0.462	0.02	25.96	3498	2019-09-13 18:40:00
2019-09-13 20:50:00	3524	6.38	40.815	7.113	-1.978	1.652	1.752	0.05	27.59	3529	2019-09-13 21:15:00
2019-09-14 02:30:00	3592	5.93	144.648	7.068	-2.94	0.853	-1.18	0.04	22.64	3597	2019-09-14 02:55:00
2019-09-14 04:25:00	3615	5.73	191.657	10.109	-2.937	-0.392	-2.265	0.03	21.78	3620	2019-09-14 04:50:00
2019-09-14 05:25:00	3627	6.03	208.009	11.478	-2.487	-1.278	-2.372	0.05	29.11	3632	2019-09-14 05:50:00
2019-09-14 05:55:00	3633	6.07	216.507	12.119	-2.66	-1.482	-1.918	0.02	19.88	3638	2019-09-14 06:20:00
2019-09-14 18:20:00	3782	6.73	102.29	22.726	-0.468	3.583	-0.788	0.05	23.91	3787	2019-09-14 18:45:00
2019-09-14 19:10:00	3792	6.5	109.979	23.195	-1.825	3.088	-1.123	0.05	8.38	3797	2019-09-14 19:35:00
2019-09-16 19:45:00	4375	6.78	116.044	20.99	-3.262	2.8	-1.362	0.05	14.78	4380	2019-09-16 20:10:00
2019-09-16 20:15:00	4381	6.73	116.178	20.648	-3.423	3.145	-1.537	0.10	23.54	4386	2019-09-16 20:40:00
2019-09-16 21:40:00	4398	6.48	78.945	19.621	-2.692	3.81	0.725	0.03	29.02	4403	2019-09-16 22:05:00
2019-09-16 22:55:00	4413	6.37	96.828	18.643	-3.525	3.65	-0.453	0.09	16.86	4418	2019-09-16 23:20:00
2019-09-16 23:25:00	4419	6.73	112.446	18.231	-3.14	3.605	-1.498	0.04	19.60	4424	2019-09-16 23:50:00
2019-09-17 07:15:00	4513	5.88	284.799	9.618	-0.28	-4.797	1.262	0.06	7.48	4518	2019-09-17 07:40:00
2019-09-17 14:30:00	4600	5.03	316.806	7.069	3.207	-2.817	2.948	0.07	25.93	4605	2019-09-17 14:55:00
2019-09-17 15:00:00	4606	5.13	294.556	7.924	2.822	-3.96	1.79	0.03	9.21	4611	2019-09-17 15:25:00
2019-09-17 15:30:00	4612	5.03	294.403	8.73	2.95	-3.825	1.777	0.02	22.56	4617	2019-09-17 15:55:00
2019-09-17 16:25:00	4623	5.12	235.839	10.102	3.665	-2.655	-1.76	0.06	23.84	4628	2019-09-17 16:50:00
2019-09-17 23:05:00	4703	7.0	65.49	17.515	-2.917	1.432	0.642	0.08	18.11	4708	2019-09-17 23:30:00
2019-09-20 03:45:00	5334	5.78	196.91	23.399	-2.997	-0.353	-1.175	0.02	26.80	5339	2019-09-20 04:10:00
2019-09-20 04:15:00	5340	5.8	218.134	23.127	-2.968	-0.783	-1.003	0.02	17.28	5345	2019-09-20 04:40:00
2019-09-20 04:45:00	5346	5.8	214.552	22.846	-2.907	-0.782	-1.143	0.01	8.09	5351	2019-09-20 05:10:00
2019-09-20 05:35:00	5356	6.05	216.98	22.361	-2.632	-0.813	-1.117	0.05	27.31	5361	2019-09-20 06:00:00
2019-09-20 06:10:00	5363	6.1	208.64	22.007	-2.688	-0.67	-1.198	0.03	28.30	5368	2019-09-20 06:35:00
2019-09-20 06:40:00	5369	6.12	206.87	21.694	-2.37	-0.908	-1.787	0.02	14.05	5374	2019-09-20 07:05:00
2019-09-20 07:10:00	5375	6.13	186.715	21.372	-2.597	-0.175	-1.528	0.02	17.98	5380	2019-09-20 07:35:00
2019-09-20 07:40:00	5381	6.22	177.973	21.04	-2.805	0.038	-1.213	0.03	15.41	5386	2019-09-20 08:05:00
2019-09-20 08:20:00	5389	6.17	191.451	20.583	-2.962	-0.162	-0.8	0.01	23.62	5394	2019-09-20 08:45:00
2019-09-20 09:35:00	5404	6.17	251.279	19.678	-1.085	-2.295	-0.712	0.04	24.22	5409	2019-09-20 10:00:00
2019-09-20 19:40:00	5452	6.37	107.45	8.985	-2.238	0.702	-0.237	0.02	22.91	5457	2019-09-20 20:05:00
2019-09-20 20:25:00	5461	6.37	211.973	7.78	-2.128	-0.532	-0.838	0.03	10.95	5466	2019-09-20 20:50:00
