Start_str	Start_ind	Mgs#_avg	Clang_avg	Rmag_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)	Bdeviat	Dtheta	End_ind	End_str
2020-09-01 02:20:00	28	6.9	112.376	14.807	-1.533	4.035	-1.625	0.07	29.70	33	2020-09-01 02:45:00
2020-09-01 04:35:00	55	5.95	78.074	12.339	-5.15	3.482	0.693	0.07	21.61	60	2020-09-01 05:00:00
2020-09-01 17:35:00	211	6.93	188.332	11.698	3.787	-0.358	-2.445	0.03	9.23	216	2020-09-01 18:00:00
2020-09-01 18:15:00	219	6.93	181.256	12.501	4.03	-0.053	-2.558	0.03	8.08	224	2020-09-01 18:40:00
2020-09-01 18:45:00	225	6.8	174.297	13.078	4.087	0.263	-2.638	0.01	4.83	230	2020-09-01 19:10:00
2020-09-01 19:15:00	231	6.92	169.478	13.635	4.203	0.433	-2.357	0.01	4.43	236	2020-09-01 19:40:00
2020-09-01 19:45:00	237	6.9	167.84	14.172	4.73	0.322	-1.415	0.02	13.41	242	2020-09-01 20:10:00
2020-09-01 20:15:00	243	6.67	190.931	14.692	4.842	-0.23	-1.258	0.05	18.22	248	2020-09-01 20:40:00
2020-09-01 20:55:00	251	6.92	187.24	15.358	4.498	-0.207	-1.653	0.04	20.24	256	2020-09-01 21:20:00
2020-09-01 21:25:00	257	6.8	168.246	15.839	4.442	0.402	-1.898	0.02	10.42	262	2020-09-01 21:50:00
2020-09-01 22:15:00	267	6.58	157.242	16.609	4.338	0.85	-2.025	0.02	1.80	272	2020-09-01 22:40:00
2020-09-02 00:35:00	295	6.95	171.445	18.567	-2.682	0.472	-3.203	0.10	11.25	300	2020-09-02 01:00:00
2020-09-04 09:35:00	978	6.18	207.392	18.837	-0.558	-1.952	-3.76	0.03	11.11	983	2020-09-04 10:00:00
2020-09-04 11:55:00	1006	5.82	230.346	16.924	-1.595	-3.253	-2.697	0.03	3.61	1011	2020-09-04 12:20:00
2020-09-04 13:00:00	1019	5.67	217.408	15.94	-1.438	-2.8	-3.663	0.03	10.42	1024	2020-09-04 13:25:00
2020-09-04 13:30:00	1025	5.45	221.876	15.464	-2.642	-2.883	-3.203	0.06	11.69	1030	2020-09-04 13:55:00
2020-09-04 16:40:00	1063	5.5	168.42	12.046	-3.732	0.512	-2.502	0.05	20.60	1068	2020-09-04 17:05:00
2020-09-04 17:40:00	1075	5.42	141.93	10.792	-3.613	1.852	-2.353	0.01	21.25	1080	2020-09-04 18:05:00
2020-09-04 18:20:00	1083	5.6	122.349	9.897	-2.69	3.307	-2.092	0.06	23.84	1088	2020-09-04 18:45:00
2020-09-04 19:00:00	1091	5.6	108.342	8.949	-2.453	3.6	-1.23	0.04	24.39	1096	2020-09-04 19:25:00
2020-09-05 02:15:00	1177	5.82	96.819	7.108	-3.003	3.022	-0.372	0.03	16.84	1182	2020-09-05 02:40:00
2020-09-05 02:45:00	1183	5.52	102.044	7.912	-3.375	2.745	-0.595	0.03	19.31	1188	2020-09-05 03:10:00
2020-09-05 03:35:00	1193	5.23	82.26	9.166	-3.835	1.958	0.233	0.03	27.48	1198	2020-09-05 04:00:00
2020-09-05 04:10:00	1200	5.45	125.3	9.988	-3.515	2.148	-1.462	0.02	25.50	1205	2020-09-05 04:35:00
2020-09-05 04:55:00	1209	5.55	114.278	10.986	-3.162	2.845	-1.302	0.00	16.12	1214	2020-09-05 05:20:00
2020-09-05 05:25:00	1215	5.48	114.637	11.617	-3.377	2.52	-1.162	0.02	24.36	1220	2020-09-05 05:50:00
2020-09-05 06:00:00	1222	5.63	122.105	12.324	-2.607	2.898	-1.813	0.04	23.44	1227	2020-09-05 06:25:00
2020-09-05 06:45:00	1231	5.73	119.557	13.188	-1.988	3.487	-2.038	0.06	27.02	1236	2020-09-05 07:10:00
2020-09-05 08:10:00	1248	5.35	134.311	14.701	-4.105	1.6	-1.557	0.03	19.68	1253	2020-09-05 08:35:00
2020-09-05 09:05:00	1258	5.72	121.471	15.607	-2.397	3.203	-1.915	0.02	25.96	1263	2020-09-05 09:30:00
2020-09-05 09:35:00	1264	5.52	136.475	16.079	-3.65	1.825	-1.915	0.02	15.80	1269	2020-09-05 10:00:00
2020-09-05 11:30:00	1287	5.78	278.429	17.76	-2.863	-3.333	0.495	0.09	16.08	1292	2020-09-05 11:55:00
2020-09-05 12:05:00	1294	5.88	280.664	18.234	-1.75	-4.168	0.778	0.02	15.71	1299	2020-09-05 12:30:00
2020-09-05 13:50:00	1315	5.7	306.456	19.565	-2.135	-3.267	2.45	0.05	28.62	1320	2020-09-05 14:15:00
2020-09-05 14:20:00	1321	5.73	289.126	19.921	-1.967	-3.955	1.37	0.05	23.20	1326	2020-09-05 14:45:00
2020-09-07 12:45:00	1878	6.0	104.244	23.997	0.36	4.53	-1.148	0.02	9.94	1883	2020-09-07 13:10:00
