Start_str	Start_ind	Mgs#_avg	Clang_avg	Rmag_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)	Bdeviat	Dtheta	End_ind	End_str
2016-09-06 03:40:00	1281	5.8	349.356	10.229	-5.242	-0.125	0.673	0.07	15.87	1286	2016-09-06 04:05:00
2016-09-17 12:40:00	4467	5.2	350.45	7.756	2.868	-1.11	6.577	0.04	11.11	4472	2016-09-17 13:05:00
2016-09-21 14:10:00	5637	6.62	317.99	9.674	1.105	-3.038	3.367	0.05	21.53	5642	2016-09-21 14:35:00
2016-09-21 14:40:00	5643	6.53	322.16	10.051	0.973	-2.95	3.797	0.02	17.23	5648	2016-09-21 15:05:00
2016-09-21 15:15:00	5650	6.4	320.582	10.441	-0.462	-3.318	4.04	0.05	3.31	5655	2016-09-21 15:40:00
2016-09-22 13:40:00	5851	5.75	353.434	9.358	3.883	-0.342	3.01	0.05	11.54	5856	2016-09-22 14:05:00
2016-09-22 14:10:00	5857	5.87	352.339	9.765	4.14	-0.318	2.427	0.02	8.22	5862	2016-09-22 14:35:00
2016-09-22 18:45:00	5880	6.52	329.095	11.851	4.698	-0.9	1.517	0.01	22.21	5885	2016-09-22 19:10:00
2016-09-22 19:15:00	5886	6.5	316.139	11.922	4.697	-1.057	1.1	0.02	2.83	5891	2016-09-22 19:40:00
2016-09-22 19:45:00	5892	6.63	321.339	11.964	4.588	-1.02	1.307	0.01	17.13	5897	2016-09-22 20:10:00
2016-09-22 20:15:00	5898	6.7	331.765	11.978	4.42	-0.9	1.69	0.01	9.77	5903	2016-09-22 20:40:00
2016-09-22 21:00:00	5905	6.42	335.534	11.946	4.453	-0.787	1.737	0.01	17.00	5910	2016-09-22 21:25:00
2016-09-22 21:30:00	5911	6.55	344.328	11.89	4.287	-0.515	1.852	0.10	9.29	5916	2016-09-22 21:55:00
2016-09-22 22:00:00	5917	6.47	343.059	11.804	4.287	-0.522	1.722	0.04	9.03	5922	2016-09-22 22:25:00
2016-09-22 22:50:00	5927	6.37	350.033	11.597	4.375	-0.333	1.922	0.09	12.77	5932	2016-09-22 23:15:00
2016-09-22 23:20:00	5933	6.25	350.575	11.433	4.373	-0.355	2.132	0.05	10.33	5938	2016-09-22 23:45:00
2016-09-23 11:25:00	6078	5.67	346.373	7.076	0.05	-1.358	5.6	0.02	10.56	6083	2016-09-23 11:50:00
2016-09-23 11:55:00	6084	5.82	346.052	7.701	-0.247	-1.355	5.452	0.02	12.88	6089	2016-09-23 12:20:00
2016-09-23 12:25:00	6090	5.75	352.18	8.266	0.88	-0.743	5.41	0.06	10.00	6095	2016-09-23 12:50:00
2016-09-23 13:00:00	6097	6.32	335.009	8.858	-0.458	-2.273	4.788	0.07	27.89	6102	2016-09-23 13:25:00
2016-09-23 16:35:00	6140	6.22	321.029	11.253	-2.957	-2.988	3.695	0.05	9.21	6145	2016-09-23 17:00:00
2016-09-23 17:35:00	6152	6.15	316.111	11.607	-4.102	-2.52	2.593	0.01	17.08	6157	2016-09-23 18:00:00
2016-09-23 20:55:00	6192	5.52	338.856	11.944	0.597	-2.203	5.68	0.09	6.12	6197	2016-09-23 21:20:00
2016-09-23 21:45:00	6202	5.23	324.342	11.83	-0.007	-4.033	5.622	0.03	3.69	6207	2016-09-23 22:10:00
2016-09-23 23:20:00	6221	5.6	337.32	11.39	-1.515	-2.298	5.625	0.07	29.95	6226	2016-09-23 23:45:00
2016-09-24 00:15:00	6232	5.68	334.194	10.996	-0.86	-2.48	5.293	0.05	29.81	6237	2016-09-24 00:40:00
2016-09-24 01:05:00	6242	5.47	351.607	10.541	2.017	-0.875	5.872	0.09	13.29	6247	2016-09-24 01:30:00
2016-09-24 01:35:00	6248	5.33	341.422	10.221	0.79	-1.963	5.843	0.05	7.17	6253	2016-09-24 02:00:00
2016-09-24 02:05:00	6254	5.3	334.462	9.864	0.795	-2.503	5.335	0.07	16.15	6259	2016-09-24 02:30:00
2016-09-24 02:35:00	6260	5.67	333.588	9.468	0.745	-2.477	5.133	0.04	27.28	6265	2016-09-24 03:00:00
2016-09-24 03:35:00	6272	5.02	321.4	8.543	0.167	-4.38	5.448	0.07	23.98	6277	2016-09-24 04:00:00
2016-10-04 15:05:00	9284	5.0	330.993	11.161	-0.527	-4.51	8.038	0.08	28.02	9289	2016-10-04 15:30:00
2016-10-07 10:35:00	10081	6.08	325.101	8.051	-3.917	-1.417	2.05	0.09	10.42	10086	2016-10-07 11:00:00
2016-10-07 11:05:00	10087	5.88	328.722	8.583	-3.862	-1.583	2.605	0.07	7.18	10092	2016-10-07 11:30:00
2016-10-07 11:35:00	10093	5.92	331.647	9.064	-3.775	-1.528	2.833	0.05	8.22	10098	2016-10-07 12:00:00
2016-10-07 12:30:00	10104	6.03	324.579	9.831	-3.748	-1.758	2.478	0.09	19.57	10109	2016-10-07 12:55:00
2016-10-11 00:50:00	11112	5.72	330.964	9.273	6.015	-1.52	2.483	0.04	28.05	11117	2016-10-11 01:15:00
2016-10-11 01:20:00	11118	5.48	339.589	8.813	6.445	-0.848	2.17	0.04	20.49	11123	2016-10-11 01:45:00
2016-10-11 01:50:00	11124	5.32	336.482	8.305	6.193	-1.172	2.67	0.01	6.67	11129	2016-10-11 02:15:00
2016-10-11 11:25:00	11239	5.82	324.15	9.321	2.985	-2.782	3.878	0.04	21.62	11244	2016-10-11 11:50:00
2016-10-11 11:55:00	11245	5.78	324.42	9.732	2.622	-2.783	3.847	0.04	19.42	11250	2016-10-11 12:20:00
2016-10-11 12:25:00	11251	5.78	333.094	10.102	3.765	-1.83	3.588	0.04	15.71	11256	2016-10-11 12:50:00
2016-10-11 12:55:00	11257	5.58	319.851	10.434	5.205	-1.51	1.833	0.05	21.68	11262	2016-10-11 13:20:00
