Start_str	Start_ind	Mgs#_avg	Clang_avg	Rmag_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)	Bdeviat	Dtheta	End_ind	End_str
2019-09-17 14:30:00	4600	5.03	316.806	7.069	3.207	-2.817	2.948	0.07	25.93	4605	2019-09-17 14:55:00
2019-09-24 21:55:00	6600	5.18	336.31	16.351	2.872	-3.022	7.052	0.09	28.53	6605	2019-09-24 22:20:00
2019-09-24 22:25:00	6606	5.37	342.939	16.819	3.837	-2.028	6.615	0.05	5.21	6611	2019-09-24 22:50:00
2019-09-25 00:25:00	6630	6.73	354.41	18.554	2.128	-0.403	4.092	0.07	12.87	6635	2019-09-25 00:50:00
2019-09-25 00:55:00	6636	6.88	342.091	18.956	0.827	-1.288	3.983	0.08	5.50	6641	2019-09-25 01:20:00
2019-09-25 01:25:00	6642	6.55	323.422	19.347	-1.97	-2.358	3.178	0.07	10.09	6647	2019-09-25 01:50:00
2019-10-04 19:10:00	9108	6.6	347.778	9.983	-3.62	-0.358	1.605	0.04	14.37	9113	2019-10-04 19:35:00
2019-10-04 20:25:00	9123	6.4	329.775	8.074	-4.06	-0.513	0.88	0.04	14.97	9128	2019-10-04 20:50:00
2019-10-14 23:45:00	11788	5.5	331.775	18.238	0.795	-3.092	5.812	0.07	27.94	11793	2019-10-15 00:10:00
2019-10-15 04:25:00	11844	5.18	320.378	13.755	2.257	-2.905	3.502	0.07	4.92	11849	2019-10-15 04:50:00
2019-10-15 06:50:00	11873	5.2	343.558	10.79	2.79	-1.377	4.683	0.10	23.44	11878	2019-10-15 07:15:00
2019-10-15 15:50:00	11981	5.58	327.043	8.41	1.658	-2.692	4.17	0.09	13.43	11986	2019-10-15 16:15:00
2019-10-15 16:20:00	11987	5.78	323.354	9.181	1.498	-3.128	4.207	0.04	14.47	11992	2019-10-15 16:45:00
2019-10-15 17:15:00	11998	6.3	325.334	10.499	0.96	-2.575	3.715	0.07	12.38	12003	2019-10-15 17:40:00
2019-10-15 19:35:00	12026	5.08	322.164	13.42	-1.05	-4.468	5.723	0.05	20.22	12031	2019-10-15 20:00:00
2019-10-18 10:30:00	12778	6.22	328.176	19.221	-3.515	-0.352	0.56	0.05	29.33	12783	2019-10-18 10:55:00
2019-10-22 01:20:00	13732	7.0	320.928	16.922	1.07	-1.58	1.942	0.05	22.65	13737	2019-10-22 01:45:00
2019-10-23 01:45:00	14025	6.97	331.231	19.159	1.257	-0.887	1.637	0.08	16.87	14030	2019-10-23 02:10:00
2019-10-29 21:10:00	15782	5.4	329.817	14.982	-4.125	-3.003	5.163	0.05	23.87	15787	2019-10-29 21:35:00
2019-11-01 12:35:00	16500	6.42	333.264	17.525	0.725	-1.562	3.1	0.08	6.30	16505	2019-11-01 13:00:00
2019-11-01 13:05:00	16506	6.28	330.23	17.084	0.465	-1.808	3.158	0.07	14.12	16511	2019-11-01 13:30:00
2019-11-01 21:15:00	16603	6.05	316.509	7.125	1.977	-1.738	1.83	0.02	10.48	16608	2019-11-01 21:40:00
2019-11-02 04:55:00	16672	6.03	316.67	9.992	1.425	-1.772	1.883	0.04	10.21	16677	2019-11-02 05:20:00
2019-11-02 05:25:00	16678	6.18	322.927	10.686	1.045	-1.637	2.168	0.09	4.96	16683	2019-11-02 05:50:00
2019-11-02 05:55:00	16684	5.72	322.784	11.351	2.257	-1.467	1.935	0.06	18.81	16689	2019-11-02 06:20:00
2019-11-02 09:10:00	16723	6.72	315.653	15.092	-0.655	-2.122	2.165	0.05	18.63	16728	2019-11-02 09:35:00
2019-11-05 04:45:00	17476	5.02	327.973	13.67	-5.105	-1.062	1.678	0.04	9.21	17481	2019-11-05 05:10:00
2019-11-05 05:15:00	17482	5.02	323.782	13.099	-5.025	-1.453	1.985	0.02	8.18	17487	2019-11-05 05:40:00
2019-11-05 20:05:00	17649	6.37	334.266	13.664	-3.433	-0.695	1.44	0.03	29.39	17654	2019-11-05 20:30:00
2019-11-15 04:00:00	20259	6.65	347.191	23.466	1.428	-0.533	2.333	0.07	28.82	20264	2019-11-15 04:25:00
2019-11-15 05:55:00	20282	6.8	323.352	22.408	0.512	-1.288	1.775	0.07	23.65	20287	2019-11-15 06:20:00
2019-11-15 06:25:00	20288	6.8	327.492	22.112	0.602	-1.29	2.022	0.04	8.67	20293	2019-11-15 06:50:00
2019-11-15 20:00:00	20451	5.42	330.945	9.404	-1.498	-2.665	4.69	0.05	29.08	20456	2019-11-15 20:25:00
2019-11-18 15:55:00	21222	6.43	349.506	23.564	2.725	-0.42	2.185	0.07	28.10	21227	2019-11-18 16:20:00
2019-11-18 23:05:00	21308	6.08	330.02	18.975	2.438	-1.257	2.147	0.05	16.94	21313	2019-11-18 23:30:00
2019-11-19 07:55:00	21414	5.93	315.046	9.66	0.51	-2.335	2.333	0.05	11.46	21419	2019-11-19 08:20:00
2019-12-09 22:30:00	23811	5.23	319.338	19.567	4.388	-2.632	3.135	0.04	28.90	23816	2019-12-09 22:55:00
2019-12-14 11:50:00	24969	5.72	317.871	17.13	3.825	-1.888	2.092	0.07	12.46	24974	2019-12-14 12:15:00
2019-12-16 20:45:00	25566	5.1	340.208	20.961	3.553	-0.868	2.378	0.07	19.85	25571	2019-12-16 21:10:00
