Start_str	Start_ind	Mgs#_avg	Clang_avg	Rmag_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)	Bdeviat	Dtheta	End_ind	End_str
2015-09-02 23:45:00	476	5.02	106.564	8.838	-5.7	4.35	-1.293	0.08	2.07	481	2015-09-03 00:10:00
2015-09-03 00:15:00	482	5.15	115.474	8.332	-5.85	3.313	-1.563	0.03	10.18	487	2015-09-03 00:40:00
2015-09-03 00:45:00	488	5.12	115.653	7.772	-5.965	3.333	-1.597	0.05	7.08	493	2015-09-03 01:10:00
2015-09-03 01:15:00	494	5.13	132.717	7.154	-6.372	2.278	-2.073	0.02	14.67	499	2015-09-03 01:40:00
2015-09-03 08:00:00	575	5.53	103.138	7.396	-4.532	3.383	-0.777	0.09	10.02	580	2015-09-03 08:25:00
2015-09-03 08:50:00	585	5.48	105.54	8.356	-4.672	2.973	-0.815	0.09	24.91	590	2015-09-03 09:15:00
2015-09-03 15:10:00	661	6.48	104.813	11.892	-1.303	6.158	-1.642	0.09	15.14	666	2015-09-03 15:35:00
2015-09-03 16:05:00	672	6.27	67.014	11.981	-0.125	6.607	2.823	0.09	19.90	677	2015-09-03 16:30:00
2015-09-03 16:35:00	678	6.15	72.993	11.989	2.4	6.92	2.138	0.05	9.57	683	2015-09-03 17:00:00
2015-09-03 17:30:00	689	5.85	89.431	11.93	-2.748	6.66	0.053	0.06	27.84	694	2015-09-03 17:55:00
2015-09-04 20:05:00	973	5.83	66.419	11.192	-3.162	3.962	1.748	0.03	9.59	978	2015-09-04 20:30:00
2015-09-04 20:35:00	979	5.73	73.896	10.957	-3.455	4.127	1.135	0.09	13.79	984	2015-09-04 21:00:00
2015-09-04 21:50:00	994	5.63	105.345	10.22	-1.415	5.747	-1.578	0.02	26.92	999	2015-09-04 22:15:00
2015-09-04 23:30:00	1014	5.87	70.046	8.866	0.705	5.42	1.94	0.09	28.44	1019	2015-09-04 23:55:00
2015-09-05 00:00:00	1020	5.92	90.168	8.363	-0.962	5.938	-0.018	0.04	10.06	1025	2015-09-05 00:25:00
2015-09-05 01:00:00	1032	5.85	86.829	7.192	-1.333	5.572	0.36	0.06	27.86	1037	2015-09-05 01:25:00
