Start_str	Start_ind	Mgs#_avg	Clang_avg	Rmag_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)	Bdeviat	Dtheta	End_ind	End_str
2019-09-03 18:30:00	797	6.58	116.989	13.338	-1.707	2.99	-1.552	0.09	29.87	802	2019-09-03 18:55:00
2019-09-04 02:20:00	891	6.92	58.58	20.458	-3.357	1.948	1.172	0.03	24.40	896	2019-09-04 02:45:00
2019-09-04 07:10:00	949	7.0	120.947	23.455	-0.945	3.142	-1.873	0.08	18.66	954	2019-09-04 07:35:00
2019-09-06 03:45:00	1469	6.33	120.439	23.241	-0.725	3.907	-2.318	0.08	20.25	1474	2019-09-06 04:10:00
2019-09-06 07:05:00	1495	6.33	120.254	21.219	-1.058	3.858	-2.277	0.08	29.85	1500	2019-09-06 07:30:00
2019-09-06 11:50:00	1552	5.22	103.863	17.576	-5.103	2.05	-0.548	0.01	29.92	1557	2019-09-06 12:15:00
2019-09-06 12:20:00	1558	5.03	79.215	17.13	-5.418	1.632	0.295	0.04	22.87	1563	2019-09-06 12:45:00
2019-09-06 16:30:00	1608	5.02	110.755	12.779	-4.202	2.74	-1.042	0.05	20.45	1613	2019-09-06 16:55:00
2019-09-06 17:00:00	1614	5.63	113.54	12.164	-3.113	3.207	-1.41	0.03	22.06	1619	2019-09-06 17:25:00
2019-09-06 17:30:00	1620	5.73	108.185	11.523	-3.325	3.168	-1.053	0.03	13.62	1625	2019-09-06 17:55:00
2019-09-07 04:10:00	1748	5.17	93.742	10.393	-4.7	1.928	-0.055	0.04	29.50	1753	2019-09-07 04:35:00
2019-09-07 05:00:00	1758	5.87	54.3	11.525	-3.997	2.032	1.45	0.04	20.63	1763	2019-09-07 05:25:00
2019-09-07 11:50:00	1840	6.42	85.981	18.569	-3.272	1.573	0.1	0.09	26.22	1845	2019-09-07 12:15:00
2019-09-07 15:20:00	1882	7.0	56.477	21.167	-0.087	2.422	1.627	0.08	21.75	1887	2019-09-07 15:45:00
2019-09-07 18:45:00	1923	6.73	105.325	23.245	-1.363	3.302	-0.96	0.03	16.95	1928	2019-09-07 19:10:00
2019-09-07 19:15:00	1929	6.63	110.259	23.516	-2.668	2.728	-1.013	0.03	8.42	1934	2019-09-07 19:40:00
2019-09-10 07:05:00	2635	5.17	55.277	9.545	-5.118	2.915	2.028	0.01	19.72	2640	2019-09-10 07:30:00
2019-09-10 07:35:00	2641	5.1	82.03	8.778	-5.278	3.055	0.447	0.03	22.44	2646	2019-09-10 08:00:00
2019-09-11 00:25:00	2707	5.58	54.622	18.924	-4.173	1.68	1.138	0.07	21.88	2712	2019-09-11 00:50:00
2019-09-11 00:55:00	2713	5.62	57.063	19.318	-4.285	1.747	1.118	0.03	16.35	2718	2019-09-11 01:20:00
2019-09-11 07:05:00	2787	5.3	118.024	23.346	-2.853	2.933	-1.563	0.06	14.86	2792	2019-09-11 07:30:00
2019-09-13 08:00:00	3370	5.23	51.118	20.86	-6.55	3.37	2.732	0.04	23.80	3375	2019-09-13 08:25:00
2019-09-13 18:15:00	3493	5.47	122.358	11.07	-3.955	0.742	-0.462	0.02	25.96	3498	2019-09-13 18:40:00
2019-09-14 18:20:00	3782	6.73	102.29	22.726	-0.468	3.583	-0.788	0.05	23.91	3787	2019-09-14 18:45:00
2019-09-14 19:10:00	3792	6.5	109.979	23.195	-1.825	3.088	-1.123	0.05	8.38	3797	2019-09-14 19:35:00
2019-09-16 19:45:00	4375	6.78	116.044	20.99	-3.262	2.8	-1.362	0.05	14.78	4380	2019-09-16 20:10:00
2019-09-16 20:15:00	4381	6.73	116.178	20.648	-3.423	3.145	-1.537	0.10	23.54	4386	2019-09-16 20:40:00
2019-09-16 21:40:00	4398	6.48	78.945	19.621	-2.692	3.81	0.725	0.03	29.02	4403	2019-09-16 22:05:00
2019-09-16 22:55:00	4413	6.37	96.828	18.643	-3.525	3.65	-0.453	0.09	16.86	4418	2019-09-16 23:20:00
2019-09-16 23:25:00	4419	6.73	112.446	18.231	-3.14	3.605	-1.498	0.04	19.60	4424	2019-09-16 23:50:00
2019-09-17 23:05:00	4703	7.0	65.49	17.515	-2.917	1.432	0.642	0.08	18.11	4708	2019-09-17 23:30:00
2019-09-20 19:40:00	5452	6.37	107.45	8.985	-2.238	0.702	-0.237	0.02	22.91	5457	2019-09-20 20:05:00
2019-09-21 12:00:00	5646	5.3	84.154	18.3	-1.052	5.363	0.52	0.05	16.00	5651	2019-09-21 12:25:00
2019-09-21 12:40:00	5654	5.3	109.993	18.844	0.282	5.007	-1.815	0.07	26.26	5659	2019-09-21 13:05:00
2019-09-21 13:20:00	5662	5.67	105.623	19.366	0.892	4.495	-1.258	0.07	24.84	5667	2019-09-21 13:45:00
2019-09-21 20:35:00	5749	6.05	129.993	23.924	-0.22	2.335	-1.957	0.09	16.47	5754	2019-09-21 21:00:00
2019-09-27 16:30:00	7389	5.42	93.397	13.492	-4.56	8.328	-0.468	0.10	23.86	7394	2019-09-27 16:55:00
2019-09-27 17:00:00	7395	5.3	105.288	12.909	-6.615	7.683	-2.102	0.06	20.92	7400	2019-09-27 17:25:00
2019-09-27 17:30:00	7401	5.27	108.848	12.303	-7.262	7.052	-2.403	0.08	18.53	7406	2019-09-27 17:55:00
2019-09-27 18:00:00	7407	5.35	120.599	11.672	-8.255	5.403	-3.188	0.04	13.80	7412	2019-09-27 18:25:00
2019-09-28 02:45:00	7501	6.05	110.731	7.044	-1.385	5.787	-2.187	0.02	22.33	7506	2019-09-28 03:10:00
2019-09-28 05:55:00	7539	5.67	125.23	11.763	-4.757	3.538	-2.483	0.06	9.03	7544	2019-09-28 06:20:00
2019-09-30 16:35:00	8224	5.37	81.275	23.046	-2.318	5.587	0.86	0.06	14.32	8229	2019-09-30 17:00:00
2019-09-30 21:30:00	8283	5.77	99.493	19.895	-3.01	5.608	-0.955	0.07	20.72	8288	2019-09-30 21:55:00
2019-09-30 22:00:00	8289	5.55	70.497	19.522	-3.777	4.632	1.565	0.05	23.55	8294	2019-09-30 22:25:00
2019-10-01 01:50:00	8335	5.2	134.512	16.265	-1.655	4.297	-4.17	0.07	28.47	8340	2019-10-01 02:15:00
2019-10-01 06:10:00	8387	5.18	126.247	11.452	-0.905	5.283	-3.893	0.03	29.01	8392	2019-10-01 06:35:00
2019-10-01 06:50:00	8395	5.47	84.647	10.559	-1.475	5.608	0.482	0.09	28.07	8400	2019-10-01 07:15:00
2019-10-01 20:20:00	8493	6.13	132.205	14.535	-3.06	1.29	-1.242	0.06	29.50	8498	2019-10-01 20:45:00
2019-10-01 23:10:00	8527	6.87	114.778	17.294	0.438	2.918	-1.378	0.07	13.91	8532	2019-10-01 23:35:00
2019-10-05 11:20:00	9266	6.42	107.203	17.508	-2.7	3.903	-1.213	0.04	9.11	9271	2019-10-05 11:45:00
2019-10-05 11:50:00	9272	6.4	107.91	17.94	-1.662	4.347	-1.413	0.04	14.04	9277	2019-10-05 12:15:00
2019-10-08 02:05:00	9985	6.28	121.14	16.156	2.965	2.317	-1.373	0.07	22.63	9990	2019-10-08 02:30:00
2019-10-08 06:40:00	10040	5.88	106.659	10.97	-2.797	3.485	-1.053	0.07	19.08	10045	2019-10-08 07:05:00
2019-10-09 00:25:00	10253	6.13	109.491	18.262	1.283	2.198	-0.773	0.08	28.49	10258	2019-10-09 00:50:00
2019-10-09 02:55:00	10283	5.28	89.204	20.192	-0.967	4.615	0.06	0.04	28.27	10288	2019-10-09 03:20:00
2019-10-09 03:25:00	10289	5.25	112.572	20.546	-0.883	4.077	-1.692	0.05	12.58	10294	2019-10-09 03:50:00
2019-10-09 03:55:00	10295	5.37	89.976	20.889	-1.247	4.433	-0.012	0.06	13.71	10300	2019-10-09 04:20:00
2019-10-09 04:25:00	10301	5.62	116.601	21.223	-0.755	4.113	-2.058	0.07	18.91	10306	2019-10-09 04:50:00
2019-10-09 05:50:00	10318	5.97	129.48	22.119	0.225	3.382	-2.785	0.03	8.41	10323	2019-10-09 06:15:00
2019-10-11 09:10:00	10752	5.57	102.986	20.297	-4.197	1.637	-0.377	0.03	27.63	10757	2019-10-11 09:35:00
2019-10-11 09:45:00	10759	5.68	68.546	19.876	-4.123	1.235	0.508	0.06	28.35	10764	2019-10-11 10:10:00
2019-10-11 10:25:00	10767	5.83	72.423	19.377	-3.86	1.575	0.52	0.02	21.66	10772	2019-10-11 10:50:00
2019-10-11 15:35:00	10829	6.63	49.652	14.755	-3.233	1.227	1.058	0.09	24.21	10834	2019-10-11 16:00:00
2019-10-11 19:35:00	10877	6.4	86.783	9.863	-3.267	1.083	0.028	0.02	24.65	10882	2019-10-11 20:00:00
