Start_str	Start_ind	Mgs#_avg	Clang_avg	Rmag_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)	Bdeviat	Dtheta	End_ind	End_str
2017-09-01 12:05:00	145	5.93	146.365	22.267	-0.523	3.928	-5.923	0.07	23.94	150	2017-09-01 12:30:00
2017-09-04 11:05:00	985	6.92	138.333	20.385	-1.873	2.195	-2.547	0.08	23.44	990	2017-09-04 11:30:00
2017-09-05 18:30:00	1362	6.3	156.493	20.008	-3.087	1.088	-2.51	0.02	9.65	1367	2017-09-05 18:55:00
2017-09-08 19:25:00	2216	6.97	156.322	22.798	2.597	1.763	-4.037	0.08	11.68	2221	2017-09-08 19:50:00
2017-09-08 19:55:00	2222	5.98	168.996	22.983	4.003	0.697	-3.5	0.02	17.29	2227	2017-09-08 20:20:00
2017-09-08 20:35:00	2230	5.13	146.603	23.217	4.572	1.54	-2.38	0.09	22.65	2235	2017-09-08 21:00:00
2017-09-08 21:05:00	2236	5.32	160.862	23.382	3.59	1.27	-3.673	0.06	21.73	2241	2017-09-08 21:30:00
2017-09-12 13:20:00	2809	5.8	145.227	23.522	-0.348	2.67	-3.843	0.05	14.37	2814	2017-09-12 13:45:00
2017-09-12 15:40:00	2837	6.23	155.287	22.711	1.158	1.522	-3.32	0.06	17.28	2842	2017-09-12 16:05:00
2017-09-14 06:35:00	3304	5.67	220.497	21.423	4.063	-1.307	-1.487	0.06	16.30	3309	2017-09-14 07:00:00
2017-09-15 11:25:00	3650	6.3	137.707	22.506	-3.765	2.938	-3.097	0.10	28.52	3655	2017-09-15 11:50:00
2017-09-15 11:55:00	3656	6.62	165.999	22.299	-2.832	1.225	-4.82	0.03	21.39	3661	2017-09-15 12:20:00
2017-09-15 20:15:00	3756	6.6	152.171	17.354	-2.972	2.232	-4.322	0.08	27.24	3761	2017-09-15 20:40:00
2017-09-19 19:55:00	4904	6.82	151.357	20.833	-1.553	1.715	-3.16	0.05	19.53	4909	2017-09-19 20:20:00
2017-09-19 20:35:00	4912	6.75	154.561	21.182	-2.155	1.36	-2.883	0.04	28.49	4917	2017-09-19 21:00:00
2017-09-19 21:05:00	4918	6.85	150.703	21.433	-1.995	1.628	-2.78	0.05	24.84	4923	2017-09-19 21:30:00
2017-09-19 21:35:00	4924	6.93	152.348	21.674	-1.448	1.565	-3.028	0.03	15.43	4929	2017-09-19 22:00:00
2017-09-20 00:25:00	4958	6.75	143.09	22.867	0.77	2.51	-3.342	0.03	18.40	4963	2017-09-20 00:50:00
2017-09-21 05:35:00	5308	6.62	150.0	20.67	-2.337	1.292	-2.23	0.10	9.72	5313	2017-09-21 06:00:00
2017-09-21 07:10:00	5327	6.72	175.682	19.746	-2.417	0.213	-2.43	0.09	25.06	5332	2017-09-21 07:35:00
2017-09-21 13:10:00	5399	6.58	153.672	15.104	-0.997	1.453	-2.795	0.07	29.98	5404	2017-09-21 13:35:00
2017-09-21 15:20:00	5425	5.73	165.58	12.842	-3.752	0.107	-0.517	0.03	22.09	5430	2017-09-21 15:45:00
2017-09-21 18:00:00	5457	5.88	149.199	9.39	-2.588	1.998	-3.385	0.06	26.00	5462	2017-09-21 18:25:00
2017-09-21 18:40:00	5465	5.88	137.19	8.364	-1.88	2.612	-2.793	0.05	29.06	5470	2017-09-21 19:05:00
2017-09-22 05:50:00	5599	5.58	147.519	13.72	-1.253	2.072	-3.248	0.01	11.19	5604	2017-09-22 06:15:00
2017-09-22 15:20:00	5713	5.73	136.589	20.963	-3.02	2.648	-2.85	0.04	26.84	5718	2017-09-22 15:45:00
2017-09-22 17:40:00	5741	5.67	165.915	22.088	0.003	1.322	-5.225	0.05	20.79	5746	2017-09-22 18:05:00
2017-09-22 19:30:00	5763	5.58	195.278	22.831	0.54	-1.297	-4.783	0.03	13.90	5768	2017-09-22 19:55:00
2017-09-23 16:55:00	6020	5.8	166.064	23.822	-2.675	0.56	-2.098	0.06	16.60	6025	2017-09-23 17:20:00
2017-09-23 18:00:00	6033	5.93	159.498	23.508	-0.382	1.232	-3.322	0.07	18.41	6038	2017-09-23 18:25:00
2017-09-23 18:55:00	6044	5.97	146.587	23.213	0.293	2.165	-3.28	0.04	25.89	6049	2017-09-23 19:20:00
2017-09-24 03:00:00	6141	5.38	140.76	19.294	-4.133	1.75	-2.138	0.03	19.55	6146	2017-09-24 03:25:00
2017-09-24 14:05:00	6274	5.98	137.594	7.885	2.095	3.783	-4.125	0.07	21.62	6279	2017-09-24 14:30:00
2017-09-27 18:55:00	7196	5.05	150.513	12.361	-5.193	4.345	-7.852	0.06	28.00	7201	2017-09-27 19:20:00
2017-09-28 05:10:00	7319	5.55	171.829	20.725	-2.292	1.222	-8.673	0.05	19.77	7324	2017-09-28 05:35:00
2017-09-28 07:05:00	7342	6.12	156.753	21.701	-2.813	3.275	-7.7	0.06	26.28	7347	2017-09-28 07:30:00
2017-09-30 10:40:00	7960	6.55	150.104	7.311	-3.373	1.413	-2.377	0.05	19.07	7965	2017-09-30 11:05:00
2017-09-30 11:10:00	7966	6.73	155.588	8.155	-2.562	1.348	-3.062	0.02	28.25	7971	2017-09-30 11:35:00
2017-09-30 12:00:00	7976	6.8	178.128	9.448	-2.517	0.11	-3.383	0.01	15.35	7981	2017-09-30 12:25:00
2017-09-30 12:30:00	7982	6.68	159.38	10.165	-2.09	1.398	-3.532	0.06	22.05	7987	2017-09-30 12:55:00
2017-09-30 13:00:00	7988	6.4	151.464	10.846	-1.805	2.117	-3.947	0.10	25.27	7993	2017-09-30 13:25:00
2017-09-30 13:30:00	7994	6.5	141.325	11.493	-1.23	2.933	-3.663	0.03	6.49	7999	2017-09-30 13:55:00
2017-09-30 14:00:00	8000	6.45	142.683	12.11	-0.985	2.86	-3.755	0.03	20.29	8005	2017-09-30 14:25:00
2017-09-30 14:30:00	8006	6.33	154.082	12.7	-1.748	1.95	-4.027	0.01	8.45	8011	2017-09-30 14:55:00
2017-09-30 16:15:00	8027	6.75	143.089	14.579	-1.113	2.495	-3.197	0.09	27.72	8032	2017-09-30 16:40:00
2017-09-30 16:45:00	8033	6.73	192.849	15.069	-1.847	-0.888	-3.933	0.04	27.92	8038	2017-09-30 17:10:00
2017-10-01 05:35:00	8187	6.33	187.182	23.024	0.393	-0.578	-4.68	0.04	13.28	8192	2017-10-01 06:00:00
2017-10-09 00:00:00	10411	5.85	224.048	11.418	1.482	-2.362	-2.418	0.07	25.60	10416	2017-10-09 00:25:00
2017-10-09 00:30:00	10417	5.83	221.083	12.033	1.737	-2.152	-2.488	0.06	13.68	10422	2017-10-09 00:55:00
2017-10-10 22:30:00	10960	5.5	179.505	19.872	-4.653	0.065	-5.43	0.05	19.49	10965	2017-10-10 22:55:00
2017-10-11 04:00:00	11026	5.45	160.054	15.789	-1.135	2.538	-7.037	0.09	22.43	11031	2017-10-11 04:25:00
2017-10-11 04:30:00	11032	5.35	183.967	15.331	-1.998	-0.482	-7.305	0.04	16.25	11037	2017-10-11 04:55:00
2017-10-13 09:15:00	11662	6.58	177.734	23.727	-2.567	0.128	-4.333	0.05	14.67	11667	2017-10-13 09:40:00
2017-10-13 10:25:00	11676	6.22	156.617	23.375	-4.517	1.622	-3.803	0.07	15.14	11681	2017-10-13 10:50:00
2017-10-13 10:55:00	11682	6.78	167.477	23.211	-1.533	1.112	-4.993	0.07	14.19	11687	2017-10-13 11:20:00
2017-10-13 11:25:00	11688	6.68	163.285	23.038	-3.527	1.035	-4.018	0.08	17.84	11693	2017-10-13 11:50:00
2017-10-13 14:40:00	11727	6.63	145.145	21.708	-4.255	3.043	-4.457	0.08	21.80	11732	2017-10-13 15:05:00
2017-10-13 18:45:00	11776	6.7	167.326	19.469	-3.25	1.27	-5.74	0.09	12.64	11781	2017-10-13 19:10:00
2017-10-14 04:30:00	11893	6.88	145.875	10.385	-2.658	2.585	-3.792	0.08	23.08	11898	2017-10-14 04:55:00
2017-10-17 09:05:00	12776	6.95	151.485	9.094	-2.775	0.7	-1.325	0.07	17.72	12781	2017-10-17 09:30:00
2017-10-17 09:35:00	12782	6.92	140.505	9.824	-2.752	1.097	-1.305	0.06	21.09	12787	2017-10-17 10:00:00
2017-10-18 23:25:00	13236	6.62	181.453	23.979	3.265	-0.093	-3.293	0.02	13.96	13241	2017-10-18 23:50:00
2017-10-18 23:55:00	13242	6.6	184.513	23.849	3.283	-0.257	-3.302	0.01	8.08	13247	2017-10-19 00:20:00
2017-10-19 07:25:00	13332	6.05	153.234	20.897	-3.13	1.963	-3.995	0.09	26.38	13337	2017-10-19 07:50:00
2017-10-19 08:20:00	13343	5.93	138.276	20.394	-4.193	2.728	-3.053	0.02	7.67	13348	2017-10-19 08:45:00
2017-10-20 04:15:00	13581	6.73	168.696	8.535	-0.482	0.805	-4.117	0.09	25.25	13586	2017-10-20 04:40:00
2017-10-20 20:45:00	13779	6.38	180.929	22.324	-1.96	-0.048	-3.107	0.09	25.31	13784	2017-10-20 21:10:00
