Start_str	Start_ind	Mgs#_avg	Clang_avg	Rmag_avg	Bx_avg(nT)	By_avg(nT)	Bz_avg(nT)	Bdeviat	Dtheta	End_ind	End_str
2019-09-07 08:30:00	1800	6.32	151.915	15.537	-2.653	0.997	-2.025	0.06	19.66	1805	2019-09-07 08:55:00
2019-09-09 15:50:00	2464	6.7	139.669	23.293	-0.97	2.543	-2.997	0.09	9.91	2469	2019-09-09 16:15:00
2019-09-09 16:20:00	2470	6.58	148.004	23.015	-0.337	2.268	-3.635	0.09	6.29	2475	2019-09-09 16:45:00
2019-09-09 22:55:00	2537	6.07	223.586	18.504	-4.108	-1.18	-1.218	0.06	23.37	2542	2019-09-09 23:20:00
2019-09-14 02:30:00	3592	5.93	144.648	7.068	-2.94	0.853	-1.18	0.04	22.64	3597	2019-09-14 02:55:00
2019-09-14 04:25:00	3615	5.73	191.657	10.109	-2.937	-0.392	-2.265	0.03	21.78	3620	2019-09-14 04:50:00
2019-09-14 05:25:00	3627	6.03	208.009	11.478	-2.487	-1.278	-2.372	0.05	29.11	3632	2019-09-14 05:50:00
2019-09-14 05:55:00	3633	6.07	216.507	12.119	-2.66	-1.482	-1.918	0.02	19.88	3638	2019-09-14 06:20:00
2019-09-20 03:45:00	5334	5.78	196.91	23.399	-2.997	-0.353	-1.175	0.02	26.80	5339	2019-09-20 04:10:00
2019-09-20 04:15:00	5340	5.8	218.134	23.127	-2.968	-0.783	-1.003	0.02	17.28	5345	2019-09-20 04:40:00
2019-09-20 04:45:00	5346	5.8	214.552	22.846	-2.907	-0.782	-1.143	0.01	8.09	5351	2019-09-20 05:10:00
2019-09-20 05:35:00	5356	6.05	216.98	22.361	-2.632	-0.813	-1.117	0.05	27.31	5361	2019-09-20 06:00:00
2019-09-20 06:10:00	5363	6.1	208.64	22.007	-2.688	-0.67	-1.198	0.03	28.30	5368	2019-09-20 06:35:00
2019-09-20 06:40:00	5369	6.12	206.87	21.694	-2.37	-0.908	-1.787	0.02	14.05	5374	2019-09-20 07:05:00
2019-09-20 07:10:00	5375	6.13	186.715	21.372	-2.597	-0.175	-1.528	0.02	17.98	5380	2019-09-20 07:35:00
2019-09-20 07:40:00	5381	6.22	177.973	21.04	-2.805	0.038	-1.213	0.03	15.41	5386	2019-09-20 08:05:00
2019-09-20 08:20:00	5389	6.17	191.451	20.583	-2.962	-0.162	-0.8	0.01	23.62	5394	2019-09-20 08:45:00
2019-09-20 20:25:00	5461	6.37	211.973	7.78	-2.128	-0.532	-0.838	0.03	10.95	5466	2019-09-20 20:50:00
2019-09-21 02:30:00	5534	6.25	188.912	7.074	-1.908	-0.213	-1.425	0.09	27.41	5539	2019-09-21 02:55:00
2019-09-21 04:20:00	5556	6.17	174.952	9.986	-1.267	0.267	-3.07	0.08	8.05	5561	2019-09-21 04:45:00
2019-09-21 15:05:00	5683	5.58	153.521	20.646	0.33	1.89	-3.785	0.06	21.69	5688	2019-09-21 15:30:00
2019-09-21 19:20:00	5734	5.82	185.464	23.268	1.443	-0.342	-3.602	0.05	29.79	5739	2019-09-21 19:45:00
2019-09-23 14:50:00	6240	5.55	211.576	23.931	2.92	-1.137	-1.83	0.07	19.75	6245	2019-09-23 15:15:00
2019-09-23 15:45:00	6251	5.25	220.792	23.456	2.348	-2.457	-2.848	0.07	12.22	6256	2019-09-23 16:10:00
2019-09-23 23:35:00	6345	6.2	213.828	18.174	-1.648	-1.733	-2.585	0.08	11.10	6350	2019-09-24 00:00:00
2019-09-24 00:40:00	6358	5.73	203.769	17.235	-0.445	-1.932	-4.397	0.09	8.66	6363	2019-09-24 01:05:00
2019-09-24 02:10:00	6376	5.97	206.676	15.826	-0.755	-2.137	-4.252	0.08	5.27	6381	2019-09-24 02:35:00
2019-09-24 03:10:00	6388	5.28	199.849	14.807	-1.122	-2.04	-5.67	0.09	10.39	6393	2019-09-24 03:35:00
2019-09-24 03:40:00	6394	5.23	191.826	14.272	-0.578	-1.215	-5.818	0.04	9.65	6399	2019-09-24 04:05:00
2019-09-24 04:10:00	6400	5.23	182.268	13.717	-0.19	-0.233	-5.878	0.01	3.98	6405	2019-09-24 04:35:00
2019-09-24 04:40:00	6406	5.32	183.706	13.141	-1.212	-0.35	-5.482	0.05	5.98	6411	2019-09-24 05:05:00
2019-09-24 05:15:00	6413	5.07	181.527	12.442	-2.218	-0.15	-5.705	0.06	7.00	6418	2019-09-24 05:40:00
2019-09-28 08:30:00	7570	6.92	153.639	14.759	-2.765	2.17	-4.372	0.04	9.60	7575	2019-09-28 08:55:00
2019-10-01 02:20:00	8341	5.2	165.769	15.78	-2.515	1.413	-5.712	0.07	25.35	8346	2019-10-01 02:45:00
2019-10-01 02:50:00	8347	5.03	153.231	15.28	-3.172	2.418	-4.817	0.02	28.32	8352	2019-10-01 03:15:00
2019-10-01 05:40:00	8381	5.25	149.241	12.09	-0.912	3.207	-5.335	0.06	29.03	8386	2019-10-01 06:05:00
2019-10-01 19:25:00	8482	6.68	150.526	13.524	-1.08	1.585	-2.825	0.06	23.77	8487	2019-10-01 19:50:00
2019-10-01 20:55:00	8500	6.75	140.013	15.145	-2.487	1.31	-1.49	0.05	26.20	8505	2019-10-01 21:20:00
2019-10-01 21:25:00	8506	5.93	145.298	15.65	-2.73	1.71	-2.488	0.04	13.38	8511	2019-10-01 21:50:00
2019-10-01 22:25:00	8518	6.4	149.897	16.612	-1.963	1.867	-3.227	0.08	5.97	8523	2019-10-01 22:50:00
2019-10-02 00:30:00	8543	6.23	137.123	18.432	-1.668	1.473	-1.613	0.06	9.59	8548	2019-10-02 00:55:00
2019-10-05 13:35:00	9293	6.4	146.531	19.352	3.275	1.983	-2.987	0.09	17.84	9298	2019-10-05 14:00:00
2019-10-05 19:35:00	9365	6.07	171.989	23.243	-2.823	0.53	-3.818	0.08	28.47	9370	2019-10-05 20:00:00
2019-10-07 15:40:00	9860	5.2	138.455	23.611	0.292	3.89	-4.387	0.06	21.25	9865	2019-10-07 16:05:00
2019-10-09 06:40:00	10328	6.47	193.464	22.613	1.775	-0.817	-3.395	0.08	27.87	10333	2019-10-09 07:05:00
