Start_str	Mgs#_avg	Clang_avg	Rmag_avg	omniBxGSE_avg(nT)	omniByGSE_avg(nT)	omniBzGSE_avg(nT)	Bdeviat	Dtheta	Shock_Ang(deg)	OMNIVsw_avg(km/s)	End_str
2018-09-01 01:20:00	6.43	284.177	18.733	-3.255	-1.097	0.028	0.05	23.74	24.611	371.167	2018-09-01 01:45:00
2018-09-01 03:45:00	6.48	312.375	20.288	-2.53	-1.998	0.828	0.05	13.52	45.471	374.583	2018-09-01 04:10:00
2018-09-01 06:20:00	6.63	30.068	21.672	-2.18	0.25	2.782	0.05	29.64	50.785	382.217	2018-09-01 06:45:00
2018-09-01 10:45:00	6.82	347.126	23.462	-0.865	-2.187	2.2	0.04	14.61	77.287	373.733	2018-09-01 11:10:00
2018-09-02 09:00:00	6.72	308.625	23.407	1.515	-2.29	0.317	0.05	5.62	50.96200180053711	327.667	2018-09-02 09:25:00
2018-09-02 09:30:00	6.6	313.785	23.235	1.79	-2.005	0.443	0.06	9.89	43.220001220703125	322.1	2018-09-02 09:55:00
2018-09-02 11:30:00	6.12	302.135	22.464	1.747	-2.735	0.032	0.06	25.33	51.75199890136719	319.033	2018-09-02 11:55:00
2018-09-02 12:00:00	6.08	305.265	22.249	2.21	-2.452	0.177	0.02	13.06	42.034000396728516	318.217	2018-09-02 12:25:00
2018-09-02 13:00:00	6.13	272.441	21.792	2.028	-2.15	-1.123	0.03	9.03	44.055999755859375	315.783	2018-09-02 13:25:00
2018-09-02 13:30:00	6.18	279.607	21.55	1.188	-2.632	-0.937	0.06	22.82	60.90299987792969	315.0	2018-09-02 13:55:00
2018-09-02 14:15:00	6.02	259.472	21.169	2.063	-2.238	-1.793	0.09	28.76	49.09600067138672	316.317	2018-09-02 14:40:00
2018-09-02 15:15:00	5.28	230.807	20.625	2.015	-1.682	-3.728	0.09	26.93	60.49399948120117	334.6	2018-09-02 15:40:00
2018-09-02 16:40:00	6.58	173.028	19.782	-1.895	1.515	-2.697	0.08	23.69	57.263	351.55	2018-09-02 17:05:00
2018-09-02 22:10:00	6.87	80.565	15.563	-2.445	1.715	0.648	0.10	28.58	32.129	357.817	2018-09-02 22:35:00
2018-09-03 04:35:00	5.27	295.615	7.56	1.872	-5.327	0.335	0.06	20.86	65.49400329589844	338.65	2018-09-03 05:00:00
2018-09-03 10:20:00	6.72	350.88	7.14	-2.507	-1.27	1.45	0.06	19.60	40.619	339.55	2018-09-03 10:45:00
2018-09-03 12:30:00	6.17	276.82	10.512	-0.623	-3.562	-1.595	0.07	23.66	86.319	337.017	2018-09-03 12:55:00
2018-09-03 15:35:00	5.9	231.894	14.18	4.18	-1.395	-2.762	0.07	23.30	33.64099884033203	352.183	2018-09-03 16:00:00
2018-09-04 04:40:00	5.13	179.212	22.874	4.72	2.307	-5.282	0.04	17.95	51.5989990234375	361.133	2018-09-04 05:05:00
2018-09-04 05:10:00	5.1	171.311	23.062	3.877	3.39	-5.345	0.07	14.14	60.14699935913086	358.767	2018-09-04 05:35:00
2018-09-04 06:50:00	6.42	119.824	23.63	0.638	4.615	-0.183	0.08	24.55	86.60299682617188	361.167	2018-09-04 07:15:00
2018-09-05 05:25:00	5.07	28.522	23.136	-6.432	0.315	3.98	0.07	25.54	30.89	452.467	2018-09-05 05:50:00
2018-09-05 13:15:00	5.3	174.36	19.166	-1.238	2.798	-3.985	0.09	25.19	75.942	482.383	2018-09-05 13:40:00
2018-09-05 15:45:00	6.17	154.097	17.332	-2.01	2.895	-2.395	0.09	25.64	61.447	474.75	2018-09-05 16:10:00
2018-09-05 20:45:00	6.43	275.868	12.466	3.353	-1.773	-0.258	0.06	4.66	25.63599967956543	441.55	2018-09-05 21:10:00
2018-09-05 21:15:00	6.45	282.102	11.86	3.297	-1.63	-0.052	0.08	10.26	23.99799919128418	443.65	2018-09-05 21:40:00
2018-09-06 15:55:00	7.0	87.721	18.291	-0.273	2.492	1.232	0.07	28.33	81.487	391.95	2018-09-06 16:20:00
2018-09-06 19:35:00	6.08	109.551	20.653	-1.908	3.955	-0.268	0.04	14.07	61.65	382.267	2018-09-06 20:00:00
2018-09-07 22:20:00	6.1	267.447	23.994	2.208	-2.842	-0.808	0.03	18.23	51.18600082397461	408.117	2018-09-07 22:45:00
2018-09-08 09:35:00	6.97	297.147	18.684	1.833	-3.993	-0.335	0.09	7.69	63.03900146484375	376.767	2018-09-08 10:00:00
2018-09-08 11:20:00	6.47	129.735	17.371	-3.628	1.212	-0.202	0.02	29.56	16.706	361.15	2018-09-08 11:45:00
2018-09-08 11:50:00	6.32	113.122	16.965	-3.707	1.15	0.182	0.05	18.31	14.696	357.433	2018-09-08 12:15:00
2018-09-08 12:40:00	6.68	119.08	16.254	-2.893	1.765	0.062	0.08	20.01	29.054	360.85	2018-09-08 13:05:00
2018-09-08 16:10:00	6.5	123.331	12.722	-1.235	3.848	-0.585	0.09	24.35	70.109	370.767	2018-09-08 16:35:00
2018-09-08 18:20:00	5.92	271.183	9.938	-1.725	-4.338	-1.39	0.09	28.83	79.124	380.017	2018-09-08 18:45:00
2018-09-08 18:50:00	5.93	282.658	9.203	-0.78	-4.91	-0.392	0.03	21.56	88.04499816894531	377.65	2018-09-08 19:15:00
2018-09-08 19:20:00	5.85	286.865	8.424	-0.805	-4.505	0.033	0.09	18.79	88.37100219726562	385.583	2018-09-08 19:45:00
2018-09-08 19:50:00	5.48	343.858	7.593	4.67	-1.298	2.112	0.02	11.90	20.591999053955078	377.567	2018-09-08 20:15:00
2018-09-09 02:10:00	6.98	86.372	8.094	-2.75	1.673	0.645	0.05	10.18	31.081	395.05	2018-09-09 02:35:00
2018-09-09 09:00:00	5.6	303.809	16.221	-2.09	-5.287	0.217	0.06	14.50	70.399	375.317	2018-09-09 09:25:00
2018-09-09 09:30:00	5.3	307.855	16.654	-1.097	-5.635	0.585	0.05	11.63	80.776	377.433	2018-09-09 09:55:00
2018-09-09 12:05:00	5.02	337.09	18.655	-1.563	-5.083	3.608	0.04	8.65	76.727	374.417	2018-09-09 12:30:00
2018-09-09 14:10:00	5.22	34.229	20.021	-1.475	0.638	6.388	0.05	29.60	75.802	364.45	2018-09-09 14:35:00
2018-09-09 17:45:00	5.35	355.995	21.931	0.397	-1.972	4.437	0.07	8.12	85.60900115966797	354.567	2018-09-09 18:10:00
2018-09-09 18:15:00	5.68	355.304	22.158	0.222	-1.888	4.345	0.06	8.53	87.72100067138672	359.1	2018-09-09 18:40:00
2018-09-09 20:50:00	6.82	189.264	23.189	-0.038	0.275	-3.185	0.07	21.93	89.56400299072266	373.867	2018-09-09 21:15:00
2018-09-09 22:40:00	6.83	61.636	23.783	-3.433	0.945	0.838	0.05	11.36	18.672	415.6	2018-09-09 23:05:00
2018-09-09 23:10:00	6.88	69.275	23.927	-3.295	1.092	0.745	0.01	3.71	20.299	413.317	2018-09-09 23:35:00
2018-09-11 03:00:00	5.23	105.293	20.085	-5.858	6.377	0.503	0.10	15.26	48.481	555.3	2018-09-11 03:25:00
2018-09-11 23:50:00	5.85	37.157	11.111	-3.027	2.107	4.938	0.06	12.48	60.052	564.55	2018-09-12 00:15:00
2018-09-12 07:00:00	5.5	303.356	18.149	-3.583	-3.352	0.392	0.03	25.99	42.471	540.433	2018-09-12 07:25:00
2018-09-12 08:15:00	5.65	89.155	19.035	-4.585	1.965	1.207	0.09	11.75	27.372	530.817	2018-09-12 08:40:00
2018-09-12 08:45:00	5.25	88.295	19.367	-4.73	2.112	1.385	0.05	5.62	28.587	518.017	2018-09-12 09:10:00
2018-09-12 12:30:00	6.1	41.272	21.51	-3.247	0.593	3.325	0.08	16.65	45.147	519.267	2018-09-12 12:55:00
2018-09-12 16:00:00	5.48	131.367	23.017	-4.28	2.278	-0.628	0.09	24.18	30.57	479.5	2018-09-12 16:25:00
2018-09-12 17:00:00	5.52	112.475	23.369	-4.605	2.3	0.067	0.06	20.28	27.827	471.85	2018-09-12 17:25:00
2018-09-12 17:30:00	6.15	113.6	23.532	-2.302	4.283	-0.235	0.04	15.78	63.145	480.583	2018-09-12 17:55:00
2018-09-12 18:30:00	6.55	105.321	23.835	0.022	4.518	0.248	0.09	19.51	88.45099639892578	500.083	2018-09-12 18:55:00
2018-09-13 14:15:00	5.62	104.855	23.735	-3.587	5.155	1.268	0.08	19.15	57.215	480.617	2018-09-13 14:40:00
2018-09-13 15:15:00	5.43	159.729	23.421	-0.76	4.733	-4.497	0.04	29.52	85.451	495.417	2018-09-13 15:40:00
2018-09-13 19:50:00	5.75	103.353	21.547	-4.755	2.68	0.118	0.10	25.89	31.684	510.883	2018-09-13 20:15:00
2018-09-13 23:20:00	6.0	119.235	19.578	-2.858	4.42	-1.222	0.06	11.52	60.705	549.85	2018-09-13 23:45:00
2018-09-14 01:55:00	5.85	172.985	17.769	1.347	2.268	-5.068	0.05	28.66	74.83699798583984	566.533	2018-09-14 02:20:00
2018-09-14 06:40:00	6.8	74.617	13.404	-3.932	1.03	0.967	0.04	18.01	20.888	555.583	2018-09-14 07:05:00
2018-09-14 09:05:00	6.88	105.847	10.442	-4.05	1.517	0.448	0.04	25.10	23.677	553.817	2018-09-14 09:30:00
2018-09-14 09:55:00	6.67	186.582	9.246	-3.703	1.245	-2.555	0.02	16.59	39.945	548.783	2018-09-14 10:20:00
2018-09-14 10:25:00	6.55	184.147	8.471	-4.13	0.998	-1.865	0.02	29.72	29.83	545.867	2018-09-14 10:50:00
2018-09-16 15:15:00	7.0	106.546	21.619	-2.907	1.095	0.193	0.05	6.56	22.307	400.733	2018-09-16 15:40:00
2018-09-16 21:20:00	6.62	151.073	17.879	-3.38	1.02	-1.08	0.05	14.76	25.789	382.183	2018-09-16 21:45:00
2018-09-16 22:05:00	6.68	132.103	17.294	-3.348	0.85	-0.467	0.05	9.90	18.009	378.917	2018-09-16 22:30:00
2018-09-17 14:40:00	5.37	308.188	10.771	3.258	-7.34	1.282	0.04	29.16	70.29399871826172	515.0	2018-09-17 15:05:00
2018-09-17 15:10:00	5.4	313.826	11.424	4.428	-6.11	1.895	0.07	20.50	59.292999267578125	512.317	2018-09-17 15:35:00
2018-09-17 15:40:00	5.35	314.757	12.048	5.632	-5.75	1.945	0.06	27.23	51.44900131225586	506.633	2018-09-17 16:05:00
2018-09-18 00:00:00	6.97	344.254	19.471	2.562	-1.595	2.56	0.04	24.88	53.07600021362305	534.25	2018-09-18 00:25:00
2018-09-18 01:40:00	6.62	313.139	20.486	2.94	-3.125	1.525	0.07	24.17	54.21900177001953	535.733	2018-09-18 02:05:00
2018-09-19 06:10:00	6.98	269.669	23.531	-0.98	-2.135	-1.152	0.05	20.62	67.838	462.85	2018-09-19 06:35:00
2018-09-19 09:45:00	6.37	226.154	22.166	3.665	-0.242	-0.977	0.03	19.01	15.3149995803833	444.667	2018-09-19 10:10:00
2018-09-19 10:20:00	6.45	258.025	21.901	3.423	-1.11	-1.092	0.02	17.91	26.142000198364258	439.517	2018-09-19 10:45:00
2018-09-19 10:50:00	6.12	267.664	21.664	3.738	-1.23	-0.872	0.05	7.62	24.06999969482422	439.417	2018-09-19 11:15:00
2018-09-19 13:00:00	6.03	290.573	20.524	3.835	-1.412	-0.263	0.04	15.86	23.673999786376953	434.233	2018-09-19 13:25:00
2018-09-19 14:25:00	6.12	260.958	19.673	3.895	-1.138	-0.867	0.08	10.76	22.038999557495117	429.717	2018-09-19 14:50:00
2018-09-19 15:10:00	6.37	281.59	19.186	3.742	-0.97	-0.255	0.03	17.67	17.954999923706055	428.4	2018-09-19 15:35:00
2018-09-19 17:45:00	6.77	330.605	17.295	-1.188	-1.483	1.293	0.09	27.05	56.07	416.65	2018-09-19 18:10:00
2018-09-19 18:40:00	6.45	327.587	16.535	-2.332	-1.858	1.552	0.09	20.65	43.409	408.333	2018-09-19 19:05:00
2018-09-19 19:10:00	6.33	325.89	16.098	-2.65	-1.81	1.437	0.02	11.58	38.071	403.683	2018-09-19 19:35:00
2018-09-19 20:35:00	6.17	296.052	14.769	-2.947	-2.033	0.388	0.09	8.08	32.076	401.2	2018-09-19 21:00:00
2018-09-19 21:35:00	6.48	302.482	13.739	-1.58	-2.445	0.807	0.08	15.36	55.539	393.733	2018-09-19 22:00:00
2018-09-19 22:05:00	6.5	302.483	13.191	-1.302	-2.692	0.898	0.04	7.27	62.315	393.667	2018-09-19 22:30:00
2018-09-20 00:15:00	6.1	319.926	10.519	1.5	-2.708	1.882	0.08	18.60	68.86399841308594	394.95	2018-09-20 00:40:00
2018-09-20 01:35:00	5.27	68.407	8.558	4.147	1.173	0.925	0.09	13.76	18.75	397.7	2018-09-20 02:00:00
2018-09-20 02:05:00	5.25	49.48	7.738	3.965	0.8	1.342	0.07	20.14	21.663999557495117	392.983	2018-09-20 02:30:00
2018-09-20 07:55:00	5.9	237.28	7.065	2.825	-0.538	-1.082	0.09	28.05	23.69499969482422	379.983	2018-09-20 08:20:00
2018-09-20 08:40:00	6.37	297.476	8.34	-0.068	-2.57	-0.202	0.09	18.16	85.982	379.317	2018-09-20 09:05:00
2018-09-20 12:10:00	5.98	276.928	13.038	1.365	-2.817	-1.325	0.09	23.21	68.30699920654297	363.9	2018-09-20 12:35:00
2018-09-20 12:40:00	6.03	275.695	13.592	1.493	-2.735	-1.33	0.05	15.68	65.53199768066406	363.683	2018-09-20 13:05:00
2018-09-20 13:10:00	6.1	277.6	14.123	0.898	-3.105	-1.335	0.03	8.37	76.80400085449219	364.167	2018-09-20 13:35:00
2018-09-20 14:00:00	5.65	325.064	14.962	1.807	-3.432	1.657	0.04	13.17	67.40799713134766	358.9	2018-09-20 14:25:00
2018-09-20 14:50:00	6.2	312.751	15.749	1.063	-3.215	0.88	0.06	16.05	75.0260009765625	358.95	2018-09-20 15:15:00
2018-09-20 15:20:00	6.07	330.338	16.199	1.532	-2.69	1.805	0.04	18.21	67.49299621582031	355.583	2018-09-20 15:45:00
2018-09-20 15:50:00	6.22	348.399	16.631	1.292	-1.748	2.345	0.09	16.36	68.87200164794922	354.017	2018-09-20 16:15:00
2018-09-20 16:20:00	6.43	327.866	17.048	0.327	-2.368	1.598	0.08	19.67	86.24500274658203	354.167	2018-09-20 16:45:00
2018-09-20 16:50:00	6.3	332.7	17.451	1.438	-1.333	1.09	0.03	12.73	52.30799865722656	347.333	2018-09-20 17:15:00
