Start_str	Mgs#_avg	Clang_avg	Rmag_avg	omniBxGSE_avg(nT)	omniByGSE_avg(nT)	omniBzGSE_avg(nT)	Bdeviat	Dtheta	Shock_Ang(deg)	OMNIVsw_avg(km/s)	End_str
2016-09-06 03:40:00	5.8	349.356	10.229	-5.242	-0.352	0.588	0.07	15.87	12.89	529.183	2016-09-06 04:05:00
2016-09-17 12:40:00	5.2	350.45	7.756	2.868	-4.383	5.022	0.04	11.11	62.659000396728516	301.533	2016-09-17 13:05:00
2016-09-21 14:10:00	6.62	317.99	9.674	1.105	-4.288	1.473	0.05	21.53	74.322998046875	531.667	2016-09-21 14:35:00
2016-09-21 14:40:00	6.53	322.16	10.051	0.973	-4.378	1.975	0.02	17.23	76.82099914550781	528.683	2016-09-21 15:05:00
2016-09-21 15:15:00	6.4	320.582	10.441	-0.462	-4.775	2.13	0.05	3.31	86.835	526.85	2016-09-21 15:40:00
2016-09-22 13:40:00	5.75	353.434	9.358	3.883	-1.8	2.435	0.05	11.54	37.79899978637695	464.367	2016-09-22 14:05:00
2016-09-22 14:10:00	5.87	352.339	9.765	4.14	-1.457	1.97	0.02	8.22	30.474000930786133	460.8	2016-09-22 14:35:00
2016-09-22 18:45:00	6.52	329.095	11.851	4.698	-1.327	1.162	0.01	22.21	12.616999626159668	453.233	2016-09-22 19:10:00
2016-09-22 19:15:00	6.5	316.139	11.922	4.697	-1.333	0.743	0.02	2.83	9.121000289916992	451.05	2016-09-22 19:40:00
2016-09-22 19:45:00	6.63	321.339	11.964	4.588	-1.343	0.973	0.01	17.13	11.463000297546387	451.433	2016-09-22 20:10:00
2016-09-22 20:15:00	6.7	331.765	11.978	4.42	-1.318	1.392	0.01	9.77	15.682000160217285	451.067	2016-09-22 20:40:00
2016-09-22 21:00:00	6.42	335.534	11.946	4.453	-1.198	1.48	0.01	17.00	22.979000091552734	449.5	2016-09-22 21:25:00
2016-09-22 21:30:00	6.55	344.328	11.89	4.287	-0.955	1.668	0.10	9.29	24.46500015258789	447.367	2016-09-22 21:55:00
2016-09-22 22:00:00	6.47	343.059	11.804	4.287	-0.918	1.543	0.04	9.03	23.009000778198242	443.95	2016-09-22 22:25:00
2016-09-22 22:50:00	6.37	350.033	11.597	4.375	-0.785	1.787	0.09	12.77	24.7549991607666	444.567	2016-09-22 23:15:00
2016-09-22 23:20:00	6.25	350.575	11.433	4.373	-0.865	1.983	0.05	10.33	27.04599952697754	444.117	2016-09-22 23:45:00
2016-09-23 11:25:00	5.67	346.373	7.076	0.05	-4.172	3.977	0.02	10.56	87.97599792480469	384.533	2016-09-23 11:50:00
2016-09-23 11:55:00	5.82	346.052	7.701	-0.247	-4.063	3.875	0.02	12.88	89.039	385.3	2016-09-23 12:20:00
2016-09-23 12:25:00	5.75	352.18	8.266	0.88	-3.485	4.202	0.06	10.00	79.73500061035156	378.333	2016-09-23 12:50:00
2016-09-23 13:00:00	6.32	335.009	8.858	-0.458	-4.42	2.933	0.07	27.89	87.461	387.333	2016-09-23 13:25:00
2016-09-23 16:35:00	6.22	321.029	11.253	-2.957	-4.202	2.223	0.05	9.21	60.656	388.3	2016-09-23 17:00:00
2016-09-23 17:35:00	6.15	316.111	11.607	-4.102	-3.273	1.538	0.01	17.08	44.131	392.1	2016-09-23 18:00:00
2016-09-23 20:55:00	5.52	338.856	11.944	0.597	-3.565	4.94	0.09	6.12	83.75299835205078	380.767	2016-09-23 21:20:00
2016-09-23 21:45:00	5.23	324.342	11.83	-0.007	-5.277	4.478	0.03	3.69	88.40799713134766	382.283	2016-09-23 22:10:00
2016-09-23 23:20:00	5.6	337.32	11.39	-1.515	-3.598	4.9	0.07	29.95	76.992	380.333	2016-09-23 23:45:00
