Start_str	Mgs#_avg	Clang_avg	Rmag_avg	omniBxGSE_avg(nT)	omniByGSE_avg(nT)	omniBzGSE_avg(nT)	Bdeviat	Dtheta	Shock_Ang(deg)	OMNIVsw_avg(km/s)	End_str
2020-09-01 02:20:00	6.9	112.376	14.807	-1.533	4.333	-0.388	0.07	29.70	76.751	575.533	2020-09-01 02:45:00
2020-09-01 04:35:00	5.95	78.074	12.339	-5.15	2.968	1.95	0.07	21.61	38.961	577.667	2020-09-01 05:00:00
2020-09-04 18:20:00	5.6	122.349	9.897	-2.69	3.795	-0.95	0.06	23.84	61.026	405.1	2020-09-04 18:45:00
2020-09-04 19:00:00	5.6	108.342	8.949	-2.453	3.803	-0.135	0.04	24.39	62.369	405.617	2020-09-04 19:25:00
2020-09-05 02:15:00	5.82	96.819	7.108	-3.003	2.995	0.535	0.03	16.84	50.137	404.933	2020-09-05 02:40:00
2020-09-05 02:45:00	5.52	102.044	7.912	-3.375	2.795	0.295	0.03	19.31	44.644	399.55	2020-09-05 03:10:00
2020-09-05 03:35:00	5.23	82.26	9.166	-3.835	1.758	0.897	0.03	27.48	31.17	386.617	2020-09-05 04:00:00
2020-09-05 04:10:00	5.45	125.3	9.988	-3.515	2.535	-0.568	0.02	25.50	41.872	395.5	2020-09-05 04:35:00
2020-09-05 04:55:00	5.55	114.278	10.986	-3.162	3.13	-0.067	0.00	16.12	49.774	398.733	2020-09-05 05:20:00
2020-09-05 05:25:00	5.48	114.637	11.617	-3.377	2.772	-0.01	0.02	24.36	44.498	394.7	2020-09-05 05:50:00
2020-09-05 06:00:00	5.63	122.105	12.324	-2.607	3.398	-0.363	0.04	23.44	57.928	400.633	2020-09-05 06:25:00
2020-09-05 06:45:00	5.73	119.557	13.188	-1.988	4.037	-0.19	0.06	27.02	68.783	402.483	2020-09-05 07:10:00
2020-09-05 08:10:00	5.35	134.311	14.701	-4.105	2.163	-0.543	0.03	19.68	33.56	386.3	2020-09-05 08:35:00
2020-09-05 09:05:00	5.72	121.471	15.607	-2.397	3.735	0.022	0.02	25.96	62.609	400.317	2020-09-05 09:30:00
2020-09-07 12:45:00	6.0	104.244	23.997	0.36	4.478	1.332	0.02	9.94	85.238	362.667	2020-09-07 13:10:00
2020-09-07 13:15:00	6.17	108.711	23.762	0.895	4.58	0.92	0.01	5.01	88.81600189208984	366.15	2020-09-07 13:40:00
2020-09-07 14:00:00	6.4	110.987	23.395	1.537	4.39	0.597	0.03	9.74	80.69499969482422	377.45	2020-09-07 14:25:00
2020-09-07 14:35:00	6.2	99.127	23.097	-0.057	4.463	1.475	0.05	26.66	80.582	365.45	2020-09-07 15:00:00
2020-09-07 15:05:00	6.23	104.226	22.834	0.442	4.84	1.048	0.03	6.96	85.564	368.0	2020-09-07 15:30:00
2020-09-07 15:35:00	6.1	108.247	22.563	0.815	4.822	0.615	0.02	21.94	89.632	372.717	2020-09-07 16:00:00
2020-09-07 16:05:00	5.6	86.947	22.284	-1.792	4.227	2.128	0.06	13.38	61.611	360.25	2020-09-07 16:30:00
2020-09-07 16:35:00	5.48	78.84	21.997	-2.365	3.542	2.37	0.01	17.09	54.622	357.233	2020-09-07 17:00:00
2020-09-07 17:05:00	5.48	68.093	21.701	-2.555	3.003	2.838	0.01	5.84	53.383	352.95	2020-09-07 17:30:00
2020-09-07 17:35:00	5.43	60.86	21.397	-2.845	2.503	2.912	0.01	10.67	49.86	349.833	2020-09-07 18:00:00
2020-09-07 18:05:00	5.58	66.206	21.083	-2.772	2.727	2.562	0.08	24.23	48.976	350.15	2020-09-07 18:30:00
2020-09-07 18:35:00	5.68	84.954	20.761	-2.292	3.79	1.595	0.06	18.66	52.793	352.733	2020-09-07 19:00:00
2020-09-07 19:05:00	5.65	84.864	20.429	-1.773	4.227	1.71	0.02	5.12	60.298	353.35	2020-09-07 19:30:00
2020-09-07 19:35:00	5.63	85.705	20.088	-1.568	4.307	1.583	0.03	8.45	62.451	354.733	2020-09-07 20:00:00
2020-09-07 20:05:00	5.53	85.511	19.737	-2.072	4.042	1.435	0.01	16.40	55.513	350.483	2020-09-07 20:30:00
2020-09-07 20:35:00	5.33	74.919	19.376	-2.858	3.308	1.88	0.02	1.82	45.828	344.883	2020-09-07 21:00:00
2020-09-07 21:05:00	5.38	78.57	19.004	-2.543	3.715	1.762	0.03	6.80	50.279	345.3	2020-09-07 21:30:00
2020-09-07 21:35:00	5.43	82.024	18.621	-2.402	4.03	1.598	0.02	4.95	52.473	346.333	2020-09-07 22:00:00
2020-09-07 22:05:00	5.22	84.021	18.227	-2.813	3.92	1.382	0.01	9.60	47.13	344.383	2020-09-07 22:30:00
2020-09-07 22:35:00	5.05	76.029	17.821	-3.137	3.483	1.8	0.03	7.68	43.721	340.883	2020-09-07 23:00:00
2020-09-07 23:45:00	6.18	72.319	16.826	-2.962	2.117	1.3	0.09	6.67	33.494	347.2	2020-09-08 00:10:00
2020-09-08 00:15:00	6.02	77.822	16.378	-2.857	2.262	1.137	0.07	12.41	34.124	343.817	2020-09-08 00:40:00
2020-09-08 01:00:00	5.55	83.211	15.679	-2.487	3.452	1.327	0.10	28.60	47.714	338.983	2020-09-08 01:25:00
2020-09-08 01:35:00	5.28	76.376	15.112	-3.165	2.722	1.528	0.03	15.15	37.724	336.65	2020-09-08 02:00:00
2020-09-08 02:20:00	5.38	85.999	14.351	-2.792	2.838	1.082	0.09	26.75	39.499	333.95	2020-09-08 02:45:00
2020-09-08 02:50:00	5.38	101.702	13.822	-2.065	3.587	0.438	0.03	5.45	59.677	329.0	2020-09-08 03:15:00
2020-09-08 04:40:00	5.15	133.845	11.714	-3.253	2.145	-0.798	0.04	12.01	39.414	314.183	2020-09-08 05:05:00
2020-09-08 05:45:00	5.43	108.788	10.322	-3.475	1.888	0.223	0.02	11.27	32.817	319.3	2020-09-08 06:10:00
2020-09-08 06:15:00	5.45	123.584	9.636	-3.263	2.14	-0.268	0.03	18.80	37.95	319.117	2020-09-08 06:40:00
2020-09-12 05:20:00	6.0	106.881	12.073	-2.0	2.905	0.425	0.04	23.55	60.704	303.783	2020-09-12 05:45:00
2020-09-12 14:25:00	5.45	122.31	20.292	-1.302	4.782	-0.387	0.09	23.62	64.221	341.517	2020-09-12 14:50:00
2020-09-12 16:20:00	5.25	64.518	21.528	-4.275	1.033	1.187	0.02	13.44	18.711	335.55	2020-09-12 16:45:00
