Start_str	Mgs#_avg	Clang_avg	Rmag_avg	omniBxGSE_avg(nT)	omniByGSE_avg(nT)	omniBzGSE_avg(nT)	Bdeviat	Dtheta	Shock_Ang(deg)	OMNIVsw_avg(km/s)	End_str
2018-09-02 16:40:00	6.58	173.028	19.782	-1.895	1.515	-2.697	0.08	23.69	57.263	351.55	2018-09-02 17:05:00
2018-09-04 04:40:00	5.13	179.212	22.874	4.72	2.307	-5.282	0.04	17.95	51.5989990234375	361.133	2018-09-04 05:05:00
2018-09-04 05:10:00	5.1	171.311	23.062	3.877	3.39	-5.345	0.07	14.14	60.14699935913086	358.767	2018-09-04 05:35:00
2018-09-05 13:15:00	5.3	174.36	19.166	-1.238	2.798	-3.985	0.09	25.19	75.942	482.383	2018-09-05 13:40:00
2018-09-05 15:45:00	6.17	154.097	17.332	-2.01	2.895	-2.395	0.09	25.64	61.447	474.75	2018-09-05 16:10:00
2018-09-09 20:50:00	6.82	189.264	23.189	-0.038	0.275	-3.185	0.07	21.93	89.56400299072266	373.867	2018-09-09 21:15:00
2018-09-13 15:15:00	5.43	159.729	23.421	-0.76	4.733	-4.497	0.04	29.52	85.451	495.417	2018-09-13 15:40:00
2018-09-14 01:55:00	5.85	172.985	17.769	1.347	2.268	-5.068	0.05	28.66	74.83699798583984	566.533	2018-09-14 02:20:00
2018-09-14 09:55:00	6.67	186.582	9.246	-3.703	1.245	-2.555	0.02	16.59	39.945	548.783	2018-09-14 10:20:00
2018-09-14 10:25:00	6.55	184.147	8.471	-4.13	0.998	-1.865	0.02	29.72	29.83	545.867	2018-09-14 10:50:00
2018-09-16 21:20:00	6.62	151.073	17.879	-3.38	1.02	-1.08	0.05	14.76	25.789	382.183	2018-09-16 21:45:00
2018-09-20 20:00:00	5.67	145.926	19.691	2.663	1.24	-1.048	0.04	13.06	28.836999893188477	348.617	2018-09-20 20:25:00
2018-09-23 04:45:00	6.4	197.551	8.988	3.31	0.482	-3.745	0.08	25.71	47.512001037597656	440.45	2018-09-23 05:10:00
2018-09-25 11:15:00	6.38	139.677	15.255	-2.978	5.72	-1.735	0.08	11.90	68.978	411.833	2018-09-25 11:40:00
