Start_str	Start_ind	Mgs#_avg	Clang_avg	Rmag_avg	Bx_avg(nT)	Bdeviat	Dtheta	End_ind	End_str
2019-09-17 07:15:00	4513	5.88	284.799	9.618	-0.28	0.06	7.48	4518	2019-09-17 07:40:00
2019-09-17 15:00:00	4606	5.13	294.556	7.924	2.822	0.03	9.21	4611	2019-09-17 15:25:00
2019-09-17 15:30:00	4612	5.03	294.403	8.73	2.95	0.02	22.56	4617	2019-09-17 15:55:00
2019-09-17 16:25:00	4623	5.12	235.839	10.102	3.665	0.06	23.84	4628	2019-09-17 16:50:00
2019-09-20 09:35:00	5404	6.17	251.279	19.678	-1.085	0.04	24.22	5409	2019-09-20 10:00:00
2019-09-23 18:20:00	6282	5.32	270.937	21.969	1.752	0.10	27.14	6287	2019-09-23 18:45:00
2019-09-23 19:00:00	6290	5.2	306.652	21.548	1.94	0.10	24.41	6295	2019-09-23 19:25:00
2019-09-23 19:30:00	6296	5.32	308.62	21.222	1.105	0.05	23.86	6301	2019-09-23 19:55:00
2019-09-27 09:55:00	7310	6.85	295.683	19.602	4.735	0.09	20.98	7315	2019-09-27 10:20:00
2019-10-14 15:05:00	11684	5.02	240.77	23.879	1.73	0.05	28.19	11689	2019-10-14 15:30:00
2019-10-14 17:00:00	11707	5.68	267.862	22.863	0.49	0.09	28.66	11712	2019-10-14 17:25:00
2019-10-14 17:30:00	11713	5.67	271.275	22.579	0.287	0.04	14.06	11718	2019-10-14 17:55:00
2019-10-14 18:00:00	11719	5.87	259.61	22.286	-0.757	0.02	11.99	11724	2019-10-14 18:25:00
2019-10-14 19:40:00	11739	5.13	244.144	21.247	-2.017	0.09	11.76	11744	2019-10-14 20:05:00
2019-10-14 20:10:00	11745	5.13	256.781	20.915	-0.683	0.03	15.99	11750	2019-10-14 20:35:00
2019-10-14 20:40:00	11751	5.05	257.909	20.574	0.242	0.03	4.98	11756	2019-10-14 21:05:00
2019-10-14 22:45:00	11776	5.03	289.591	19.042	2.002	0.05	14.93	11781	2019-10-14 23:10:00
2019-10-14 23:15:00	11782	5.23	306.961	18.646	1.43	0.07	8.18	11787	2019-10-14 23:40:00
2019-10-15 03:10:00	11829	6.03	305.805	15.092	0.295	0.06	5.65	11834	2019-10-15 03:35:00
2019-10-15 19:05:00	12020	5.03	310.012	12.839	-1.46	0.08	23.47	12025	2019-10-15 19:30:00
2019-10-19 06:30:00	13017	6.57	278.358	12.167	1.872	0.09	14.86	13022	2019-10-19 06:55:00
2019-10-22 16:15:00	13911	6.4	254.371	8.972	1.465	0.07	28.07	13916	2019-10-22 16:40:00
2019-10-22 22:05:00	13981	6.17	287.81	15.988	0.758	0.10	18.89	13986	2019-10-22 22:30:00
2019-10-29 22:10:00	15794	6.38	290.901	15.978	-1.275	0.05	8.91	15799	2019-10-29 22:35:00
2019-10-29 22:40:00	15800	6.42	293.589	16.453	-0.913	0.07	24.23	15805	2019-10-29 23:05:00
2019-10-29 23:10:00	15806	6.02	289.378	16.913	-0.683	0.06	8.49	15811	2019-10-29 23:35:00
2019-10-29 23:40:00	15812	5.8	290.224	17.358	-1.128	0.03	7.54	15817	2019-10-30 00:05:00
2019-10-30 00:20:00	15820	5.97	296.571	17.932	0.502	0.07	7.41	15825	2019-10-30 00:45:00
2019-10-30 00:50:00	15826	5.93	291.947	18.348	0.272	0.07	10.51	15831	2019-10-30 01:15:00
2019-10-30 01:20:00	15832	5.85	299.29	18.751	-0.057	0.05	4.68	15837	2019-10-30 01:45:00
2019-10-30 01:50:00	15838	5.83	290.11	19.143	1.05	0.02	15.08	15843	2019-10-30 02:15:00
2019-10-30 02:25:00	15845	5.35	290.77	19.586	1.148	0.09	22.85	15850	2019-10-30 02:50:00
2019-10-30 05:55:00	15887	5.03	277.069	21.954	-1.545	0.04	10.02	15892	2019-10-30 06:20:00
2019-11-01 03:20:00	16389	6.17	289.727	23.734	3.603	0.08	6.71	16394	2019-11-01 03:45:00
2019-11-01 03:50:00	16395	5.98	299.696	23.477	4.167	0.05	28.66	16400	2019-11-01 04:15:00
2019-11-01 14:00:00	16517	6.12	293.711	16.239	2.643	0.04	12.57	16522	2019-11-01 14:25:00
2019-11-01 14:30:00	16523	5.7	287.909	15.758	3.033	0.05	9.47	16528	2019-11-01 14:55:00
2019-11-01 15:05:00	16530	5.8	294.709	15.175	2.175	0.07	27.95	16535	2019-11-01 15:30:00
2019-11-01 16:35:00	16547	6.63	271.09	13.569	-1.487	0.03	28.61	16552	2019-11-01 17:00:00
2019-11-01 17:40:00	16560	5.47	304.67	12.296	0.938	0.06	27.62	16565	2019-11-01 18:05:00
2019-11-01 18:20:00	16568	5.72	306.207	11.457	1.895	0.06	24.82	16573	2019-11-01 18:45:00
2019-11-01 19:20:00	16580	5.82	283.57	10.108	3.133	0.07	23.71	16585	2019-11-01 19:45:00
2019-11-01 19:50:00	16586	5.82	281.431	9.386	2.547	0.06	14.92	16591	2019-11-01 20:15:00
2019-11-01 20:45:00	16597	5.83	309.891	7.963	1.975	0.04	28.78	16602	2019-11-01 21:10:00
2019-11-02 08:10:00	16711	6.42	303.853	14.034	0.733	0.10	22.48	16716	2019-11-02 08:35:00
2019-11-02 08:40:00	16717	6.52	314.596	14.572	0.88	0.08	23.95	16722	2019-11-02 09:05:00
2019-11-02 09:40:00	16729	6.53	300.242	15.595	-0.452	0.04	17.71	16734	2019-11-02 10:05:00
2019-11-02 10:10:00	16735	6.23	296.372	16.082	-0.248	0.04	13.79	16740	2019-11-02 10:35:00
2019-11-02 10:40:00	16741	6.23	296.571	16.554	-0.615	0.03	11.69	16746	2019-11-02 11:05:00
2019-11-02 11:10:00	16747	6.27	297.937	17.011	-1.017	0.06	12.67	16752	2019-11-02 11:35:00
2019-11-02 11:40:00	16753	6.37	300.501	17.455	-1.593	0.03	5.57	16758	2019-11-02 12:05:00
2019-11-02 12:10:00	16759	6.4	305.127	17.885	-1.403	0.08	2.85	16764	2019-11-02 12:35:00
2019-11-02 12:40:00	16765	6.53	312.65	18.302	-1.103	0.05	13.24	16770	2019-11-02 13:05:00
2019-11-02 17:50:00	16808	5.75	300.334	21.975	3.1	0.03	29.42	16813	2019-11-02 18:15:00
2019-11-02 18:25:00	16815	5.73	260.651	22.325	2.99	0.04	29.89	16820	2019-11-02 18:50:00
2019-11-02 20:35:00	16840	6.45	269.0	23.528	1.052	0.08	8.25	16845	2019-11-02 21:00:00
2019-11-08 04:05:00	18244	6.52	285.388	23.477	-2.947	0.09	26.77	18249	2019-11-08 04:30:00
2019-11-11 15:05:00	19240	5.03	236.934	23.924	-0.145	0.03	17.24	19245	2019-11-11 15:30:00
2019-11-11 21:55:00	19322	5.1	275.11	19.78	2.038	0.07	10.81	19327	2019-11-11 22:20:00
2019-11-11 22:25:00	19328	5.25	276.707	19.408	2.473	0.09	8.00	19333	2019-11-11 22:50:00
2019-11-12 00:00:00	19347	5.33	267.851	18.156	1.233	0.01	6.05	19352	2019-11-12 00:25:00
2019-11-18 16:45:00	21232	6.27	276.893	23.123	1.562	0.05	15.37	21237	2019-11-18 17:10:00
2019-11-18 19:55:00	21270	6.2	291.211	21.237	0.492	0.03	28.65	21275	2019-11-18 20:20:00
2019-11-18 20:25:00	21276	6.12	297.778	20.906	1.657	0.01	15.36	21281	2019-11-18 20:50:00
2019-11-18 21:05:00	21284	6.1	268.332	20.451	0.207	0.07	16.75	21289	2019-11-18 21:30:00
2019-11-18 23:50:00	21317	6.05	289.517	18.376	1.338	0.06	29.57	21322	2019-11-19 00:15:00
2019-11-19 00:20:00	21323	6.1	278.784	17.961	-0.557	0.06	12.10	21328	2019-11-19 00:45:00
2019-11-19 06:25:00	21396	6.02	311.271	11.695	1.455	0.08	23.71	21401	2019-11-19 06:50:00
2019-11-19 06:55:00	21402	5.97	303.285	11.046	0.473	0.03	7.75	21407	2019-11-19 07:20:00
2019-11-19 07:25:00	21408	6.02	309.423	10.369	0.2	0.07	19.55	21413	2019-11-19 07:50:00
2019-11-19 08:25:00	21420	5.92	307.766	8.917	0.748	0.06	8.71	21425	2019-11-19 08:50:00
2019-11-19 09:20:00	21431	6.0	279.3	7.449	2.168	0.06	26.45	21436	2019-11-19 09:45:00
2019-11-19 21:35:00	21558	6.5	297.08	15.214	0.96	0.03	16.99	21563	2019-11-19 22:00:00
2019-11-19 22:30:00	21569	6.55	271.866	16.116	1.257	0.06	27.27	21574	2019-11-19 22:55:00
2019-11-19 23:35:00	21582	6.22	295.015	17.116	1.717	0.04	28.27	21587	2019-11-20 00:00:00
2019-11-20 00:15:00	21590	6.27	272.098	17.699	0.31	0.07	19.60	21595	2019-11-20 00:40:00
2019-11-20 01:50:00	21609	6.2	237.56	18.993	1.682	0.06	15.26	21614	2019-11-20 02:15:00
2019-11-22 08:05:00	22260	5.97	288.079	21.164	-3.403	0.03	26.29	22265	2019-11-22 08:30:00
2019-12-07 03:45:00	23061	5.77	277.441	7.298	1.182	0.10	8.62	23066	2019-12-07 04:10:00
2019-12-07 05:20:00	23080	5.5	298.686	9.767	3.047	0.07	28.28	23085	2019-12-07 05:45:00
2019-12-07 05:50:00	23086	5.73	270.801	10.469	1.785	0.08	16.34	23091	2019-12-07 06:15:00
2019-12-07 07:40:00	23108	6.37	261.925	12.802	-0.632	0.06	26.12	23113	2019-12-07 08:05:00
2019-12-07 08:10:00	23114	6.32	273.011	13.382	-0.91	0.08	24.56	23119	2019-12-07 08:35:00
2019-12-07 08:45:00	23121	5.98	259.531	14.032	-0.403	0.09	8.78	23126	2019-12-07 09:10:00
